taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
BA.1.10_50%_and_BA.2.5_50%_lineage_A,BA.1.10,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_50%_and_BA.2.5_50%_lineage_B,BA.2.23,0.0,,Omicron (BA.2-like),0.89,0.05,scorpio call: Alt alleles 55; Ref alleles 3; Amb alleles 2; Oth alleles 2,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.23(1/1)
BA.1.10_80%_and_BA.2.5_20%_lineage_A,BA.1.10,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_80%_and_BA.2.5_20%_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_95%_and_BA.2.5_5%_lineage_A,BA.1.10,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_95%_and_BA.2.5_5%_lineage_B,XM,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: XM(2/2); scorpio found insufficient support to assign a specific lineage
BA.1.10_98%_and_BA.2.5_2%_lineage_A,BA.1.10,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_98%_and_BA.2.5_2%_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_90%_and_BA.2.5_10%_lineage_A,BA.1.10,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_90%_and_BA.2.5_10%_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.97,0.03,scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
