taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
AY.107_98%_and_BA.2.3_2%_lineage_A,AY.107,0.0,,,,,,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.107(1/1)
AY.107_98%_and_BA.2.3_2%_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.5,0.22,scorpio call: Alt alleles 16; Ref alleles 7; Amb alleles 9; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
AY.107_90%_and_BA.2.3_10%_lineage_A,AY.107,0.0,,,,,,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.107(1/1)
AY.107_90%_and_BA.2.3_10%_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.69,0.19,scorpio call: Alt alleles 22; Ref alleles 6; Amb alleles 4; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
AY.107_50%_and_BA.2.3_50%_lineage_A,B.1.617.2,0.0,,,,,,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.617.2(1/1)
AY.107_50%_and_BA.2.3_50%_lineage_B,BA.2.3,0.0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 6; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.3(2/2)
AY.107_80%_and_BA.2.3_20%_lineage_A,B.1.617.2,0.0,,,,,,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.617.2(1/1)
AY.107_80%_and_BA.2.3_20%_lineage_B,BA.2.3,0.0,,Omicron (BA.2-like),0.85,0.06,scorpio call: Alt alleles 53; Ref alleles 4; Amb alleles 4; Oth alleles 1,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.3(2/2)
AY.107_95%_and_BA.2.3_5%_lineage_A,AY.107,0.0,,,,,,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.107(1/1)
AY.107_95%_and_BA.2.3_5%_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.66,0.22,scorpio call: Alt alleles 21; Ref alleles 7; Amb alleles 4; Oth alleles 0,PUSHER-v1.27,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(2/2); scorpio found insufficient support to assign a specific lineage
