Sample	Coverage	Pangolin	Scorpio	Nextclade	WHO clade	Note
BA.1.10_50%_and_BA.2.5_50%_lineage_A	99.97%	BA.1.10	Omicron (Unassigned)	BA.1.10	Omicron	Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_50%_and_BA.2.5_50%_lineage_B	99.97%	BA.2.23	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2.23(1/1)
BA.1.10_80%_and_BA.2.5_20%_lineage_A	100.0%	BA.1.10	Omicron (Unassigned)	BA.1.10	Omicron	Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_80%_and_BA.2.5_20%_lineage_B	100.0%	BA.2	Omicron (Unassigned)	BA.2.23	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_95%_and_BA.2.5_5%_lineage_A	100.0%	BA.1.10	Omicron (Unassigned)	BA.1.10	Omicron	Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_95%_and_BA.2.5_5%_lineage_B	99.99%	XM	Omicron (Unassigned)	BA.1.1	Omicron	Usher placements: XM(2/2); scorpio found insufficient support to assign a specific lineage
BA.1.10_98%_and_BA.2.5_2%_lineage_A	100.0%	BA.1.10	Omicron (Unassigned)	BA.1.10	Omicron	Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_98%_and_BA.2.5_2%_lineage_B	99.97%	BA.2	Omicron (Unassigned)	B.1.1.529	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_90%_and_BA.2.5_10%_lineage_A	100.0%	BA.1.10	Omicron (Unassigned)	BA.1.10	Omicron	Usher placements: BA.1.10(1/1); scorpio found insufficient support to assign a specific lineage
BA.1.10_90%_and_BA.2.5_10%_lineage_B	100.0%	BA.2	Omicron (Unassigned)	BA.2.23	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
