	summarized	lineages	abundances	resid	coverage
Coinfection-nanopore2023-10%-error-10%-minor-variant	[('Omicron', 0.8709679981865188), ('Delta', 0.12041829963003654), ('Other', 0.007820001376165068)]	BA.2.62 AY.41 B.1.617.2 BA.2.9.4 BA.2.71 AY.4.11 BA.2.23 B.1.1.190 AY.39	0.81812790 0.08196720 0.02121200 0.02083330 0.01818180 0.01587300 0.01382500 0.00782000 0.00136610	14.328478051582087	97.64906531117279
Coinfection-nanopore2023-2%-error-20%-minor-variant	[('Omicron', 0.7911159826689378), ('Delta', 0.20454499830966208), ('Other', 0.004339003065773229)]	BA.2.62 AY.41 BA.2 BA.2.23 BA.2.11 AY.82 B.1.1.529 AY.120 BA.2.63 AY.39 B.1.617.2 BA.2.47 BA.2.56.1 BA.5.3.4 XAD B.1.1.14	0.49643779 0.12500000 0.09397300 0.06568800 0.05029500 0.02439020 0.02367400 0.02325580 0.02000000 0.01666670 0.01523230 0.01298700 0.01265820 0.00986600 0.00553700 0.00433900	14.718351267442738	99.52513125773334
Coinfection-nanopore2023-2%-error-50%-minor-variant	[('Omicron', 0.4999999275848497), ('Delta', 0.46511601300797195), ('Other', 0.03488402287865892)]	AY.41 BA.2.7 BA.2.11 BA.2.62 B.1.1.381 B.1.1.529 BA.2.10.1 BA.2.33 AY.95 B.1.1.357	0.44996451 0.25640995 0.11978998 0.06520472 0.02941180 0.02381000 0.01754390 0.01724139 0.01515150 0.00547222	19.20444219873174	99.57863759489014
Coinfection-nanopore2023-10%-error-20%-minor-variant	[('Omicron', 0.7377049869398175), ('Delta', 0.2399999957958683), ('Other', 0.022294981056682175)]	BA.2.24 AY.41 AY.111 B.1.1.285 B.1.617.2 B.1.112	0.73770499 0.18918900 0.04485400 0.01668100 0.00595700 0.00561398	14.781389552861448	98.96331471758687
Coinfection-nanopore2023-10%-error-50%-minor-variant	[('Delta', 0.530901599740825), ('Omicron', 0.4528299883933633), ('Other', 0.016268395705860524)]	AY.41 BA.2.62 B.1.1.529 BA.2.19 AY.118 AY.120 BA.2.26 BA.2.45 BA.2.33 B.1.222 XAP B.1.1.145	0.49206300 0.34419699 0.02425900 0.02179100 0.01960780 0.01923080 0.01851850 0.01818180 0.01666670 0.01455340 0.00921600 0.00171500	17.439341743731415	99.68565026920376
Coinfection-nanopore2023-2%-error-5%-minor-variant	[('Omicron', 0.9249999406207692), ('Delta', 0.056934811153221104), ('Other', 0.017307717096003407)]	BA.2.24 BA.2.11 BA.2.45 AY.41 AY.4 BA.2.18 BA.2.52 B.1.1.458 AY.82 B.1.617.2 B.1.8	0.78082097 0.08814067 0.02325580 0.01923080 0.01851849 0.01785710 0.01492540 0.01439402 0.01268321 0.00650231 0.00291370	13.928127593252203	97.7226365247634
Coinfection-nanopore2023-2%-error-2%-minor-variant	[('Omicron', 0.977272965010214), ('Delta', 0.022726998732335833)]	BA.2.24 BA.2.32 BA.2.56 BA.2.18 BA.5 BA.2.26 AY.4 B.1.1.529 BA.2.87 B.1.617.2 BA.2 AY.41	0.84272997 0.03076920 0.02564100 0.02222220 0.01923080 0.01538460 0.01538460 0.01175600 0.00628620 0.00577780 0.00325300 0.00156460	12.42964439570759	97.59221482794368
Coinfection-nanopore2023-2%-error-10%-minor-variant	[('Omicron', 0.874999977702159), ('Delta', 0.10606099477113896), ('Other', 0.01893899983833081)]	BA.2.62 AY.41 BA.2 BA.2.23 AY.111 B.1.395 BA.2.33 BA.2.14 AY.25.3 BA.2.9-like BA.5.5.2 B.1.617.2	0.71989670 0.06896550 0.05147100 0.04481100 0.01899099 0.01893900 0.01666670 0.01587300 0.01408450 0.01369860 0.01258300 0.00402000	12.747820130856628	97.66578604153429
Coinfection-nanopore2023-20%-error-20%-minor-variant	[('Omicron', 0.8070179482460385), ('Delta', 0.1929819702659755)]	BA.2.62 BA.2.24 AY.41 BA.2 BA.2.23 XZ XAD BA.2.45 AY.120 AY.46.6 BA.5.1.23 BA.2.3.16 AY.126 AY.77 BA.5.5 BA.2.3.2	0.30429406 0.20487739 0.13333300 0.08608800 0.07017600 0.04444406 0.03215393 0.02857140 0.02272730 0.01886789 0.01639339 0.01639339 0.01587300 0.00218078 0.00216261 0.00146371	14.324540395496449	98.89308765006855
Coinfection-nanopore2023-20%-error-50%-minor-variant	[('Delta', 0.526316000162083), ('Omicron', 0.46511598068087706), ('Other', 0.008568001335025813)]	AY.41 BA.2.62 BA.2.11 AY.120 AY.122 BA.2.31 BA.2.7 AY.44 BA.2.34 AY.95 BA.2.85 B.1.617 B.1.1.315	0.42587920 0.30953489 0.06808499 0.02941180 0.02702700 0.02564100 0.02439020 0.02439020 0.01960780 0.01960780 0.01785710 0.00559900 0.00296900	18.492462164372697	99.57194930274554
