Amplicon	B.1.1.274	P.1.1
13	0.3508771929824561	0.6491228070175439
19	0.37681159420289856	0.6231884057971014
57	0.37606837606837606	0.6239316239316239
71	0.3870967741935484	0.6129032258064516
72	0.3870967741935484	0.6129032258064516
73	0.4285714285714286	0.5714285714285714
74	0.5714285714285715	0.4285714285714285
76	0.3486238532110092	0.6513761467889908
77	0.34375	0.65625
82	0.3375	0.6625
83	0.0	1.0
84	0.0	1.0
86	0.288135593220339	0.711864406779661
87	0.0066225165562914245	0.9933774834437086
94	0.3529411764705882	0.6470588235294118
95	0.40740740740740744	0.5925925925925926
