Amplicon	P.1.12	P.2
13	0.6106870229007634	0.3893129770992366
19	0.5620437956204379	0.43795620437956206
35	0.6379310344827587	0.3620689655172413
40	0.6433566433566433	0.35664335664335667
46	0.6268656716417911	0.3731343283582089
57	0.6241610738255033	0.37583892617449666
71	0.5875	0.4125
72	0.5875	0.4125
73	0.5789473684210527	0.42105263157894735
74	0.5789473684210527	0.42105263157894735
76	0.5620437956204379	0.43795620437956206
77	0.6013071895424836	0.39869281045751637
78	0.5421686746987951	0.45783132530120485
82	0.5833333333333334	0.41666666666666663
87	0.5789473684210527	0.42105263157894735
94	0.6268656716417911	0.3731343283582089
95	0.6470588235294118	0.3529411764705882
96	0.5238095238095238	0.47619047619047616
97	0.5238095238095238	0.47619047619047616
