Sample	Most Possible Strain	Other Possible Strain	Valid Map Rate
ERR12411100	AY.98.1_B.1.617.2	AY.43	1/93
ERR12411099	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	2/93
ERR12411098	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	2/93
ERR12411107	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	3/93
ERR12411102	AY.98.1_B.1.617.2	Can not detect other strains.	
ERR12411101	AY.98.1_B.1.617.2	AY.43	1/93
ERR12411096	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	3/93
ERR12411097	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	3/93
ERR12411104	AY.25_B.1.617.2; AY.98.1_B.1.617.2	AY.43	1/93
ERR12411106	AY.25_B.1.617.2	Omicron	6/93
ERR12411105	AY.25_B.1.617.2	Omicron	6/93
ERR12411095	AY.25_B.1.617.2; AY.98.1_B.1.617.2	Omicron	3/93
