Sample	Coverage	Pangolin	Scorpio	Nextclade	WHO clade	Note
Coinfection_10%_lineage_A	99.94%	AY.38	Delta (B.1.617.2-like) +K417N	B.1.617.2	Delta	Usher placements: AY.38(1/1)
Coinfection_10%_lineage_B	99.95%	BA.2.23	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2.23(1/1)
Coinfection_2%_lineage_A	100.0%	B.1.1.529	Probable Omicron (Unassigned)	B.1		Usher placements: B.1.1.529(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection_2%_lineage_B	99.98%	BA.2.23	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2.23(1/1)
Coinfection_20%_lineage_A	99.92%	AY.2	Delta (B.1.617.2-like) +K417N	B.1.617.2	Delta	Usher placements: AY.2(2/2)
Coinfection_20%_lineage_B	99.95%	BA.2.23	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2.23(1/1)
Coinfection_5%_lineage_A	99.98%	BA.2.23	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2.23(1/1)
Coinfection_5%_lineage_B	99.98%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection_50%_lineage_A	99.93%	AY.2	Delta (B.1.617.2-like) +K417N	AY.2	Delta	Usher placements: AY.2(2/2)
Coinfection_50%_lineage_B	99.92%	BA.2	Omicron (BA.2-like)	BA.2.23	Omicron	Usher placements: BA.2(1/2) BA.2.23(1/2)
