ID,Column_ID,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_Freq,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_LNum
1,9,33,94
2,47,36,94
3,71,22,94
4,95,30,94
5,113,27,94
6,179,24,94
7,260,27,93
8,303,31,93
9,335,27,94
10,404,0,70
11,417,22,94
12,437,30,94
13,466,26,94
14,467,25,94
15,563,32,94
16,566,29,94
17,647,31,94
18,782,23,94
19,793,24,89
20,821,24,94
21,914,28,94
22,925,33,91
23,1001,32,94
24,1055,23,94
25,1102,21,93
26,1160,29,94
27,1207,30,94
28,1232,26,94
29,1323,24,94
30,1373,19,94
31,1418,34,94
32,1620,32,94
33,1665,16,94
34,1817,35,94
35,1923,23,94
36,1992,33,94
37,2129,27,94
38,2135,21,94
39,2141,16,94
40,2204,29,91
41,2426,24,94
42,2636,27,93
43,2771,25,91
44,2874,28,94
45,2975,27,94
46,3162,27,94
47,3191,29,94
48,3248,25,94
49,3471,32,94
50,3530,30,94
51,3586,31,94
52,3736,28,92
53,3915,26,86
54,4034,28,94
55,4191,0,94
56,4417,0,94
57,4627,32,94
58,4660,28,94
59,4918,32,87
60,5249,32,93
61,5315,26,94
62,5658,33,93
63,7205,29,94
64,7585,36,92
65,7874,34,93
66,8042,47,94
67,9763,38,59
68,9869,38,93
69,10401,44,94
70,10415,47,94
71,10585,38,94
72,11894,33,90
73,12470,41,94
74,14075,60,94
75,16775,47,94
76,18320,36,94
77,21307,42,94
78,21332,42,93
79,21378,4,71
80,21499,0,22
81,21937,33,94
82,21963,35,91
83,22336,0,41
84,22550,4,86
85,22570,50,93
86,22571,49,38
87,22640,32,39
88,22675,39,62
89,23693,32,94
90,24674,35,94
91,24816,48,94
92,24817,48,94
93,25395,44,93
