Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
210,603.0,1,5,9,588,0.001658374792703151,0.008291873963515755,0.014925373134328358,0.9751243781094527
241,599.0,6,5,4,584,0.01001669449081803,0.008347245409015025,0.00667779632721202,0.9749582637729549
670,1605.0,11,15,13,1566,0.006853582554517134,0.009345794392523364,0.00809968847352025,0.9757009345794393
934,2250.0,28,2170,18,34,0.012444444444444444,0.9644444444444444,0.008,0.015111111111111112
1274,2960.0,2833,33,65,29,0.9570945945945946,0.01114864864864865,0.02195945945945946,0.009797297297297298
2790,5006.0,47,4808,51,100,0.009388733519776269,0.9604474630443468,0.010187774670395526,0.01997602876548142
3037,3078.0,44,32,32,2970,0.014294996751137101,0.010396361273554255,0.010396361273554255,0.9649122807017544
3655,3991.0,38,104,26,3823,0.00952142320220496,0.026058631921824105,0.006514657980456026,0.9579052868955149
4181,2389.0,28,34,97,2230,0.011720385098367517,0.014231896190874843,0.04060276266220176,0.9334449560485559
4184,2485.0,85,34,2340,26,0.03420523138832998,0.013682092555331992,0.9416498993963782,0.010462776659959759
4321,3419.0,18,3287,29,85,0.005264697279906405,0.961392219947353,0.008482012284293653,0.024861070488446914
6402,1660.0,17,73,23,1547,0.010240963855421687,0.04397590361445783,0.013855421686746987,0.9319277108433734
8986,3128.0,20,65,25,3018,0.00639386189258312,0.02078005115089514,0.0079923273657289,0.9648337595907929
8991,3183.0,26,3073,30,54,0.008168394596292806,0.9654414074772227,0.00942507068803016,0.016965127238454288
9053,3057.0,25,23,49,2960,0.008177952240758913,0.007523716061498201,0.01602878639188747,0.9682695453058554
9333,2493.0,15,49,15,2414,0.006016847172081829,0.01965503409546731,0.006016847172081829,0.968311271560369
9344,2692.0,15,2627,13,37,0.005572065378900446,0.975854383358098,0.0048291233283803865,0.0137444279346211
9424,3257.0,3150,25,58,24,0.9671476819158735,0.007675775253300584,0.017807798587657353,0.00736874424316856
9534,3431.0,27,3318,34,52,0.007869425823375109,0.9670649956280968,0.009909647333139027,0.0151559312153891
9866,3236.0,23,3136,27,50,0.007107540173053152,0.969097651421508,0.00834363411619283,0.015451174289245983
10029,3325.0,34,30,25,3236,0.010225563909774436,0.009022556390977444,0.007518796992481203,0.9732330827067669
10198,3506.0,28,3408,28,42,0.007986309184255563,0.9720479178551056,0.007986309184255563,0.011979463776383342
10447,3547.0,60,33,3438,16,0.01691570341133352,0.009303636876233437,0.9692698054694108,0.004510854243022272
10449,3546.0,57,3440,19,30,0.016074450084602367,0.970107163000564,0.00535815002820079,0.008460236886632826
11201,3731.0,80,32,3591,28,0.021441972661484857,0.008576789064593943,0.9624765478424016,0.0075046904315197
11332,3772.0,82,33,3617,40,0.021739130434782608,0.008748674443266172,0.9589077412513256,0.010604453870625663
12880,5059.0,47,4869,54,89,0.009290373591618897,0.9624431705870725,0.010674046254200435,0.017592409567108124
13329,4961.0,36,4795,58,72,0.007256601491634751,0.9665390042330175,0.01169119129207821,0.014513202983269502
14408,4743.0,36,58,47,4602,0.007590132827324478,0.01222854733291166,0.00990934008011807,0.9702719797596457
15012,4199.0,53,32,4076,38,0.012622052869730888,0.0076208621100261964,0.9707073112645868,0.00904977375565611
15451,3890.0,3727,51,77,35,0.9580976863753213,0.013110539845758355,0.01979434447300771,0.008997429305912597
15714,3853.0,34,3712,40,67,0.008824292758889176,0.963405138852842,0.010381520892810797,0.017389047495458086
16466,3404.0,38,87,38,3241,0.011163337250293772,0.02555816686251469,0.011163337250293772,0.9521151586368978
17410,2130.0,14,2046,15,55,0.006572769953051643,0.9605633802816902,0.007042253521126761,0.025821596244131457
18163,2401.0,2297,21,62,21,0.9566847147022074,0.008746355685131196,0.025822573927530196,0.008746355685131196
19220,943.0,8,37,5,893,0.008483563096500531,0.03923647932131495,0.005302226935312832,0.9469777306468717
19955,30.0,0,0,0,30,0,0,0,1.0
20055,26.0,0,0,26,0,0,0,1.0,0
21618,42.0,0,0,0,42,0,0,0,1.0
21987,36.0,36,0,0,0,1.0,0,0,0
22200,29.0,0,0,28,1,0,0,0.9655172413793104,0.034482758620689655
22578,58.0,32,0,25,1,0.5517241379310345,0,0.43103448275862066,0.017241379310344827
22674,119.0,0,98,0,21,0,0.8235294117647058,0,0.17647058823529413
22679,126.0,0,23,2,101,0,0.18253968253968253,0.015873015873015872,0.8015873015873016
22686,134.0,2,108,0,24,0.014925373134328358,0.8059701492537313,0,0.1791044776119403
22688,135.0,106,3,24,2,0.7851851851851852,0.022222222222222223,0.17777777777777778,0.014814814814814815
22775,153.0,38,0,112,3,0.24836601307189543,0,0.7320261437908496,0.0196078431372549
22786,156.0,113,38,2,3,0.7243589743589743,0.24358974358974358,0.01282051282051282,0.019230769230769232
22813,359.0,1,12,301,45,0.002785515320334262,0.033426183844011144,0.8384401114206128,0.12534818941504178
22882,808.0,9,8,34,757,0.011138613861386138,0.009900990099009901,0.04207920792079208,0.9368811881188119
22917,979.0,8,8,933,30,0.008171603677221655,0.008171603677221655,0.9530132788559755,0.030643513789581207
22992,909.0,33,10,861,5,0.036303630363036306,0.011001100110011002,0.9471947194719472,0.005500550055005501
22995,887.0,860,8,12,7,0.9695603156708005,0.009019165727170236,0.013528748590755355,0.007891770011273957
23013,929.0,884,33,9,3,0.9515608180839612,0.03552206673842842,0.00968783638320775,0.0032292787944025836
23040,915.0,863,6,36,10,0.9431693989071038,0.006557377049180328,0.03934426229508197,0.01092896174863388
23055,898.0,848,7,35,8,0.9443207126948775,0.0077951002227171495,0.03897550111358575,0.008908685968819599
23063,903.0,849,13,7,34,0.9401993355481728,0.014396456256921373,0.007751937984496124,0.03765227021040975
23075,905.0,10,40,4,851,0.011049723756906077,0.04419889502762431,0.004419889502762431,0.9403314917127071
23403,666.0,4,1,659,2,0.006006006006006006,0.0015015015015015015,0.9894894894894894,0.003003003003003003
23525,911.0,10,857,6,38,0.010976948408342482,0.9407244785949506,0.006586169045005488,0.04171240395170143
23599,1301.0,11,16,43,1231,0.008455034588777863,0.012298232129131437,0.033051498847040735,0.9461952344350499
23604,1310.0,44,20,1225,21,0.03358778625954199,0.015267175572519083,0.9351145038167938,0.01603053435114504
23854,31.0,31,0,0,0,1.0,0,0,0
23948,28.0,0,0,1,27,0,0,0.03571428571428571,0.9642857142857143
24410,1213.0,1148,12,40,13,0.9464138499587799,0.00989282769991756,0.03297609233305853,0.010717230008244023
24424,1208.0,1145,9,12,42,0.9478476821192053,0.0074503311258278145,0.009933774834437087,0.0347682119205298
24469,1122.0,37,11,9,1065,0.03297682709447415,0.00980392156862745,0.008021390374331552,0.9491978609625669
24863,2347.0,20,49,32,2246,0.008521516829995739,0.020877716233489562,0.013634426927993182,0.9569663400085215
25000,2390.0,12,2294,30,54,0.00502092050209205,0.9598326359832636,0.012552301255230125,0.022594142259414227
25469,2404.0,24,43,18,2319,0.009983361064891847,0.01788685524126456,0.0074875207986688855,0.9646422628951747
25584,2548.0,25,2441,27,55,0.009811616954474097,0.9580062794348508,0.010596546310832025,0.021585557299843013
25810,2688.0,36,2581,25,46,0.013392857142857142,0.9601934523809523,0.009300595238095238,0.01711309523809524
26060,2786.0,22,2687,30,47,0.007896625987078248,0.9644651830581479,0.010768126346015794,0.016870064608758076
26270,3148.0,28,3034,21,65,0.008894536213468869,0.9637865311308768,0.006670902160101652,0.020648030495552732
26577,2958.0,19,2852,64,23,0.006423258958755916,0.9641649763353617,0.021636240703177823,0.00777552400270453
26709,2459.0,46,24,2366,23,0.01870679137860919,0.009760065067100447,0.9621797478649857,0.009353395689304595
26767,2545.0,29,2434,21,61,0.011394891944990177,0.956385068762279,0.008251473477406679,0.023968565815324167
26858,2362.0,18,2271,16,57,0.007620660457239628,0.9614733276883997,0.006773920406435224,0.024132091447925486
27259,997.0,928,47,13,9,0.9307923771313942,0.04714142427281846,0.013039117352056168,0.009027081243731194
27807,37.0,0,1,0,36,0,0.02702702702702703,0,0.972972972972973
27874,798.0,6,36,5,751,0.007518796992481203,0.045112781954887216,0.006265664160401002,0.9411027568922306
28271,42.0,13,0,0,29,0.30952380952380953,0,0,0.6904761904761905
28311,66.0,0,42,0,24,0,0.6363636363636364,0,0.36363636363636365
28461,485.0,21,1,463,0,0.04329896907216495,0.002061855670103093,0.954639175257732,0
28881,13.0,9,0,0,4,0.6923076923076923,0,0,0.3076923076923077
28882,12.0,9,0,3,0,0.75,0,0.25,0
28883,9.0,0,9,0,0,0,1.0,0,0
28916,25.0,1,0,10,14,0.04,0,0.4,0.56
29510,4.0,0,4,0,0,0,1.0,0,0
29684,1.0,0,0,0,1,0,0,0,1.0
