Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
320,0.0,0,0,0,0,0,0,0,0
1418,3052.0,2957,32,40,23,0.968872870249017,0.010484927916120577,0.01310615989515072,0.007536041939711665
2172,4603.0,96,34,4445,28,0.02085596350206387,0.007386487073647621,0.9656745600695199,0.006082989354768629
3037,4733.0,46,43,32,4612,0.009718994295372914,0.009085146841326854,0.006761039509824636,0.9744348193534756
4181,5032.0,43,48,83,4858,0.008545310015898252,0.009538950715421303,0.01649443561208267,0.9654213036565977
4321,5301.0,43,5135,53,70,0.008111677042067535,0.9686851537445765,0.00999811356347859,0.013205055649877381
4754,5068.0,55,72,37,4904,0.010852407261247041,0.014206787687450671,0.007300710339384372,0.9676400947119179
5184,5206.0,41,5063,47,55,0.007875528236650019,0.9725316941990012,0.009028044563964657,0.010564733000384172
5192,5196.0,44,5044,50,58,0.008468052347959968,0.970746728252502,0.00962278675904542,0.011162432640492687
5584,5308.0,5139,39,76,54,0.9681612660135644,0.0073474001507159,0.014318010550113038,0.010173323285606632
6402,4840.0,47,85,43,4665,0.009710743801652892,0.01756198347107438,0.008884297520661158,0.9638429752066116
7124,3621.0,36,64,25,3496,0.009942004971002486,0.01767467550400442,0.006904170118751726,0.9654791494062414
7886,3763.0,3648,26,61,28,0.9694392771724688,0.006909380813180973,0.016210470369386127,0.007440871644964125
7945,3625.0,38,66,37,3484,0.010482758620689656,0.01820689655172414,0.010206896551724139,0.961103448275862
8964,3034.0,33,2923,21,57,0.010876730388925511,0.9634146341463414,0.006921555702043507,0.018787079762689517
8986,2814.0,24,59,27,2704,0.008528784648187633,0.020966595593461264,0.009594882729211088,0.9609097370291401
9053,2735.0,20,24,43,2648,0.007312614259597806,0.008775137111517367,0.015722120658135285,0.9681901279707495
9857,3090.0,23,2968,31,68,0.00744336569579288,0.9605177993527508,0.010032362459546926,0.022006472491909384
9891,3243.0,28,3120,27,68,0.008633980881899476,0.9620721554116559,0.008325624421831638,0.020968239284613013
10029,3252.0,26,73,31,3122,0.007995079950799507,0.022447724477244774,0.009532595325953259,0.9600246002460024
11161,3628.0,3489,39,66,34,0.9616868798235942,0.010749724366041897,0.018191841234840134,0.009371554575523704
11201,3629.0,62,28,3516,23,0.017084596307522733,0.0077156241388812346,0.968861945439515,0.006337834114081014
11332,3785.0,82,33,3634,36,0.02166446499339498,0.008718626155878468,0.9601056803170409,0.009511228533685601
