ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,409,94
2,47,366,94
3,71,318,94
4,95,289,94
5,113,337,94
6,179,461,94
7,260,518,93
8,303,526,93
9,335,582,94
10,404,383,70
11,417,379,94
12,437,399,94
13,466,408,94
14,467,409,94
15,563,560,94
16,566,479,94
17,647,603,94
18,782,164,94
19,793,152,89
20,821,172,94
21,914,356,94
22,925,375,91
23,1001,450,94
24,1055,87,94
25,1102,413,93
26,1160,273,94
27,1207,325,94
28,1232,355,94
29,1323,468,94
30,1373,496,94
31,1418,241,94
32,1620,448,94
33,1665,446,94
34,1817,650,94
35,1923,983,94
36,1992,1085,94
37,2129,623,94
38,2135,539,94
39,2141,519,94
40,2204,120,91
41,2426,232,94
42,2636,331,93
43,2771,253,91
44,2874,260,94
45,2975,617,94
46,3162,689,94
47,3191,631,94
48,3248,635,94
49,3471,277,94
50,3530,324,94
51,3586,468,94
52,3736,257,92
53,3915,403,9
54,4034,223,94
55,4191,276,94
56,4417,212,94
57,4627,60,94
58,4660,74,94
59,4918,273,87
60,5249,380,93
61,5315,489,94
62,5658,652,93
63,7205,204,94
64,7585,184,92
65,7874,494,93
66,8042,350,94
67,9763,185,59
68,9869,342,93
69,10401,271,94
70,10415,307,94
71,10585,226,94
72,11894,911,90
73,12470,1386,94
74,14075,170,94
75,16775,299,94
76,18320,471,94
77,21307,672,94
78,21332,0,93
79,21378,115,71
80,21499,109,73
81,21937,142,94
82,21963,155,91
83,22336,229,54
84,22550,209,86
85,22570,197,93
86,22571,135,57
87,22640,80,56
88,22675,45,31
89,23693,578,94
90,24674,411,94
91,24816,184,94
92,24817,187,94
93,25395,207,93
