ID,Column_ID,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,3191,94
2,47,1159,94
3,71,1084,94
4,95,1164,94
5,113,934,94
6,179,1417,94
7,260,997,2
8,303,826,93
9,335,1475,94
10,404,841,70
11,417,1340,94
12,437,1311,94
13,466,1048,94
14,467,1048,94
15,563,516,94
16,566,519,94
17,647,149,94
18,782,112,94
19,793,112,89
20,821,187,94
21,914,226,94
22,925,146,91
23,1001,153,94
24,1055,229,94
25,1102,99,93
26,1160,320,94
27,1207,564,94
28,1232,567,94
29,1323,377,94
30,1373,155,94
31,1418,74,94
32,1620,171,94
33,1665,147,94
34,1817,425,94
35,1923,256,94
36,1992,459,94
37,2129,302,94
38,2135,297,94
39,2141,290,94
40,2204,204,91
41,2426,487,94
42,2636,308,93
43,2771,424,91
44,2874,398,94
45,2975,213,94
46,3162,33,94
47,3191,147,94
48,3248,149,94
49,3471,60,94
50,3530,78,94
51,3586,23,94
52,3736,63,92
53,3915,225,9
54,4034,166,94
55,4191,223,94
56,4417,208,94
57,4627,151,94
58,4660,284,94
59,4918,234,87
60,5249,362,93
61,5315,325,94
62,5658,71,93
63,7205,735,94
64,7585,428,92
65,7874,172,93
66,8042,151,94
67,9763,1052,59
68,9869,540,93
69,10401,275,94
70,10415,607,94
71,10585,874,94
72,11894,305,90
73,12470,312,94
74,14075,184,94
75,16775,586,94
76,18320,197,94
77,21307,0,94
78,21332,31,93
79,21378,28,71
80,21499,229,73
81,21937,64,94
82,21963,66,91
83,22336,0,54
84,22550,305,86
85,22570,70,93
86,22571,70,57
87,22640,152,56
88,22675,116,31
89,23693,0,94
90,24674,50,94
91,24816,164,94
92,24817,164,94
93,25395,858,93
