Sample	Coverage	Pangolin	Scorpio	Nextclade	WHO clade	Note
EPI_ISL_2491781_lineage_A	99.98%	P.1	Gamma (P.1-like)	P.1	Gamma	Usher placements: P.1(1/1)
EPI_ISL_2491781_lineage_B	99.98%	P.2		P.2		Usher placements: P.2(1/1)
EPI_ISL_2645599_lineage_A	99.98%	B.1.1.33		B.1.1		Usher placements: B.1.1.33(1/1)
EPI_ISL_2645599_lineage_B	99.98%	P.2		P.2		Usher placements: P.2(1/1)
EPI_ISL_1068258_lineage_A	99.99%	B.1.1.274		B.1.1.274		Usher placements: B.1.1.274(1/1)
EPI_ISL_1068258_lineage_B	99.99%	P.1	Gamma (P.1-like)	P.1	Gamma	Usher placements: P.1(1/1)
EPI_ISL_2491769_lineage_A	99.98%	B.1.1.28		B.1.1.28		Usher placements: B.1.1.28(1/1)
EPI_ISL_2491769_lineage_B	99.98%	P.2		P.2		Usher placements: P.2(1/1)
EPI_ISL_2661931_lineage_A	99.98%	B.1.1.28		B.1.1.28		Usher placements: B.1.1.28(1/1)
EPI_ISL_2661931_lineage_B	99.97%	P.1	Gamma (P.1-like)	P.1	Gamma	Usher placements: P.1(1/1)
EPI_ISL_2777552_lineage_A	99.99%	B.1.1.28		B.1.1.28		Usher placements: B.1.1.28(1/1)
EPI_ISL_2777552_lineage_B	99.99%	P.1	Gamma (P.1-like)	P.1	Gamma	Usher placements: P.1(1/1)
EPI_ISL_2661789_lineage_A	99.99%	B.1.1		B.1.1.28		Usher placements: B.1.1(1/2) B.1.1.28(1/2)
EPI_ISL_2661789_lineage_B	100.0%	P.2		P.2		Usher placements: P.2(1/1)
