Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
210,572.0,6,6,8,552,0.01048951048951049,0.01048951048951049,0.013986013986013986,0.965034965034965
241,541.0,3,5,5,528,0.005545286506469501,0.009242144177449169,0.009242144177449169,0.9759704251386322
670,1601.0,12,15,88,1486,0.007495315427857589,0.009369144284821987,0.05496564647095565,0.9281698938163647
934,2246.0,17,2087,9,133,0.007569011576135352,0.9292074799643811,0.004007123775601068,0.059216384683882455
1274,2972.0,2640,28,281,23,0.8882907133243607,0.009421265141318977,0.09454912516823688,0.007738896366083445
2790,4909.0,46,4292,41,530,0.009370543898961092,0.8743124872682827,0.008352006518639234,0.10796496231411692
3037,3259.0,39,51,34,3135,0.011966861000306842,0.01564897207732433,0.010432648051549556,0.9619515188708193
3655,4125.0,43,544,24,3514,0.010424242424242424,0.13187878787878787,0.005818181818181818,0.8518787878787879
4181,2620.0,29,39,562,1990,0.011068702290076336,0.014885496183206106,0.21450381679389313,0.7595419847328244
4184,2692.0,543,24,2094,31,0.20170876671619614,0.008915304606240713,0.7778603268945022,0.011515601783060922
4321,3471.0,30,2923,28,490,0.00864304235090752,0.8421204263900893,0.008066839527513685,0.1411696917314895
6402,2032.0,16,523,18,1475,0.007874015748031496,0.2573818897637795,0.008858267716535433,0.7258858267716536
8986,3005.0,23,286,15,2681,0.007653910149750416,0.0951747088186356,0.004991680532445923,0.8921797004991681
8991,3066.0,26,2749,27,264,0.008480104370515329,0.8966079582517938,0.008806262230919765,0.08610567514677103
9053,3078.0,28,25,289,2736,0.009096816114359974,0.008122157244964262,0.09389213775178687,0.8888888888888888
9333,2493.0,14,253,20,2206,0.005615724027276374,0.10148415563578018,0.008022462896109106,0.8848776574408344
9344,2672.0,17,2387,18,250,0.006362275449101796,0.8933383233532934,0.006736526946107785,0.09356287425149701
9424,3233.0,2904,47,258,24,0.8982369316424373,0.01453758119393752,0.07980204144757191,0.007423445716053201
9534,3352.0,33,3023,31,265,0.009844868735083532,0.9018496420047732,0.009248210023866348,0.07905727923627685
9866,3155.0,29,2848,24,254,0.00919175911251981,0.9026941362916007,0.007606973058637084,0.08050713153724247
10029,3372.0,37,39,32,3264,0.010972716488730723,0.011565836298932384,0.009489916963226572,0.9679715302491103
10198,3590.0,31,3257,24,278,0.008635097493036212,0.9072423398328691,0.006685236768802228,0.07743732590529248
10447,3516.0,327,19,3132,38,0.09300341296928327,0.00540386803185438,0.8907849829351536,0.01080773606370876
10449,3525.0,316,3164,23,22,0.08964539007092198,0.8975886524822695,0.006524822695035461,0.00624113475177305
11201,3726.0,395,33,3274,24,0.10601180891035963,0.008856682769726247,0.878690284487386,0.00644122383252818
11332,3883.0,398,32,3410,43,0.10249806850373423,0.008241050733968582,0.8781869688385269,0.011073911923770281
12880,5087.0,38,4507,45,497,0.007470021623746805,0.885983880479654,0.008846078238647533,0.09770001965795164
13329,4993.0,43,4445,38,467,0.008612056879631484,0.8902463448828359,0.007610654916883637,0.0935309433206489
14408,4526.0,40,47,33,4406,0.008837825894829872,0.0103844454264251,0.007291206363234644,0.9734865223155104
15012,4144.0,355,29,3723,37,0.08566602316602316,0.006998069498069498,0.8984073359073359,0.008928571428571428
15451,3925.0,3471,35,384,35,0.8843312101910829,0.008917197452229299,0.0978343949044586,0.008917197452229299
15714,3840.0,21,3425,35,359,0.00546875,0.8919270833333334,0.009114583333333334,0.09348958333333333
16466,3592.0,30,375,29,3158,0.008351893095768375,0.10439866369710468,0.008073496659242762,0.8791759465478842
17410,2194.0,18,1858,21,297,0.008204193254329991,0.8468550592525068,0.009571558796718322,0.13536918869644485
18163,2499.0,2120,16,342,21,0.8483393357342938,0.006402561024409764,0.1368547418967587,0.008403361344537815
19220,1182.0,11,381,8,782,0.009306260575296108,0.3223350253807107,0.00676818950930626,0.6615905245346869
19955,323.0,1,4,2,316,0.0030959752321981426,0.01238390092879257,0.006191950464396285,0.978328173374613
20055,280.0,0,2,275,3,0,0.007142857142857143,0.9821428571428571,0.010714285714285714
21618,330.0,3,4,2,321,0.00909090909090909,0.012121212121212121,0.006060606060606061,0.9727272727272728
21987,301.0,298,2,0,1,0.9900332225913622,0.006644518272425249,0,0.0033222591362126247
22200,312.0,5,5,300,2,0.016025641025641024,0.016025641025641024,0.9615384615384616,0.00641025641025641
22578,361.0,328,5,24,4,0.9085872576177285,0.013850415512465374,0.0664819944598338,0.0110803324099723
22674,370.0,7,96,1,266,0.01891891891891892,0.2594594594594595,0.002702702702702703,0.7189189189189189
22679,368.0,2,263,2,101,0.005434782608695652,0.7146739130434783,0.005434782608695652,0.27445652173913043
22686,359.0,1,103,6,249,0.002785515320334262,0.28690807799442897,0.016713091922005572,0.6935933147632312
22688,358.0,100,1,252,5,0.27932960893854747,0.002793296089385475,0.7039106145251397,0.013966480446927373
22775,389.0,270,3,109,7,0.6940874035989717,0.007712082262210797,0.2802056555269923,0.017994858611825194
22786,369.0,105,258,3,3,0.2845528455284553,0.6991869918699187,0.008130081300813009,0.008130081300813009
22813,577.0,11,11,291,264,0.019064124783362217,0.019064124783362217,0.5043327556325823,0.45753899480069327
