barcode,positions,base_prop
,100,"[0.0, 0.3097014925373134, 0.003731343283582, 0.6865671641791045]"
,942,"[0.2419533851276359, 0.0, 0.758046614872364, 0.0]"
,1288,"[0.0, 0.7519142419601837, 0.0, 0.2480857580398162]"
,1885,"[0.0, 0.5750487329434698, 0.0, 0.4249512670565302]"
,2257,"[0.0, 0.5630252100840336, 0.0, 0.4369747899159664]"
,9711,"[0.0, 0.4175186515612047, 0.0002763194252555, 0.5822050290135397]"
,11824,"[0.0, 0.2006369426751592, 0.0, 0.7993630573248408]"
,23593,"[0.0006199628022318, 0.0002066542674106, 0.7660673692911759, 0.2331060136391816]"
,28628,"[0.0, 0.0, 0.2283884738527214, 0.7716115261472786]"
,28975,"[0.0, 0.0, 0.2123893805309734, 0.7876106194690266]"
