ID,Column_ID,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_Freq,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_LNum
1,9,22,94
2,47,15,94
3,71,20,94
4,95,22,94
5,113,21,94
6,179,25,94
7,260,29,93
8,303,27,93
9,335,29,94
10,404,13,70
11,417,16,94
12,437,17,94
13,466,20,94
14,467,20,94
15,563,21,94
16,566,15,94
17,647,40,94
18,782,7,94
19,793,9,89
20,821,13,94
21,914,37,94
22,925,37,91
23,1001,41,94
24,1055,42,94
25,1102,37,93
26,1160,9,94
27,1207,23,94
28,1232,23,94
29,1323,32,94
30,1373,36,94
31,1418,14,94
32,1620,28,94
33,1665,21,94
34,1817,36,94
35,1923,59,94
36,1992,68,94
37,2129,40,94
38,2135,30,94
39,2141,28,94
40,2204,12,91
41,2426,18,94
42,2636,30,93
43,2771,14,91
44,2874,16,94
45,2975,45,94
46,3162,53,94
47,3191,42,94
48,3248,52,94
49,3471,16,94
50,3530,23,94
51,3586,34,94
52,3736,14,92
53,3915,0,86
54,4034,19,94
55,4191,17,94
56,4417,10,94
57,4627,0,94
58,4660,0,94
59,4918,23,87
60,5249,25,93
61,5315,32,94
62,5658,74,93
63,7205,11,94
64,7585,11,92
65,7874,15,93
66,8042,6,94
67,9763,13,59
68,9869,14,93
69,10401,23,94
70,10415,24,94
71,10585,16,94
72,11894,47,90
73,12470,43,94
74,14075,9,94
75,16775,10,94
76,18320,25,94
77,21307,72,94
78,21332,71,93
79,21378,17,71
80,21499,0,22
81,21937,6,94
82,21963,7,91
83,22336,48,41
84,22550,18,86
85,22570,18,93
86,22571,18,38
87,22640,8,39
88,22675,8,62
89,23693,59,94
90,24674,39,94
91,24816,15,94
92,24817,15,94
93,25395,18,93
