ID,Column_ID,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_Freq,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_LNum
1,9,2140,94
2,47,2140,94
3,71,2108,94
4,95,1895,94
5,113,1671,94
6,179,1684,94
7,260,1328,93
8,303,1214,93
9,335,1219,94
10,404,1219,70
11,417,1247,94
12,437,1273,94
13,466,1249,94
14,467,1252,94
15,563,1240,94
16,566,1232,94
17,647,1358,94
18,782,1437,94
19,793,1369,89
20,821,1443,94
21,914,1320,94
22,925,1514,91
23,1001,927,94
24,1055,1443,94
25,1102,1486,93
26,1160,1472,94
27,1207,1494,94
28,1232,1456,94
29,1323,2039,94
30,1373,2348,94
31,1418,2601,94
32,1620,3160,94
33,1665,2777,94
34,1817,1480,94
35,1923,1685,94
36,1992,1661,94
37,2129,1421,94
38,2135,1264,94
39,2141,1222,94
40,2204,1281,91
41,2426,1383,94
42,2636,1519,93
43,2771,1570,91
44,2874,1646,94
45,2975,1749,94
46,3162,1804,94
47,3191,1828,94
48,3248,1842,94
49,3471,806,94
50,3530,1199,94
51,3586,1215,94
52,3736,984,92
53,3915,753,86
54,4034,806,94
55,4191,865,94
56,4417,852,94
57,4627,881,94
58,4660,922,94
59,4918,1168,87
60,5249,4060,93
61,5315,4630,94
62,5658,2404,93
63,7205,5295,94
64,7585,2444,92
65,7874,3338,93
66,8042,3595,94
67,9763,3363,36
68,9869,3504,93
69,10401,2271,1
70,10415,3267,94
71,10585,1176,94
72,11894,753,90
73,12470,1513,94
74,14075,5354,94
75,16775,1847,94
76,18320,3743,94
77,21307,1312,94
78,21332,1174,93
79,21378,1195,71
80,21499,999,73
81,21937,922,94
82,21963,980,91
83,22336,1359,54
84,22550,1513,86
85,22570,1461,93
86,22571,1457,57
87,22640,3580,56
88,22675,3853,62
89,23693,2765,94
90,24674,3294,94
91,24816,2635,94
92,24817,2628,94
93,25395,2096,93
