Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
320,0.0,0,0,0,0,0,0,0,0
1418,2952.0,2777,31,122,22,0.9407181571815718,0.010501355013550135,0.041327913279132794,0.007452574525745257
2172,4431.0,212,39,4148,32,0.047844730309185284,0.008801624915368992,0.9361317986910404,0.007221846084405326
3037,4861.0,47,54,40,4720,0.009668792429541247,0.011108825344579305,0.008228759514503189,0.9709936227113762
4181,4949.0,39,39,182,4689,0.007880379874722166,0.007880379874722166,0.036775106082036775,0.9474641341685189
4321,5249.0,53,5005,53,138,0.010097161364069346,0.9535149552295675,0.010097161364069346,0.02629072204229377
4754,5019.0,41,153,47,4778,0.00816895795975294,0.030484160191273164,0.009364415222155809,0.9519824666268181
5184,5138.0,37,4967,41,93,0.007201245620864149,0.9667185675360063,0.007979758660957572,0.01810042818217205
5192,5121.0,32,4960,37,92,0.006248779535247022,0.9685608279632885,0.007225151337629369,0.01796524116383519
5584,5316.0,5036,49,170,61,0.9473288186606471,0.009217456734386757,0.03197893152746426,0.01147479307750188
6402,4815.0,41,166,47,4561,0.008515057113187955,0.03447559709241952,0.009761163032191069,0.9472481827622015
7124,3720.0,29,178,26,3487,0.0077956989247311825,0.0478494623655914,0.006989247311827957,0.9373655913978495
7886,3864.0,3663,34,139,28,0.9479813664596274,0.008799171842650104,0.03597308488612837,0.007246376811594203
7945,3641.0,30,137,27,3447,0.008239494644328481,0.0376270255424334,0.007415545179895633,0.9467179346333425
8964,2996.0,24,2803,32,137,0.00801068090787717,0.9355807743658211,0.010680907877169559,0.045727636849132176
8986,2820.0,19,144,28,2629,0.00673758865248227,0.05106382978723404,0.009929078014184398,0.9322695035460993
9053,2795.0,26,26,129,2614,0.009302325581395349,0.009302325581395349,0.046153846153846156,0.9352415026833631
9857,3014.0,16,2823,29,146,0.0053085600530856005,0.9366290643662907,0.009621765096217651,0.04844061048440611
9891,3184.0,27,2953,40,164,0.008479899497487437,0.9274497487437185,0.01256281407035176,0.05150753768844221
10029,3262.0,36,181,28,3017,0.011036174126302882,0.05548743102391171,0.008583690987124463,0.924892703862661
11161,3697.0,3454,32,176,35,0.9342710305653232,0.008655666756829862,0.047606167162564245,0.009467135515282662
11201,3654.0,170,36,3422,26,0.046524356869184456,0.009852216748768473,0.9365079365079365,0.0071154898741105635
11332,3724.0,207,36,3440,41,0.055585392051557464,0.00966702470461869,0.9237379162191193,0.01100966702470462
11418,3896.0,38,160,44,3654,0.009753593429158111,0.04106776180698152,0.011293634496919919,0.9378850102669405
11488,3971.0,37,3752,29,153,0.009317552253840343,0.9448501636867288,0.007302946361118106,0.038529337698312766
11514,4080.0,35,3860,36,149,0.00857843137254902,0.946078431372549,0.008823529411764706,0.03651960784313726
13019,4944.0,42,4739,43,120,0.00849514563106796,0.9585355987055016,0.008697411003236247,0.024271844660194174
13335,4835.0,48,4693,41,53,0.009927611168562564,0.9706308169596691,0.008479834539813857,0.010961737331954498
14246,4938.0,4768,45,77,48,0.9655731065208586,0.009113001215066828,0.015593357634669907,0.009720534629404616
14408,4549.0,49,47,40,4413,0.010771598153440316,0.010331941085952957,0.008793141349747197,0.9701033194108595
