barcode,positions,base_prop
,670,"[0.0147058823529411, 0.0, 0.7352941176470589, 0.25]"
,2653,"[0.75, 0.0138888888888888, 0.0138888888888888, 0.2222222222222222]"
,2790,"[0.0, 0.2535211267605634, 0.0140845070422535, 0.7323943661971831]"
,4181,"[0.0, 0.0178571428571428, 0.6607142857142857, 0.3214285714285714]"
,4184,"[0.6346153846153846, 0.0, 0.3461538461538461, 0.0192307692307692]"
,4321,"[0.0, 0.5121951219512195, 0.0, 0.4878048780487805]"
,7124,"[0.0125, 0.775, 0.0, 0.2125]"
,7936,"[0.0, 0.0, 0.75, 0.25]"
,8986,"[0.0, 0.7605633802816901, 0.0, 0.2394366197183098]"
,9053,"[0.0, 0.0, 0.76, 0.24]"
,9220,"[0.2222222222222222, 0.0, 0.7777777777777778, 0.0]"
,9344,"[0.0, 0.2575757575757575, 0.0, 0.7424242424242424]"
,9424,"[0.2394366197183098, 0.0, 0.7464788732394366, 0.0140845070422535]"
,9534,"[0.0, 0.2424242424242424, 0.0, 0.7575757575757576]"
,9866,"[0.0204081632653061, 0.3061224489795918, 0.0, 0.673469387755102]"
,10198,"[0.0, 0.2115384615384615, 0.0192307692307692, 0.7692307692307693]"
,10447,"[0.75, 0.0, 0.25, 0.0]"
,10449,"[0.7192982456140351, 0.2280701754385964, 0.0526315789473684, 0.0]"
,16466,"[0.0175438596491228, 0.7719298245614035, 0.0, 0.2105263157894736]"
,17236,"[0.7457627118644068, 0.0, 0.2542372881355932, 0.0]"
,17410,"[0.0350877192982456, 0.3333333333333333, 0.0, 0.631578947368421]"
,18163,"[0.3076923076923077, 0.0, 0.6923076923076923, 0.0]"
,18395,"[0.0, 0.6727272727272727, 0.0, 0.3272727272727272]"
,19220,"[0.0, 0.75, 0.0, 0.25]"
,19955,"[0.0, 0.2711864406779661, 0.0508474576271186, 0.6779661016949152]"
,20055,"[0.4666666666666667, 0.0166666666666666, 0.5166666666666667, 0.0]"
,21618,"[0.0285714285714285, 0.0428571428571428, 0.2428571428571428, 0.6857142857142857]"
,22200,"[0.0303030303030303, 0.0, 0.6818181818181818, 0.2878787878787879]"
,22205,"[0.0, 0.0138888888888888, 0.7361111111111112, 0.25]"
,22786,"[0.5882352941176471, 0.4117647058823529, 0.0, 0.0]"
,22792,"[0.0, 0.5277777777777778, 0.0, 0.4722222222222222]"
,22813,"[0.0256410256410256, 0.0, 0.5128205128205128, 0.4615384615384615]"
,22882,"[0.0, 0.0, 0.5681818181818182, 0.4318181818181818]"
,22917,"[0.0, 0.0188679245283018, 0.3584905660377358, 0.6226415094339622]"
,22992,"[0.6551724137931034, 0.0, 0.3448275862068966, 0.0]"
,23013,"[0.3559322033898305, 0.6440677966101694, 0.0, 0.0]"
,23040,"[0.3278688524590163, 0.0163934426229508, 0.639344262295082, 0.0163934426229508]"
,23055,"[0.3770491803278688, 0.0163934426229508, 0.6065573770491803, 0.0]"
,23063,"[0.3508771929824561, 0.0350877192982456, 0.0, 0.6140350877192983]"
,23075,"[0.0158730158730158, 0.6666666666666666, 0.0158730158730158, 0.3015873015873015]"
,23525,"[0.0384615384615384, 0.2692307692307692, 0.0, 0.6923076923076923]"
,23599,"[0.0, 0.0, 0.7215189873417721, 0.2784810126582278]"
,23604,"[0.6951219512195121, 0.048780487804878, 0.2560975609756097, 0.0]"
,23638,"[0.0, 0.3, 0.0125, 0.6875]"
,23854,"[0.64, 0.3333333333333333, 0.0133333333333333, 0.0133333333333333]"
,23948,"[0.0246913580246913, 0.0123456790123456, 0.2098765432098765, 0.7530864197530864]"
,24424,"[0.3058823529411765, 0.0, 0.0117647058823529, 0.6823529411764706]"
,25000,"[0.0, 0.2068965517241379, 0.0114942528735632, 0.7816091954022989]"
,25062,"[0.0, 0.0114942528735632, 0.7816091954022989, 0.2068965517241379]"
,25584,"[0.0126582278481012, 0.2911392405063291, 0.0, 0.6962025316455697]"
,26060,"[0.0, 0.2337662337662337, 0.0259740259740259, 0.7402597402597403]"
,26270,"[0.0125, 0.2625, 0.0125, 0.7125]"
,26709,"[0.75, 0.0131578947368421, 0.2236842105263158, 0.0131578947368421]"
,26858,"[0.0136986301369863, 0.2054794520547945, 0.0, 0.7808219178082192]"
,27383,"[0.2222222222222222, 0.0277777777777777, 0.0, 0.75]"
,27384,"[0.0, 0.7297297297297297, 0.0, 0.2702702702702703]"
,27638,"[0.0, 0.2191780821917808, 0.0136986301369863, 0.7671232876712328]"
,27752,"[0.0135135135135135, 0.7837837837837838, 0.0, 0.2027027027027027]"
,27807,"[0.0144927536231884, 0.2028985507246377, 0.0, 0.782608695652174]"
,28311,"[0.0, 0.3150684931506849, 0.0, 0.684931506849315]"
,28658,"[0.2205882352941176, 0.0, 0.7794117647058824, 0.0]"
,28795,"[0.4098360655737705, 0.0, 0.5901639344262295, 0.0]"
,28883,"[0.015625, 0.734375, 0.21875, 0.03125]"
,29510,"[0.2131147540983606, 0.7049180327868853, 0.0163934426229508, 0.0655737704918032]"
