ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,29,94
2,47,36,94
3,71,34,94
4,95,32,94
5,113,36,94
6,179,32,94
7,260,28,93
8,303,35,93
9,335,31,94
10,404,16,25
11,417,23,94
12,437,21,94
13,466,25,94
14,467,24,94
15,563,29,94
16,566,28,94
17,647,30,94
18,782,29,94
19,793,30,89
20,821,26,94
21,914,33,94
22,925,40,91
23,1001,37,94
24,1055,35,94
25,1102,28,93
26,1160,36,94
27,1207,37,94
28,1232,35,94
29,1323,34,94
30,1373,32,94
31,1418,40,94
32,1620,29,94
33,1665,22,94
34,1817,45,94
35,1923,30,94
36,1992,43,94
37,2129,31,94
38,2135,34,94
39,2141,27,94
40,2204,30,91
41,2426,46,94
42,2636,32,93
43,2771,37,91
44,2874,29,94
45,2975,37,94
46,3162,39,94
47,3191,38,94
48,3248,44,94
49,3471,37,94
50,3530,39,94
51,3586,38,94
52,3736,35,92
53,3915,19,86
54,4034,36,94
55,4191,20,94
56,4417,17,94
57,4627,42,94
58,4660,36,94
59,4918,39,87
60,5249,28,93
61,5315,33,94
62,5658,30,93
63,7205,46,94
64,7585,44,92
65,7874,41,93
66,8042,56,94
67,9763,67,59
68,9869,45,93
69,10401,57,94
70,10415,50,94
71,10585,32,94
72,11894,47,90
73,12470,40,94
74,14075,53,94
75,16775,37,94
76,18320,27,94
77,21307,37,94
78,21332,24,93
79,21378,24,24
80,21499,29,73
81,21937,15,94
82,21963,8,91
83,22336,0,41
84,22550,17,9
85,22570,40,93
86,22571,16,38
87,22640,8,39
88,22675,20,62
89,23693,29,94
90,24674,33,94
91,24816,31,94
92,24817,29,94
93,25395,42,93
