taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
ERR12411100,AY.98.1,0.0,,Delta (B.1.617.2-like),0.46,0.0,scorpio call: Alt alleles 6; Ref alleles 0; Amb alleles 7; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411099,BA.1,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage BA.1
ERR12411105,B.1.1.529,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage B.1.1.529
ERR12411106,B.1.1.529,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage B.1.1.529
ERR12411098,BA.1,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage BA.1
ERR12411096,BA.1,0.0,,Probable Omicron (Unassigned),0.44,0.28,scorpio call: Alt alleles 14; Ref alleles 9; Amb alleles 8; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio found insufficient support to assign a specific lineage
ERR12411097,BA.1,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage BA.1
ERR12411095,BA.1,0.0,,Delta (B.1.617.2-like) +K417N,0.46,0.23,scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage BA.1
ERR12411104,AY.98.1,0.0,,Delta (B.1.617.2-like),0.54,0.08,scorpio call: Alt alleles 7; Ref alleles 1; Amb alleles 5; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411107,BA.1,0.0,,Delta (B.1.617.2-like) +K417N,0.38,0.23,scorpio call: Alt alleles 5; Ref alleles 3; Amb alleles 5; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1(1/1); scorpio lineage B.1.617.2 conflicts with inference lineage BA.1
ERR12411102,AY.98.1,0.0,,Delta (B.1.617.2-like),0.54,0.08,scorpio call: Alt alleles 7; Ref alleles 1; Amb alleles 5; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411101,AY.98.1,0.0,,Delta (B.1.617.2-like),0.54,0.0,scorpio call: Alt alleles 7; Ref alleles 0; Amb alleles 6; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
