ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,36,94
2,47,36,94
3,71,31,94
4,95,30,94
5,113,32,94
6,179,36,94
7,260,41,93
8,303,37,93
9,335,33,94
10,404,21,25
11,417,21,94
12,437,35,94
13,466,27,94
14,467,27,94
15,563,45,94
16,566,41,94
17,647,31,94
18,782,33,94
19,793,30,89
20,821,20,94
21,914,32,94
22,925,34,91
23,1001,32,94
24,1055,28,94
25,1102,30,93
26,1160,35,94
27,1207,32,94
28,1232,37,94
29,1323,30,94
30,1373,25,94
31,1418,27,94
32,1620,32,94
33,1665,27,94
34,1817,42,94
35,1923,28,94
36,1992,36,94
37,2129,35,94
38,2135,33,94
39,2141,29,94
40,2204,35,91
41,2426,35,94
42,2636,36,93
43,2771,30,91
44,2874,28,94
45,2975,39,94
46,3162,36,94
47,3191,27,94
48,3248,33,94
49,3471,34,94
50,3530,35,94
51,3586,33,94
52,3736,30,92
53,3915,29,86
54,4034,36,94
55,4191,11,94
56,4417,11,94
57,4627,40,94
58,4660,33,94
59,4918,41,87
60,5249,33,93
61,5315,34,94
62,5658,41,93
63,7205,38,94
64,7585,38,92
65,7874,26,93
66,8042,37,94
67,9763,46,59
68,9869,42,93
69,10401,37,94
70,10415,42,94
71,10585,28,94
72,11894,48,90
73,12470,50,94
74,14075,48,94
75,16775,56,94
76,18320,43,94
77,21307,45,94
78,21332,47,93
79,21378,43,24
80,21499,44,73
81,21937,48,94
82,21963,38,91
83,22336,0,41
84,22550,50,9
85,22570,58,93
86,22571,47,38
87,22640,27,39
88,22675,46,62
89,23693,34,94
90,24674,49,94
91,24816,50,94
92,24817,54,94
93,25395,53,93
