ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,395,94
2,47,400,94
3,71,416,94
4,95,307,94
5,113,361,94
6,179,282,94
7,260,388,93
8,303,343,93
9,335,343,94
10,404,336,70
11,417,378,94
12,437,392,94
13,466,375,94
14,467,348,94
15,563,352,94
16,566,346,94
17,647,310,94
18,782,267,94
19,793,267,89
20,821,222,94
21,914,1622,94
22,925,1658,91
23,1001,1349,94
24,1055,1499,94
25,1102,1453,93
26,1160,1375,94
27,1207,1164,94
28,1232,1177,94
29,1323,1283,94
30,1373,650,94
31,1418,1528,94
32,1620,1551,94
33,1665,1315,94
34,1817,1119,94
35,1923,1145,94
36,1992,538,94
37,2129,573,94
38,2135,524,94
39,2141,509,94
40,2204,490,91
41,2426,606,94
42,2636,401,93
43,2771,397,91
44,2874,318,94
45,2975,517,94
46,3162,524,94
47,3191,530,94
48,3248,520,94
49,3471,536,94
50,3530,446,94
51,3586,520,94
52,3736,511,92
53,3915,373,9
54,4034,0,94
55,4191,46,94
56,4417,58,94
57,4627,56,94
58,4660,58,94
59,4918,39,87
60,5249,1720,93
61,5315,1947,94
62,5658,1488,93
63,7205,1653,94
64,7585,1735,92
65,7874,1862,93
66,8042,2390,94
67,9763,259,59
68,9869,148,93
69,10401,985,94
70,10415,953,94
71,10585,779,94
72,11894,447,90
73,12470,563,94
74,14075,761,94
75,16775,262,94
76,18320,1952,94
77,21307,2632,94
78,21332,2634,93
79,21378,1468,71
80,21499,1664,73
81,21937,2327,94
82,21963,1802,91
83,22336,2138,54
84,22550,338,86
85,22570,1241,93
86,22571,920,57
87,22640,860,56
88,22675,878,31
89,23693,789,94
90,24674,230,94
91,24816,288,94
92,24817,285,94
93,25395,223,93
