Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
19,17.0,0,17,0,0,0,1.0,0,0
21,19.0,0,17,0,2,0,0.8947368421052632,0,0.10526315789473684
210,320.0,0,0,72,248,0,0,0.225,0.775
241,320.0,0,4,1,315,0,0.0125,0.003125,0.984375
709,297.0,2,0,295,0,0.006734006734006734,0,0.9932659932659933,0
1577,648.0,0,0,648,0,0,0,1.0,0
2198,861.0,118,1,739,3,0.13704994192799072,0.0011614401858304297,0.8583042973286876,0.003484320557491289
2832,345.0,284,0,60,1,0.8231884057971014,0,0.17391304347826086,0.002898550724637681
3037,269.0,0,2,0,267,0,0.007434944237918215,0,0.9925650557620818
4181,392.0,2,2,115,273,0.00510204081632653,0.00510204081632653,0.29336734693877553,0.6964285714285714
4326,33.0,33,0,0,0,1.0,0,0,0
4370,27.0,0,0,26,1,0,0,0.9629629629629629,0.037037037037037035
5386,704.0,3,3,163,535,0.004261363636363636,0.004261363636363636,0.2315340909090909,0.7599431818181818
5736,704.0,5,455,0,244,0.007102272727272727,0.6463068181818182,0,0.3465909090909091
5924,704.0,143,0,560,1,0.203125,0,0.7954545454545454,0.0014204545454545455
6040,673.0,0,147,3,523,0,0.21842496285289748,0.004457652303120356,0.7771173848439822
6402,357.0,1,88,0,268,0.0028011204481792717,0.24649859943977592,0,0.7507002801120448
6538,366.0,3,359,0,4,0.00819672131147541,0.9808743169398907,0,0.01092896174863388
7124,390.0,0,104,0,286,0,0.26666666666666666,0,0.7333333333333333
7594,730.0,0,613,4,113,0,0.8397260273972603,0.005479452054794521,0.1547945205479452
7798,743.0,6,1,735,1,0.008075370121130552,0.0013458950201884253,0.9892328398384926,0.0013458950201884253
8393,427.0,88,0,338,1,0.20608899297423888,0,0.7915690866510539,0.00234192037470726
8964,430.0,6,94,1,329,0.013953488372093023,0.2186046511627907,0.002325581395348837,0.7651162790697674
8986,439.0,1,85,0,353,0.002277904328018223,0.19362186788154898,0,0.8041002277904328
9053,444.0,4,0,92,348,0.009009009009009009,0,0.2072072072072072,0.7837837837837838
9539,182.0,7,128,4,43,0.038461538461538464,0.7032967032967034,0.02197802197802198,0.23626373626373626
10029,158.0,1,4,1,152,0.006329113924050633,0.02531645569620253,0.006329113924050633,0.9620253164556962
10046,172.0,8,0,164,0,0.046511627906976744,0,0.9534883720930233,0
10449,496.0,123,366,0,7,0.24798387096774194,0.7379032258064516,0,0.014112903225806451
11002,506.0,506,0,0,0,1.0,0,0,0
11201,498.0,129,1,364,4,0.25903614457831325,0.002008032128514056,0.7309236947791165,0.008032128514056224
11332,443.0,122,2,317,2,0.27539503386004516,0.004514672686230248,0.7155756207674944,0.004514672686230248
11537,367.0,291,0,76,0,0.7929155313351499,0,0.20708446866485014,0
13195,423.0,0,85,1,337,0,0.20094562647754138,0.002364066193853428,0.7966903073286052
13482,392.0,93,2,296,1,0.2372448979591837,0.00510204081632653,0.7551020408163265,0.002551020408163265
14408,410.0,1,12,1,396,0.0024390243902439024,0.02926829268292683,0.0024390243902439024,0.9658536585365853
14820,668.0,664,1,2,1,0.9940119760479041,0.0014970059880239522,0.0029940119760479044,0.0014970059880239522
15240,631.0,1,505,0,125,0.001584786053882726,0.8003169572107766,0,0.19809825673534073
15451,617.0,475,0,142,0,0.7698541329011345,0,0.23014586709886548,0
16466,514.0,1,105,0,408,0.0019455252918287938,0.20428015564202334,0,0.7937743190661478
18163,713.0,561,0,152,0,0.7868162692847125,0,0.2131837307152875,0
18555,706.0,0,701,0,5,0,0.9929178470254958,0,0.007082152974504249
19220,504.0,0,114,0,390,0,0.2261904761904762,0,0.7738095238095238
21372,478.0,2,0,91,385,0.0041841004184100415,0,0.1903765690376569,0.805439330543933
21597,1068.0,0,222,0,846,0,0.20786516853932585,0,0.7921348314606742
21618,1045.0,8,214,823,0,0.007655502392344498,0.20478468899521532,0.7875598086124402,0
21762,714.0,0,566,1,147,0,0.7927170868347339,0.0014005602240896359,0.20588235294117646
21846,719.0,4,12,5,698,0.005563282336578581,0.016689847009735744,0.006954102920723227,0.9707927677329624
21987,584.0,570,1,12,1,0.976027397260274,0.0017123287671232876,0.02054794520547945,0.0017123287671232876
22578,1184.0,255,1,926,2,0.21537162162162163,0.0008445945945945946,0.7820945945945946,0.0016891891891891893
22679,582.0,4,123,0,455,0.006872852233676976,0.211340206185567,0,0.781786941580756
22686,577.0,0,450,0,127,0,0.779896013864818,0,0.22010398613518198
22750,603.0,0,0,0,603,0,0,0,1.0
22785,598.0,2,6,142,448,0.0033444816053511705,0.010033444816053512,0.23745819397993312,0.7491638795986622
22813,609.0,0,2,475,132,0,0.003284072249589491,0.7799671592775042,0.21674876847290642
22882,595.0,1,5,127,462,0.0016806722689075631,0.008403361344537815,0.2134453781512605,0.7764705882352941
22898,572.0,128,0,444,0,0.22377622377622378,0,0.7762237762237763,0
22917,584.0,14,2,418,150,0.023972602739726026,0.003424657534246575,0.7157534246575342,0.2568493150684932
22992,591.0,147,3,8,433,0.24873096446700507,0.005076142131979695,0.01353637901861252,0.7326565143824028
22995,579.0,569,9,0,1,0.9827288428324698,0.015544041450777202,0,0.0017271157167530224
23013,607.0,456,146,2,3,0.7512355848434926,0.24052718286655683,0.0032948929159802307,0.004942339373970346
23029,582.0,1,151,2,428,0.001718213058419244,0.25945017182130586,0.003436426116838488,0.7353951890034365
23040,601.0,459,0,142,0,0.7637271214642263,0,0.23627287853577372,0
23048,592.0,128,1,462,1,0.21621621621621623,0.0016891891891891893,0.7804054054054054,0.0016891891891891893
23055,593.0,460,1,132,0,0.7757166947723441,0.0016863406408094434,0.22259696458684655,0
23063,603.0,473,0,0,130,0.7844112769485904,0,0,0.2155887230514096
23075,613.0,0,143,0,470,0,0.233278955954323,0,0.766721044045677
23202,586.0,124,452,2,8,0.21160409556313994,0.7713310580204779,0.0034129692832764505,0.013651877133105802
23403,491.0,14,0,469,8,0.028513238289205704,0,0.955193482688391,0.016293279022403257
23525,505.0,0,389,2,114,0,0.7702970297029703,0.0039603960396039604,0.22574257425742575
23599,819.0,2,0,91,726,0.002442002442002442,0,0.1111111111111111,0.8864468864468864
23604,799.0,99,15,684,1,0.12390488110137672,0.01877346683354193,0.8560700876095119,0.0012515644555694619
23874,460.0,0,350,1,109,0,0.7608695652173914,0.002173913043478261,0.23695652173913043
24410,450.0,445,1,4,0,0.9888888888888889,0.0022222222222222222,0.008888888888888889,0
25000,198.0,0,152,0,46,0,0.7676767676767676,0,0.23232323232323232
25469,257.0,3,55,0,199,0.011673151750972763,0.2140077821011673,0,0.77431906614786
25521,243.0,0,60,0,183,0,0.24691358024691357,0,0.7530864197530864
25568,259.0,0,259,0,0,0,1.0,0,0
25584,250.0,0,198,1,51,0,0.792,0.004,0.204
25728,590.0,0,588,0,2,0,0.9966101694915255,0,0.003389830508474576
25836,384.0,1,321,0,62,0.0026041666666666665,0.8359375,0,0.16145833333333334
26187,374.0,2,279,0,93,0.0053475935828877,0.7459893048128342,0,0.24866310160427807
26270,365.0,3,283,1,78,0.00821917808219178,0.7753424657534247,0.0027397260273972603,0.2136986301369863
26530,355.0,282,0,72,1,0.7943661971830986,0,0.2028169014084507,0.0028169014084507044
26577,346.0,0,278,68,0,0,0.8034682080924855,0.19653179190751446,0
26709,358.0,122,1,235,0,0.3407821229050279,0.002793296089385475,0.6564245810055865,0
