taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
Coinfection-nanopore2023-5%-error-20%-minor-variant_lineage_A,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-5%-error-20%-minor-variant_lineage_B,BA.2,0.0,,Probable Omicron (Unassigned),0.44,0.09,scorpio call: Alt alleles 14; Ref alleles 3; Amb alleles 13; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-20%-error-20%-minor-variant_lineage_A,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-20%-error-20%-minor-variant_lineage_B,BA.2,0.0,,Probable Omicron (Unassigned),0.41,0.09,scorpio call: Alt alleles 13; Ref alleles 3; Amb alleles 14; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Omicron (BA.2-like),0.76,0.11,scorpio call: Alt alleles 47; Ref alleles 7; Amb alleles 6; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-10%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.76,0.11,scorpio call: Alt alleles 47; Ref alleles 7; Amb alleles 6; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-2%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Probable Omicron (Unassigned),0.59,0.09,scorpio call: Alt alleles 19; Ref alleles 3; Amb alleles 9; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.72,0.09,scorpio call: Alt alleles 23; Ref alleles 3; Amb alleles 6; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-20%-error-50%-minor-variant_lineage_A,B.1.617.2,0.045454545454545456,,Delta (B.1.617.2-like),0.54,0.0,scorpio call: Alt alleles 7; Ref alleles 0; Amb alleles 5; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/22) B.1.617.2(21/22)
Coinfection-nanopore2023-20%-error-50%-minor-variant_lineage_B,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-2%-error-20%-minor-variant_lineage_A,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.38,0.09,scorpio call: Alt alleles 12; Ref alleles 3; Amb alleles 14; Oth alleles 3,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-20%-minor-variant_lineage_B,BA.2,0.0,,Probable Omicron (Unassigned),0.53,0.09,scorpio call: Alt alleles 17; Ref alleles 3; Amb alleles 11; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-50%-minor-variant_lineage_A,B.1.617.2,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.617.2(25/25)
Coinfection-nanopore2023-10%-error-50%-minor-variant_lineage_B,B.1.1.529,0.9090909090909091,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/11) B.1.617.2(10/11)
Coinfection-nanopore2023-5%-error-50%-minor-variant_lineage_A,B.1.617.2,0.04,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/25) B.1.617.2(24/25)
Coinfection-nanopore2023-5%-error-50%-minor-variant_lineage_B,B.1.1.529,0.75,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/4) B.1.617.2(3/4)
Coinfection-nanopore2023-10%-error-20%-minor-variant_lineage_A,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-10%-error-20%-minor-variant_lineage_B,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-2%-error-50%-minor-variant_lineage_A,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-2%-error-50%-minor-variant_lineage_B,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-5%-error-5%-minor-variant_lineage_A,BA.2,0.0,,Omicron (Unassigned),0.69,0.09,scorpio call: Alt alleles 22; Ref alleles 3; Amb alleles 6; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(4/4); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-5%-error-5%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.87,0.1,scorpio call: Alt alleles 54; Ref alleles 6; Amb alleles 1; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(3/3)
Coinfection-nanopore2023-2%-error-5%-minor-variant_lineage_A,BA.2,0.0,,Omicron (BA.2-like),0.84,0.1,scorpio call: Alt alleles 52; Ref alleles 6; Amb alleles 3; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-2%-error-5%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.84,0.1,scorpio call: Alt alleles 52; Ref alleles 6; Amb alleles 3; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-20%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Omicron (BA.2-like),0.76,0.1,scorpio call: Alt alleles 47; Ref alleles 6; Amb alleles 8; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-20%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.76,0.1,scorpio call: Alt alleles 47; Ref alleles 6; Amb alleles 8; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-5%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Omicron (Unassigned),0.69,0.09,scorpio call: Alt alleles 22; Ref alleles 3; Amb alleles 6; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-5%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.81,0.1,scorpio call: Alt alleles 50; Ref alleles 6; Amb alleles 5; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
