barcode,positions,base_prop
,100,"[0.0024390243902439, 0.5121951219512195, 0.0024390243902439, 0.4829268292682926]"
,733,"[0.0019646365422396, 0.474459724950884, 0.0019646365422396, 0.5216110019646365]"
,1102,"[0.0011997600479904, 0.5788842231553689, 0.0, 0.4199160167966406]"
,2749,"[0.00185960018596, 0.7210599721059973, 0.00139470013947, 0.2756857275685727]"
,10667,"[0.0, 0.0, 0.749003984063745, 0.250996015936255]"
,11824,"[0.0, 0.217220033764772, 0.0, 0.7827799662352279]"
,12053,"[0.0005865102639296, 0.2498533724340176, 0.0011730205278592, 0.7483870967741936]"
,17259,"[0.0, 0.0007230657989877, 0.7758496023138105, 0.2234273318872017]"
,21614,"[0.0, 0.7690892364305428, 0.0, 0.2309107635694572]"
,21621,"[0.2387923147301006, 0.7584629460201281, 0.0, 0.0027447392497712]"
,21638,"[0.0008110300081103, 0.7518248175182481, 0.0016220600162206, 0.2457420924574209]"
,21974,"[0.0, 0.0009930486593843, 0.7745779543197616, 0.224428997020854]"
,22132,"[0.0017361111111111, 0.0, 0.7934027777777778, 0.2048611111111111]"
,22738,"[0.0, 0.2965587044534413, 0.0, 0.7034412955465587]"
,22812,"[0.6839309428950863, 0.3160690571049137, 0.0, 0.0]"
,23063,"[0.6641318124207858, 0.0, 0.0, 0.3358681875792142]"
,23525,"[0.0, 0.6885382059800664, 0.0, 0.3114617940199335]"
,24632,"[0.0022935779816513, 0.6559633027522935, 0.0, 0.341743119266055]"
,24642,"[0.0, 0.6428571428571429, 0.0024630541871921, 0.354679802955665]"
,25844,"[0.0009460737937559, 0.4723273415326395, 0.0004730368968779, 0.5262535477767266]"
,26149,"[0.0014477017734346, 0.4243575823380384, 0.0014477017734346, 0.5727470141150923]"
,28010,"[0.0, 0.6016059295861643, 0.0, 0.3983940704138357]"
,28045,"[0.0005141388174807, 0.4226221079691517, 0.0015424164524421, 0.5753213367609255]"
,28167,"[0.4267803410230692, 0.0005015045135406, 0.5722166499498496, 0.0005015045135406]"
,28253,"[0.0, 0.4533029612756264, 0.0022779043280182, 0.5444191343963554]"
,28300,"[0.0, 0.0018885741265344, 0.4825306893295562, 0.5155807365439093]"
,28512,"[0.0031071983428275, 0.4588296219575349, 0.5365095805282237, 0.0015535991714137]"
,28628,"[0.0015082956259426, 0.0005027652086475, 0.5781799899446959, 0.4198089492207139]"
,28975,"[0.0011890606420927, 0.0005945303210463, 0.6105826397146255, 0.3876337693222354]"
,29754,"[0.0, 0.6, 0.0, 0.4]"
