ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,12,94
2,47,8,94
3,71,5,94
4,95,7,94
5,113,18,94
6,179,37,94
7,260,52,93
8,303,54,93
9,335,57,94
10,404,55,25
11,417,60,94
12,437,64,94
13,466,47,94
14,467,47,94
15,563,94,94
16,566,95,94
17,647,80,94
18,782,45,94
19,793,36,89
20,821,35,94
21,914,34,94
22,925,46,91
23,1001,37,94
24,1055,45,94
25,1102,50,93
26,1160,63,94
27,1207,57,94
28,1232,62,94
29,1323,57,94
30,1373,46,94
31,1418,66,94
32,1620,66,94
33,1665,44,94
34,1817,51,94
35,1923,37,94
36,1992,61,94
37,2129,29,94
38,2135,26,94
39,2141,30,94
40,2204,22,91
41,2426,38,94
42,2636,53,93
43,2771,38,91
44,2874,58,94
45,2975,85,94
46,3162,62,94
47,3191,73,94
48,3248,65,94
49,3471,45,94
50,3530,46,94
51,3586,42,94
52,3736,44,92
53,3915,46,86
54,4034,40,94
55,4191,56,94
56,4417,47,94
57,4627,45,94
58,4660,47,94
59,4918,44,87
60,5249,57,93
61,5315,65,94
62,5658,40,93
63,7205,60,94
64,7585,61,92
65,7874,65,93
66,8042,46,94
67,9763,47,59
68,9869,42,93
69,10401,24,94
70,10415,24,94
71,10585,54,94
72,11894,42,90
73,12470,40,94
74,14075,70,94
75,16775,57,94
76,18320,56,94
77,21307,66,94
78,21332,53,93
79,21378,51,24
80,21499,60,73
81,21937,65,94
82,21963,48,91
83,22336,40,41
84,22550,84,86
85,22570,86,93
86,22571,84,38
87,22640,64,39
88,22675,75,62
89,23693,57,94
90,24674,57,94
91,24816,68,94
92,24817,68,94
93,25395,68,93
