Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
3,0.0,0,0,0,0,0,0,0,0
10,0.0,0,0,0,0,0,0,0,0
13,0.0,0,0,0,0,0,0,0,0
21,0.0,0,0,0,0,0,0,0,0
210,2199.0,0,0,235,1964,0,0,0.10686675761709868,0.8931332423829014
241,1925.0,2,0,0,1923,0.001038961038961039,0,0,0.9989610389610389
261,2017.0,1,0,2015,1,0.0004957858205255329,0,0.999008428358949,0.0004957858205255329
410,3011.0,0,0,3008,3,0,0,0.9990036532713384,0.0009963467286615742
709,3313.0,312,0,3000,1,0.09417446423181407,0,0.9055236945366737,0.00030184123151222455
1577,5202.0,4397,0,805,0,0.8452518262206844,0,0.15474817377931566,0
1631,4353.0,4352,0,1,0,0.9997702733746842,0,0.00022972662531587412,0
2572,405.0,0,0,0,405,0,0,0,1.0
2832,426.0,385,0,41,0,0.903755868544601,0,0.09624413145539906,0
3037,327.0,0,0,0,327,0,0,0,1.0
3078,319.0,319,0,0,0,1.0,0,0,0
3761,4715.0,0,0,4715,0,0,0,1.0,0
4181,2812.0,0,0,488,2324,0,0,0.17354196301564723,0.8264580369843528
4338,20.0,0,20,0,0,0,1.0,0,0
5386,1754.0,0,0,114,1640,0,0,0.06499429874572406,0.935005701254276
5426,1988.0,1988,0,0,0,1.0,0,0,0
5570,2312.0,2312,0,0,0,1.0,0,0,0
5924,1626.0,109,0,1516,1,0.06703567035670356,0,0.932349323493235,0.0006150061500615006
6040,1357.0,1,1356,0,0,0.0007369196757553427,0.9992630803242447,0,0
6402,553.0,0,20,0,533,0,0.03616636528028933,0,0.9638336347197106
6538,771.0,0,25,0,746,0,0.0324254215304799,0,0.9675745784695201
6604,949.0,949,0,0,0,1.0,0,0,0
7124,860.0,0,41,0,819,0,0.047674418604651166,0,0.9523255813953488
7214,475.0,0,0,475,0,0,0,1.0,0
7507,8017.0,8011,1,3,2,0.9992515903704627,0.00012473493825620557,0.00037420481476861667,0.00024946987651241115
7798,8027.0,3,0,1324,6700,0.00037373863211660643,0,0.1649433163074623,0.8346829450604211
7979,8015.0,0,8015,0,0,0,1.0,0,0
8075,7558.0,1,0,7556,1,0.00013231013495633765,0,0.9997353797300873,0.00013231013495633765
8393,1201.0,87,0,1114,0,0.07243963363863447,0,0.9275603663613655,0
8964,1263.0,0,1263,0,0,0,1.0,0,0
8986,1435.0,0,171,0,1264,0,0.11916376306620209,0,0.8808362369337979
9053,1409.0,0,0,168,1241,0,0,0.11923349893541518,0.8807665010645848
9405,208.0,0,0,0,208,0,0,0,1.0
10029,112.0,0,0,0,112,0,0,0,1.0
10046,157.0,0,0,157,0,0,0,1.0,0
10435,4199.0,4198,0,1,0,0.9997618480590617,0,0.00023815194093831864,0
10449,4364.0,349,4013,1,1,0.0799725022914757,0.9195692025664528,0.00022914757103574703,0.00022914757103574703
11002,6688.0,884,3,5798,3,0.13217703349282298,0.0004485645933014354,0.8669258373205742,0.0004485645933014354
11201,6684.0,843,1,5835,5,0.12612208258527827,0.00014961101137043686,0.8729802513464991,0.0007480550568521843
11332,6104.0,947,1,5153,3,0.15514416775884665,0.000163826998689384,0.8442005242463958,0.000491480996068152
11459,1797.0,0,0,0,1797,0,0,0,1.0
11461,1527.0,0,1527,0,0,0,1.0,0,0
11537,1757.0,1649,0,107,1,0.9385315879339784,0,0.06089926010244735,0.0005691519635742744
13195,3714.0,2,218,0,3494,0.0005385029617662897,0.05869682283252558,0,0.9407646742057081
13482,2514.0,241,0,2271,2,0.0958631662688942,0,0.9033412887828163,0.0007955449482895784
14111,8016.0,8015,0,1,0,0.999875249500998,0,0.000124750499001996,0
14335,8007.0,0,0,8007,0,0,0,1.0,0
14408,6907.0,1,6,0,6900,0.00014478065730418415,0.000868683943825105,0,0.9989865353988707
14820,4792.0,4560,0,231,1,0.9515859766277128,0,0.04820534223706177,0.00020868113522537563
14870,4927.0,4924,2,0,1,0.9993911102090521,0.00040592652729855896,0,0.00020296326364927948
15071,5706.0,0,0,0,5706,0,0,0,1.0
15240,5338.0,1,4989,0,348,0.00018733608092918696,0.9346197077557138,0,0.06519295616335706
15451,4833.0,4440,0,391,2,0.9186840471756673,0,0.08090213118146079,0.0004138216428719222
16466,5253.0,2,417,0,4834,0.0003807348181991243,0.07938320959451742,0,0.9202360555872835
16505,4875.0,2,1,0,4872,0.00041025641025641023,0.00020512820512820512,0,0.9993846153846154
16765,609.0,609,0,0,0,1.0,0,0,0
17514,689.0,0,0,0,689,0,0,0,1.0
17561,581.0,0,0,581,0,0,0,1.0,0
18163,8038.0,7701,0,336,1,0.9580741477979597,0,0.041801443145060964,0.0001244090569793481
18555,7932.0,0,653,0,7279,0,0.08232476046394352,0,0.9176752395360565
18848,7808.0,1,7806,0,1,0.00012807377049180329,0.9997438524590164,0,0.00012807377049180329
19220,8000.0,2,947,0,7051,0.00025,0.118375,0,0.881375
21055,1285.0,0,0,1284,1,0,0,0.9992217898832685,0.0007782101167315176
21372,926.0,0,0,110,816,0,0,0.11879049676025918,0.8812095032397408
21597,3523.0,1,3522,0,0,0.0002838489923360772,0.999716151007664,0,0
21618,4142.0,0,555,3583,4,0,0.13399323998068566,0.8650410429744085,0.0009657170449058426
21762,5591.0,0,5409,1,181,0,0.9674476837774996,0.00017885888034340904,0.03237345734215704
21846,5991.0,2,0,2,5987,0.00033383408446002337,0,0.00033383408446002337,0.99933233183108
21949,4529.0,4526,0,3,0,0.9993376021196733,0,0.0006623978803267829,0
21987,4069.0,4068,0,1,0,0.9997542393708528,0,0.0002457606291472106,0
22578,1728.0,122,0,1606,0,0.07060185185185185,0,0.9293981481481481,0
22673,942.0,0,54,0,888,0,0.05732484076433121,0,0.9426751592356688
22674,912.0,0,858,0,54,0,0.9407894736842105,0,0.05921052631578947
22679,914.0,0,60,0,854,0,0.06564551422319474,0,0.9343544857768052
22686,917.0,0,848,0,69,0,0.9247546346782988,0,0.0752453653217012
22750,994.0,0,885,0,109,0,0.8903420523138833,0,0.1096579476861167
22785,956.0,0,0,955,1,0,0,0.9989539748953975,0.0010460251046025104
22813,899.0,0,0,811,88,0,0,0.9021134593993326,0.09788654060066741
22882,944.0,1,0,94,849,0.001059322033898305,0,0.09957627118644068,0.899364406779661
22898,941.0,87,0,854,0,0.0924548352816153,0,0.9075451647183846,0
22917,1036.0,0,0,927,109,0,0,0.8947876447876448,0.10521235521235521
22992,1117.0,87,0,1030,0,0.07788719785138765,0,0.9221128021486124,0
22995,1042.0,1042,0,0,0,1.0,0,0,0
23013,1110.0,1032,78,0,0,0.9297297297297298,0.07027027027027027,0,0
23029,1233.0,0,1233,0,0,0,1.0,0,0
23040,1264.0,1197,0,67,0,0.946993670886076,0,0.05300632911392405,0
23048,1329.0,76,0,1249,4,0.05718585402558315,0,0.9398043641835967,0.0030097817908201654
23055,1266.0,1194,0,72,0,0.943127962085308,0,0.05687203791469194,0
23063,1388.0,1287,0,0,101,0.9272334293948127,0,0,0.07276657060518732
23075,1372.0,1,120,0,1251,0.0007288629737609329,0.08746355685131195,0,0.9118075801749271
23202,958.0,113,845,0,0,0.11795407098121086,0.8820459290187892,0,0
23264,1201.0,0,0,1200,1,0,0,0.9991673605328892,0.0008326394671107411
23267,1239.0,1239,0,0,0,1.0,0,0,0
23403,1228.0,0,0,1228,0,0,0,1.0,0
23500,1249.0,1,0,0,1248,0.0008006405124099279,0,0,0.9991993594875901
23525,1214.0,0,1113,0,101,0,0.9168039538714992,0,0.08319604612850082
23599,3715.0,0,0,34,3681,0,0,0.009152086137281292,0.9908479138627188
23604,3477.0,31,0,3446,0,0.008915731952832903,0,0.9910842680471671,0
23652,3475.0,0,0,0,3475,0,0,0,1.0
23854,3054.0,1,3053,0,0,0.0003274394237066143,0.9996725605762934,0,0
23948,2532.0,0,0,2528,4,0,0,0.9984202211690363,0.001579778830963665
24130,3885.0,3,3879,1,2,0.0007722007722007722,0.9984555984555985,0.0002574002574002574,0.0005148005148005148
24410,2440.0,2435,0,5,0,0.9979508196721312,0,0.0020491803278688526,0
24424,2347.0,2340,0,1,6,0.9970174691095015,0,0.00042607584149978694,0.0025564550489987218
24469,2324.0,5,0,0,2319,0.0021514629948364886,0,0,0.9978485370051635
24503,2522.0,0,2517,0,5,0,0.9980174464710547,0,0.0019825535289452814
24966,154.0,154,0,0,0,1.0,0,0,0
25000,156.0,0,152,0,4,0,0.9743589743589743,0,0.02564102564102564
25317,56.0,0,51,5,0,0,0.9107142857142857,0.08928571428571429,0
25381,150.0,108,42,0,0,0.72,0.28,0,0
25469,1329.0,1,47,0,1281,0.0007524454477050414,0.035364936042136946,0,0.963882618510158
25521,1455.0,1,1454,0,0,0.0006872852233676976,0.9993127147766323,0,0
25568,1367.0,0,35,0,1332,0,0.025603511338697878,0,0.9743964886613021
25584,1346.0,0,1317,0,29,0,0.9784546805349182,0,0.021545319465081723
25728,2799.0,0,2724,0,75,0,0.9732047159699893,0,0.02679528403001072
26057,5086.0,5084,2,0,0,0.9996067636649626,0.00039323633503735744,0,0
26187,3866.0,0,1,0,3865,0,0.0002586652871184687,0,0.9997413347128815
26194,3784.0,3782,0,0,2,0.9994714587737844,0,0,0.0005285412262156448
26270,4206.0,1,3873,0,332,0.00023775558725630053,0.920827389443652,0,0.07893485496909178
26427,3459.0,2,0,0,3457,0.0005782017924255566,0,0,0.9994217982075745
26433,3330.0,3329,1,0,0,0.9996996996996997,0.0003003003003003003,0,0
26505,2689.0,0,1,2686,2,0,0.0003718854592785422,0.9988843436221644,0.0007437709185570844
26530,3239.0,2987,0,252,0,0.9221982093238654,0,0.07780179067613462,0
26577,3207.0,1,2947,259,0,0.0003118178983473651,0.9189273464296851,0.08076083567196757,0
26709,2076.0,152,0,1924,0,0.07321772639691715,0,0.9267822736030829,0
26767,2466.0,0,1822,0,644,0,0.7388483373884833,0,0.2611516626115166
27259,1796.0,108,1687,0,1,0.060133630289532294,0.9393095768374164,0,0.0005567928730512249
27393,2363.0,0,2362,1,0,0,0.9995768091409225,0.00042319085907744394,0
27452,2672.0,2672,0,0,0,1.0,0,0,0
27604,2200.0,47,0,2153,0,0.021363636363636362,0,0.9786363636363636,0
27638,1924.0,0,94,0,1830,0,0.04885654885654886,0,0.9511434511434511
27750,1777.0,0,0,1777,0,0,0,1.0,0
27752,1759.0,0,1682,1,76,0,0.9562251279135873,0.0005685048322910744,0.04320636725412166
27807,1923.0,1,146,0,1776,0.0005200208008320333,0.07592303692147685,0,0.9235569422776911
27874,530.0,0,273,0,257,0,0.5150943396226415,0,0.4849056603773585
28311,400.0,0,400,0,0,0,1.0,0,0
28461,526.0,2,0,524,0,0.0038022813688212928,0,0.9961977186311787,0
28675,688.0,552,0,136,0,0.8023255813953488,0,0.19767441860465115,0
28881,8002.0,173,1,0,7828,0.021619595101224694,0.00012496875781054737,0,0.9782554361409648
28882,8004.0,168,0,7830,6,0.020989505247376312,0,0.9782608695652174,0.0007496251874062968
28883,8005.0,0,168,7833,4,0,0.02098688319800125,0.9785134291068083,0.0004996876951905059
28916,8002.0,2,20,745,7235,0.00024993751562109475,0.0024993751562109472,0.09310172456885779,0.9041489627593102
28921,8006.0,2,0,0,8004,0.0002498126405196103,0,0,0.9997501873594804
29402,8017.0,0,0,598,7419,0,0,0.07459149307721093,0.9254085069227891
29419,8013.0,8012,1,0,0,0.9998752027954574,0.00012479720454261825,0,0
29674,8001.0,0,1,1119,6881,0,0.00012498437695288088,0.13985751781027372,0.8600174978127734
29742,5324.0,0,0,772,4552,0,0,0.1450037565740045,0.8549962434259955
29785,1.0,0,0,1,0,0,0,1.0,0
