barcode,positions,base_prop
,210,"[0.0, 0.0, 0.5303975058456742, 0.4696024941543258]"
,709,"[0.4732346241457859, 0.0, 0.5264806378132119, 0.0002847380410022]"
,1577,"[0.4234324256807394, 0.0, 0.5761928553584812, 0.0003747189607794]"
,2832,"[0.5334953141270392, 0.0, 0.4665046858729608, 0.0]"
,4181,"[0.0002878526194588, 0.0, 0.6479562464018422, 0.3517559009786989]"
,5386,"[0.0, 0.0, 0.3938084953203744, 0.6061915046796257]"
,5924,"[0.4356144223693892, 0.0, 0.5642384105960265, 0.0001471670345842]"
,6402,"[0.0, 0.5431259801359122, 0.0, 0.4568740198640878]"
,6538,"[0.0, 0.5413595413595413, 0.0008190008190008, 0.4578214578214578]"
,7124,"[0.000322476620445, 0.5385359561431796, 0.000322476620445, 0.4608190906159303]"
,7798,"[0.0001245485116452, 0.0001245485116452, 0.633951924274505, 0.3657989787022045]"
,8393,"[0.4461308783279423, 0.0, 0.553620303558099, 0.0002488181139586]"
,8986,"[0.0, 0.5981589329325568, 0.0, 0.4018410670674431]"
,9053,"[0.00021436227224, 0.00021436227224, 0.6010718113612005, 0.3984994640943194]"
,10046,"[0.2074468085106383, 0.0, 0.7925531914893617, 0.0]"
,10449,"[0.4324938067712634, 0.5668868703550785, 0.0006193228736581, 0.0]"
,11002,"[0.5755530020109164, 0.0, 0.4241597242171789, 0.0002872737719046]"
,11201,"[0.5830590928602088, 0.0, 0.4165116611818572, 0.0004292459579338]"
,11332,"[0.6142004398366321, 0.0001570845114671, 0.3853283066289664, 0.0003141690229343]"
,11537,"[0.6144167758846658, 0.000262123197903, 0.3853211009174312, 0.0]"
,13195,"[0.0, 0.4279171644763042, 0.0, 0.5720828355236958]"
,13482,"[0.5408753096614368, 0.0002752546105147, 0.4585741811175337, 0.0002752546105147]"
,14820,"[0.6141369047619047, 0.0001488095238095, 0.3857142857142857, 0.0]"
,15240,"[0.0, 0.6010823347506764, 0.0, 0.3989176652493235]"
,15451,"[0.4870895312938535, 0.0, 0.5126298063429694, 0.000280662363177]"
,16466,"[0.0, 0.5626043405676127, 0.0, 0.4373956594323873]"
,18163,"[0.6077650572424091, 0.0, 0.3921105027376804, 0.0001244400199104]"
,18555,"[0.0, 0.6290463692038495, 0.0002499687539057, 0.3707036620422447]"
,19220,"[0.0, 0.5907798233797336, 0.0001496781918874, 0.409070498428379]"
,21372,"[0.0, 0.0, 0.6101223581757509, 0.3898776418242491]"
,21618,"[0.0, 0.5624680415885461, 0.4375319584114538, 0.0]"
,21762,"[0.0001467997651203, 0.7911039342337052, 0.0, 0.2087492660011744]"
,22578,"[0.4128797714879252, 0.0, 0.5871202285120748, 0.0]"
,22673,"[0.0010842067220816, 0.3574268160462595, 0.0, 0.6414889772316589]"
,22674,"[0.000733137829912, 0.6378299120234604, 0.0, 0.3614369501466276]"
,22679,"[0.0003625815808556, 0.3836113125453227, 0.0, 0.6160261058738216]"
,22686,"[0.0006942034015966, 0.634154807358556, 0.0, 0.3651509892398473]"
,22750,"[0.0, 0.4705375107789594, 0.0, 0.5294624892210406]"
,22813,"[0.0003059975520195, 0.0, 0.598531211750306, 0.4011627906976744]"
,22882,"[0.0, 0.0, 0.4250764525993883, 0.5749235474006116]"
,22898,"[0.4115969581749049, 0.0, 0.5880861850443599, 0.0003168567807351]"
,22917,"[0.0002874389192296, 0.0002874389192296, 0.5248634665133659, 0.4745616556481747]"
,22992,"[0.42625284738041, 0.0, 0.5728929384965832, 0.0008542141230068]"
,23013,"[0.5974739154310819, 0.4017023613399231, 0.0, 0.000823723228995]"
,23040,"[0.6371365880416895, 0.0, 0.3625891387822271, 0.0002742731760833]"
,23048,"[0.3685300207039337, 0.0, 0.6314699792960663, 0.0]"
,23055,"[0.6379585326953748, 0.0, 0.3617756512493355, 0.0002658160552897]"
,23063,"[0.6348138178555406, 0.000224315836698, 0.0, 0.3649618663077613]"
,23075,"[0.0, 0.4201933404940923, 0.0, 0.5798066595059076]"
,23202,"[0.4247055875720371, 0.5752944124279629, 0.0, 0.0]"
,23525,"[0.0, 0.546056849754221, 0.0, 0.453943150245779]"
,25000,"[0.0, 0.4262820512820512, 0.0, 0.5737179487179487]"
,25469,"[0.0, 0.6546938775510204, 0.0, 0.3453061224489795]"
,25568,"[0.0, 0.6822074215033301, 0.0, 0.3177925784966698]"
,25584,"[0.0, 0.3329989969909729, 0.0, 0.6670010030090271]"
,25728,"[0.0, 0.7227505486466715, 0.0, 0.2772494513533284]"
,26270,"[0.0, 0.514878621769773, 0.0, 0.4851213782302271]"
,26530,"[0.5365379272020006, 0.0, 0.4634620727979994, 0.0]"
,26577,"[0.0, 0.5434903047091413, 0.4565096952908587, 0.0]"
,26709,"[0.4314024390243902, 0.0, 0.5685975609756098, 0.0]"
,26767,"[0.0002575991756826, 0.2748583204533745, 0.0, 0.7248840803709428]"
,27874,"[0.0007710100231303, 0.6900539707016191, 0.0, 0.3091750192752506]"
,28881,"[0.3404832347140039, 0.0002465483234714, 0.0, 0.6592702169625246]"
,28882,"[0.341948310139165, 0.000248508946322, 0.6575546719681908, 0.000248508946322]"
,28883,"[0.0002449179524859, 0.3499877541023757, 0.6495224099926524, 0.0002449179524859]"
,28916,"[0.0004022526146419, 0.0004022526146419, 0.5345937248592116, 0.4646017699115044]"
,29402,"[0.0001735207357279, 0.0, 0.5767829255596044, 0.4230435537046677]"
,29674,"[0.0002101723413198, 0.0, 0.6578394283312317, 0.3419503993274485]"
,29742,"[0.0, 0.0, 0.6879562043795621, 0.3120437956204379]"
