ID,Column_ID,>Omicron_BA.4_N658S__EPI_ISL_12607955_Freq,>Omicron_BA.4_N658S__EPI_ISL_12607955_LNum
1,9,96943,94
2,47,19423,94
3,71,18145,94
4,95,21031,94
5,113,13891,94
6,179,31806,94
7,260,14780,93
8,303,37646,93
9,335,57106,94
10,404,8419,25
11,417,59114,94
12,437,59803,94
13,466,51215,94
14,467,51211,94
15,563,25564,94
16,566,25591,94
17,647,7736,94
18,782,2959,94
19,793,2993,89
20,821,8952,94
21,914,9924,94
22,925,7414,91
23,1001,9099,94
24,1055,11934,94
25,1102,3725,93
26,1160,28782,94
27,1207,61478,94
28,1232,61788,94
29,1323,43317,94
30,1373,4408,94
31,1418,1970,94
32,1620,8970,94
33,1665,7425,94
34,1817,17878,94
35,1923,8112,94
36,1992,11666,94
37,2129,8988,94
38,2135,8699,94
39,2141,8658,94
40,2204,6687,91
41,2426,13732,94
42,2636,14069,93
43,2771,15076,91
44,2874,10803,94
45,2975,6538,94
46,3162,1336,94
47,3191,7327,94
48,3248,1579,94
49,3471,2970,94
50,3530,3272,94
51,3586,1203,94
52,3736,1557,92
53,3915,5276,86
54,4034,5883,94
55,4191,11996,94
56,4417,6978,94
57,4627,3412,94
58,4660,12217,94
59,4918,10577,87
60,5249,14193,93
61,5315,15043,94
62,5658,2414,93
63,7205,49280,94
64,7585,12628,92
65,7874,3199,93
66,8042,7498,94
67,9763,34352,59
68,9869,18543,93
69,10401,4308,94
70,10415,13324,94
71,10585,18247,94
72,11894,2769,5
73,12470,9885,94
74,14075,5647,94
75,16775,42586,94
76,18320,7932,94
77,21307,595,94
78,21332,1950,93
79,21378,1851,24
80,21499,19847,73
81,21937,2846,94
82,21963,2870,91
83,22336,520,41
84,22550,6558,86
85,22570,0,93
86,22571,0,38
87,22640,7209,39
88,22675,7166,31
89,23693,0,94
90,24674,2594,94
91,24816,7316,94
92,24817,7323,94
93,25395,31786,93
