taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
EPI_ISL_2491781_lineage_A,P.1,0.0,,Gamma (P.1-like),0.81,0.06,scorpio call: Alt alleles 13; Ref alleles 1; Amb alleles 1; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.1(1/1)
EPI_ISL_2491781_lineage_B,P.2,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.2(1/1)
EPI_ISL_2645599_lineage_A,B.1.1.33,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.33(1/1)
EPI_ISL_2645599_lineage_B,P.2,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.2(1/1)
EPI_ISL_1068258_lineage_A,B.1.1.274,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.274(1/1)
EPI_ISL_1068258_lineage_B,P.1,0.0,,Gamma (P.1-like),0.88,0.06,scorpio call: Alt alleles 14; Ref alleles 1; Amb alleles 0; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.1(1/1)
EPI_ISL_2491769_lineage_A,B.1.1.28,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.28(1/1)
EPI_ISL_2491769_lineage_B,P.2,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.2(1/1)
EPI_ISL_2661931_lineage_A,B.1.1.28,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.28(1/1)
EPI_ISL_2661931_lineage_B,P.1,0.0,,Gamma (P.1-like),0.81,0.06,scorpio call: Alt alleles 13; Ref alleles 1; Amb alleles 1; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.1(1/1)
EPI_ISL_2777552_lineage_A,B.1.1.28,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.28(1/1)
EPI_ISL_2777552_lineage_B,P.1,0.0,,Gamma (P.1-like),0.88,0.06,scorpio call: Alt alleles 14; Ref alleles 1; Amb alleles 0; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.1(1/1)
EPI_ISL_2661789_lineage_A,B.1.1,0.5,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1(1/2) B.1.1.28(1/2)
EPI_ISL_2661789_lineage_B,P.2,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: P.2(1/1)
