ID,Column_ID,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_Freq,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_LNum
1,9,766,94
2,47,734,94
3,71,730,94
4,95,578,94
5,113,650,94
6,179,922,94
7,260,1056,93
8,303,1114,93
9,335,1240,94
10,404,881,70
11,417,894,94
12,437,930,94
13,466,1017,94
14,467,1021,94
15,563,1124,94
16,566,896,94
17,647,1249,94
18,782,308,94
19,793,325,89
20,821,404,94
21,914,904,94
22,925,952,91
23,1001,1249,94
24,1055,1120,94
25,1102,1012,93
26,1160,534,94
27,1207,702,94
28,1232,894,94
29,1323,1103,94
30,1373,1253,94
31,1418,671,94
32,1620,1173,94
33,1665,1207,94
34,1817,1539,94
35,1923,2151,94
36,1992,2575,94
37,2129,1790,94
38,2135,1529,94
39,2141,1509,94
40,2204,466,91
41,2426,727,94
42,2636,1131,93
43,2771,540,91
44,2874,579,94
45,2975,1662,94
46,3162,2029,94
47,3191,1779,94
48,3248,1674,94
49,3471,754,94
50,3530,976,94
51,3586,1230,94
52,3736,605,92
53,3915,0,86
54,4034,893,94
55,4191,1208,94
56,4417,552,94
57,4627,190,94
58,4660,232,94
59,4918,919,87
60,5249,1145,93
61,5315,1221,94
62,5658,2051,93
63,7205,914,94
64,7585,638,92
65,7874,1586,93
66,8042,990,94
67,9763,593,59
68,9869,1046,93
69,10401,833,94
70,10415,923,94
71,10585,795,94
72,11894,1947,90
73,12470,2014,94
74,14075,448,94
75,16775,641,94
76,18320,1226,94
77,21307,2894,94
78,21332,2728,93
79,21378,413,71
80,21499,411,22
81,21937,518,94
82,21963,353,91
83,22336,3111,41
84,22550,432,86
85,22570,430,93
86,22571,430,38
87,22640,155,39
88,22675,168,62
89,23693,2107,94
90,24674,1763,94
91,24816,684,94
92,24817,684,94
93,25395,723,93
