ID,Column_ID,>AY.27_B.1.617.2_A222V_Q613H__EPI_ISL_3910943_2021-07-21_AY.27_Canada_AB-ABPHL-25440_Freq,>AY.27_B.1.617.2_A222V_Q613H__EPI_ISL_3910943_2021-07-21_AY.27_Canada_AB-ABPHL-25440_LNum
1,9,7,94
2,47,35,94
3,71,33,94
4,95,30,94
5,113,28,94
6,179,38,94
7,260,46,93
8,303,69,93
9,335,63,94
10,404,43,70
11,417,73,94
12,437,71,94
13,466,73,94
14,467,69,94
15,563,57,94
16,566,53,94
17,647,43,94
18,782,53,94
19,793,45,89
20,821,36,94
21,914,49,94
22,925,52,91
23,1001,40,94
24,1055,54,94
25,1102,55,93
26,1160,80,94
27,1207,63,94
28,1232,79,94
29,1323,61,94
30,1373,45,94
31,1418,81,94
32,1620,74,94
33,1665,58,94
34,1817,44,94
35,1923,32,94
36,1992,46,94
37,2129,36,94
38,2135,0,1
39,2141,30,94
40,2204,22,91
41,2426,51,94
42,2636,37,93
43,2771,15,91
44,2874,34,94
45,2975,47,94
46,3162,48,94
47,3191,55,94
48,3248,68,94
49,3471,64,94
50,3530,42,94
51,3586,46,94
52,3736,48,92
53,3915,51,86
54,4034,27,94
55,4191,82,94
56,4417,77,94
57,4627,45,94
58,4660,50,94
59,4918,28,8
60,5249,55,93
61,5315,75,94
62,5658,52,93
63,7205,53,94
64,7585,61,92
65,7874,46,93
66,8042,34,94
67,9763,5,36
68,9869,62,93
69,10401,41,94
70,10415,42,94
71,10585,33,94
72,11894,36,90
73,12470,42,94
74,14075,74,94
75,16775,37,94
76,18320,90,94
77,21307,48,94
78,21332,44,93
79,21378,6,71
80,21499,17,73
81,21937,53,94
82,21963,39,91
83,22336,24,54
84,22550,46,86
85,22570,58,93
86,22571,0,57
87,22640,27,56
88,22675,38,31
89,23693,93,94
90,24674,67,94
91,24816,69,94
92,24817,68,94
93,25395,65,93
