barcode,positions,base_prop
,210,"[0.0, 0.0, 0.225, 0.775]"
,4181,"[0.0051020408163265, 0.0051020408163265, 0.2933673469387755, 0.6964285714285714]"
,5386,"[0.0042613636363636, 0.0042613636363636, 0.2315340909090909, 0.7599431818181818]"
,5736,"[0.0071022727272727, 0.6463068181818182, 0.0, 0.3465909090909091]"
,5924,"[0.203125, 0.0, 0.7954545454545454, 0.0014204545454545]"
,6040,"[0.0, 0.2184249628528974, 0.0044576523031203, 0.7771173848439822]"
,6402,"[0.0028011204481792, 0.2464985994397759, 0.0, 0.7507002801120448]"
,7124,"[0.0, 0.2666666666666666, 0.0, 0.7333333333333333]"
,8393,"[0.2060889929742388, 0.0, 0.7915690866510539, 0.0023419203747072]"
,8964,"[0.013953488372093, 0.2186046511627907, 0.0023255813953488, 0.7651162790697674]"
,9053,"[0.009009009009009, 0.0, 0.2072072072072072, 0.7837837837837838]"
,9539,"[0.0384615384615384, 0.7032967032967034, 0.0219780219780219, 0.2362637362637362]"
,10449,"[0.2479838709677419, 0.7379032258064516, 0.0, 0.0141129032258064]"
,11201,"[0.2590361445783132, 0.002008032128514, 0.7309236947791165, 0.0080321285140562]"
,11332,"[0.2753950338600451, 0.0045146726862302, 0.7155756207674944, 0.0045146726862302]"
,11537,"[0.7929155313351499, 0.0, 0.2070844686648501, 0.0]"
,13195,"[0.0, 0.2009456264775413, 0.0023640661938534, 0.7966903073286052]"
,13482,"[0.2372448979591837, 0.0051020408163265, 0.7551020408163265, 0.0025510204081632]"
,15451,"[0.7698541329011345, 0.0, 0.2301458670988654, 0.0]"
,16466,"[0.0019455252918287, 0.2042801556420233, 0.0, 0.7937743190661478]"
,18163,"[0.7868162692847125, 0.0, 0.2131837307152875, 0.0]"
,19220,"[0.0, 0.2261904761904762, 0.0, 0.7738095238095238]"
,21597,"[0.0, 0.2078651685393258, 0.0, 0.7921348314606742]"
,21618,"[0.0076555023923444, 0.2047846889952153, 0.7875598086124402, 0.0]"
,21762,"[0.0, 0.7927170868347339, 0.0014005602240896, 0.2058823529411764]"
,22578,"[0.2153716216216216, 0.0008445945945945, 0.7820945945945946, 0.0016891891891891]"
,22679,"[0.0068728522336769, 0.211340206185567, 0.0, 0.781786941580756]"
,22686,"[0.0, 0.779896013864818, 0.0, 0.2201039861351819]"
,22785,"[0.0033444816053511, 0.0100334448160535, 0.2374581939799331, 0.7491638795986622]"
,22813,"[0.0, 0.0032840722495894, 0.7799671592775042, 0.2167487684729064]"
,22882,"[0.0016806722689075, 0.0084033613445378, 0.2134453781512605, 0.7764705882352941]"
,22898,"[0.2237762237762237, 0.0, 0.7762237762237763, 0.0]"
,22917,"[0.023972602739726, 0.0034246575342465, 0.7157534246575342, 0.2568493150684932]"
,22992,"[0.248730964467005, 0.0050761421319796, 0.0135363790186125, 0.7326565143824028]"
,23013,"[0.7512355848434926, 0.2405271828665568, 0.0032948929159802, 0.0049423393739703]"
,23029,"[0.0017182130584192, 0.2594501718213058, 0.0034364261168384, 0.7353951890034365]"
,23040,"[0.7637271214642263, 0.0, 0.2362728785357737, 0.0]"
,23048,"[0.2162162162162162, 0.0016891891891891, 0.7804054054054054, 0.0016891891891891]"
,23055,"[0.7757166947723441, 0.0016863406408094, 0.2225969645868465, 0.0]"
,23063,"[0.7844112769485904, 0.0, 0.0, 0.2155887230514096]"
,23075,"[0.0, 0.233278955954323, 0.0, 0.766721044045677]"
,23202,"[0.2116040955631399, 0.7713310580204779, 0.0034129692832764, 0.0136518771331058]"
,23525,"[0.0, 0.7702970297029703, 0.0039603960396039, 0.2257425742574257]"
,23874,"[0.0, 0.7608695652173914, 0.0021739130434782, 0.2369565217391304]"
,25000,"[0.0, 0.7676767676767676, 0.0, 0.2323232323232323]"
,25469,"[0.0116731517509727, 0.2140077821011673, 0.0, 0.77431906614786]"
,25521,"[0.0, 0.2469135802469135, 0.0, 0.7530864197530864]"
,25584,"[0.0, 0.792, 0.004, 0.204]"
,26187,"[0.0053475935828877, 0.7459893048128342, 0.0, 0.248663101604278]"
,26270,"[0.0082191780821917, 0.7753424657534247, 0.0027397260273972, 0.2136986301369863]"
,26530,"[0.7943661971830986, 0.0, 0.2028169014084507, 0.0028169014084507]"
,26709,"[0.3407821229050279, 0.0027932960893854, 0.6564245810055865, 0.0]"
,26767,"[0.0033370411568409, 0.3314794215795328, 0.0, 0.6651835372636262]"
,27103,"[0.0059347181008902, 0.7759643916913946, 0.0074183976261127, 0.2106824925816023]"
,27807,"[0.0011494252873563, 0.2873563218390804, 0.0045977011494252, 0.7068965517241379]"
,27874,"[0.0, 0.7014925373134329, 0.0, 0.2985074626865671]"
,29402,"[0.0045351473922902, 0.0294784580498866, 0.2086167800453514, 0.7573696145124716]"
,29742,"[0.0, 0.0042283298097251, 0.2219873150105708, 0.773784355179704]"
