barcode,positions,base_prop
,210,"[0.0, 0.0, 0.2909386428281186, 0.7090613571718813]"
,2832,"[0.7717490148529857, 0.0, 0.2282509851470142, 0.0]"
,4181,"[0.0, 0.0006453694740238, 0.3597934817683124, 0.6395611487576638]"
,5924,"[0.2020927690145244, 0.0, 0.7979072309854756, 0.0]"
,6040,"[0.0, 0.3005294869454081, 0.0, 0.699470513054592]"
,6402,"[0.000525486074619, 0.2984760903836048, 0.0, 0.7009984235417761]"
,7124,"[0.0003139717425431, 0.2863422291993721, 0.0006279434850863, 0.7127158555729984]"
,8393,"[0.2015740035542015, 0.0002538715410002, 0.7981721249047982, 0.0]"
,8964,"[0.0004458314757021, 0.30205082478823, 0.0, 0.6975033437360678]"
,8986,"[0.0, 0.3473091364205256, 0.0, 0.6526908635794744]"
,9053,"[0.0004409171075837, 0.0002204585537918, 0.3095238095238095, 0.6898148148148148]"
,11201,"[0.2915036770458457, 0.0001564700359881, 0.7081833828821781, 0.0001564700359881]"
,11332,"[0.3400707427993936, 0.0001684352366515, 0.6595923867273034, 0.0001684352366515]"
,13482,"[0.2705005324813631, 0.0, 0.7294994675186368, 0.0]"
,15451,"[0.7414864864864865, 0.0, 0.2583783783783784, 0.0001351351351351]"
,16466,"[0.0001656177542232, 0.2772441205697251, 0.0, 0.7225902616760517]"
,19220,"[0.0, 0.3146689019279128, 0.0001676445934618, 0.6851634534786253]"
,21372,"[0.0, 0.0, 0.3350240256273358, 0.6649759743726642]"
,21597,"[0.0002102607232968, 0.2722876366694701, 0.0, 0.7275021026072329]"
,21618,"[0.0001895734597156, 0.3222748815165877, 0.6775355450236967, 0.0]"
,22785,"[0.0, 0.000525486074619, 0.2501313715186548, 0.7493431424067262]"
,22917,"[0.0004921259842519, 0.0, 0.7755905511811023, 0.2239173228346456]"
,22992,"[0.2072654889275939, 0.0009952724558347, 0.0009952724558347, 0.7907439661607365]"
,23075,"[0.0, 0.2224427205484394, 0.0, 0.7775572794515605]"
,23202,"[0.2046690843155031, 0.7946509519492294, 0.0004533091568449, 0.0002266545784224]"
,23525,"[0.0001981767736821, 0.7915180340864051, 0.0, 0.2082837891399128]"
,25000,"[0.0, 0.7547814207650273, 0.0, 0.2452185792349726]"
,25469,"[0.0, 0.2344262295081967, 0.0, 0.7655737704918033]"
,25521,"[0.0, 0.2649783817171093, 0.0006176652254478, 0.7344039530574429]"
,26187,"[0.0, 0.7544321993291806, 0.0004791566842357, 0.2450886439865836]"
,26530,"[0.7749640287769785, 0.0, 0.2247482014388489, 0.0002877697841726]"
,26577,"[0.0, 0.7680608365019012, 0.2319391634980988, 0.0]"
,26709,"[0.2114216281895504, 0.0, 0.7885783718104495, 0.0]"
,26767,"[0.0, 0.463982470556012, 0.0, 0.536017529443988]"
,27874,"[0.0, 0.4464285714285714, 0.0, 0.5535714285714286]"
,28916,"[0.0, 0.0002406159769008, 0.3118383060635226, 0.6879210779595765]"
,28921,"[0.0, 0.7265160523186682, 0.0002378121284185, 0.2732461355529132]"
,29402,"[0.0, 0.0, 0.2619093170078438, 0.7380906829921561]"
,29742,"[0.0, 0.0, 0.3953917050691244, 0.6046082949308755]"
