ID,Column_ID,>B.1.177.82__EPI_ISL_617709_2020-08-10_B.1.177_Denmark_DCGC-2369_Freq,>B.1.177.82__EPI_ISL_617709_2020-08-10_B.1.177_Denmark_DCGC-2369_LNum
1,9,159,94
2,47,169,94
3,71,176,94
4,95,177,94
5,113,176,94
6,179,0,1
7,260,180,93
8,303,186,93
9,335,193,94
10,404,193,70
11,417,193,94
12,437,210,94
13,466,202,94
14,467,179,94
15,563,187,94
16,566,193,94
17,647,211,94
18,782,178,94
19,793,167,89
20,821,172,94
21,914,144,94
22,925,157,91
23,1001,170,94
24,1055,158,94
25,1102,166,93
26,1160,153,94
27,1207,176,94
28,1232,178,94
29,1323,186,94
30,1373,191,94
31,1418,183,94
32,1620,144,94
33,1665,107,94
34,1817,536,94
35,1923,725,94
36,1992,763,94
37,2129,855,94
38,2135,802,94
39,2141,788,94
40,2204,940,91
41,2426,1220,94
42,2636,1305,93
43,2771,1189,91
44,2874,1109,94
45,2975,1025,94
46,3162,724,94
47,3191,684,94
48,3248,598,94
49,3471,114,94
50,3530,254,94
51,3586,278,94
52,3736,302,92
53,3915,349,86
54,4034,327,94
55,4191,343,94
56,4417,417,94
57,4627,340,94
58,4660,359,94
59,4918,310,87
60,5249,528,93
61,5315,1030,94
62,5658,857,93
63,7205,2048,94
64,7585,2378,92
65,7874,2248,93
66,8042,2456,94
67,9763,1788,36
68,9869,1922,93
69,10401,1187,94
70,10415,1018,94
71,10585,31,94
72,11894,53,90
73,12470,546,94
74,14075,634,94
75,16775,1073,94
76,18320,2609,94
77,21307,294,94
78,21332,276,93
79,21378,353,71
80,21499,395,73
81,21937,168,94
82,21963,209,91
83,22336,347,54
84,22550,199,86
85,22570,146,93
86,22571,163,57
87,22640,152,56
88,22675,187,62
89,23693,1011,94
90,24674,715,94
91,24816,838,94
92,24817,845,94
93,25395,1116,93
