Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
2,0.0,0,0,0,0,0,0,0,0
3,0.0,0,0,0,0,0,0,0,0
190,13.0,0,11,2,0,0,0.8461538461538461,0.15384615384615385,0
195,13.0,4,0,0,9,0.3076923076923077,0,0,0.6923076923076923
203,13.0,0,13,0,0,0,1.0,0,0
210,14.0,0,0,0,14,0,0,0,1.0
241,20.0,0,2,0,18,0,0.1,0,0.9
467,20.0,0,0,0,20,0,0,0,1.0
487,31.0,0,4,27,0,0,0.12903225806451613,0.8709677419354839,0
521,32.0,0,0,32,0,0,0,1.0,0
526,32.0,0,0,0,32,0,0,0,1.0
641,12.0,12,0,0,0,1.0,0,0,0
670,23.0,0,0,0,23,0,0,0,1.0
1132,13.0,13,0,0,0,1.0,0,0,0
1390,16.0,3,0,1,12,0.1875,0,0.0625,0.75
1627,12.0,0,12,0,0,0,1.0,0,0
1688,10.0,10,0,0,0,1.0,0,0,0
1766,10.0,0,10,0,0,0,1.0,0,0
2114,8.0,0,0,0,8,0,0,0,1.0
2518,7.0,0,0,0,7,0,0,0,1.0
2522,7.0,7,0,0,0,1.0,0,0,0
2582,19.0,0,0,2,17,0,0,0.10526315789473684,0.8947368421052632
2606,14.0,14,0,0,0,1.0,0,0,0
2767,30.0,30,0,0,0,1.0,0,0,0
2790,26.0,0,26,0,0,0,1.0,0,0
3037,11.0,0,1,0,10,0,0.09090909090909091,0,0.9090909090909091
3325,7.0,0,0,0,7,0,0,0,1.0
3504,10.0,10,0,0,0,1.0,0,0,0
3631,13.0,0,0,0,13,0,0,0,1.0
3884,13.0,13,0,0,0,1.0,0,0,0
4068,6.0,0,1,0,5,0,0.16666666666666666,0,0.8333333333333334
4079,7.0,0,0,7,0,0,0,1.0,0
4126,11.0,0,0,11,0,0,0,1.0,0
4181,13.0,0,0,0,13,0,0,0,1.0
4184,13.0,0,0,13,0,0,0,1.0,0
4321,9.0,0,9,0,0,0,1.0,0,0
4362,7.0,0,7,0,0,0,1.0,0,0
4434,5.0,0,5,0,0,0,1.0,0,0
4878,10.0,0,10,0,0,0,1.0,0,0
5185,13.0,0,0,0,13,0,0,0,1.0
5437,15.0,0,0,2,13,0,0,0.13333333333333333,0.8666666666666667
5531,14.0,0,0,14,0,0,0,1.0,0
