Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
21,389.0,0,302,0,87,0,0.7763496143958869,0,0.2236503856041131
210,377.0,0,0,62,315,0,0,0.16445623342175067,0.8355437665782494
241,442.0,0,0,0,442,0,0,0,1.0
300,607.0,3,604,0,0,0.004942339373970346,0.9950576606260296,0,0
346,686.0,0,633,0,53,0,0.922740524781341,0,0.07725947521865889
652,600.0,595,2,1,2,0.9916666666666667,0.0033333333333333335,0.0016666666666666668,0.0033333333333333335
1314,429.0,0,55,3,371,0,0.1282051282051282,0.006993006993006993,0.8648018648018648
1439,463.0,0,0,463,0,0,0,1.0,0
1639,358.0,357,0,1,0,0.9972067039106145,0,0.002793296089385475,0
1674,369.0,359,0,9,1,0.9728997289972899,0,0.024390243902439025,0.0027100271002710027
1676,376.0,2,0,373,1,0.005319148936170213,0,0.9920212765957447,0.0026595744680851063
1797,361.0,0,0,1,360,0,0,0.002770083102493075,0.997229916897507
1959,519.0,0,519,0,0,0,1.0,0,0
2185,658.0,0,0,658,0,0,0,1.0,0
2470,251.0,0,209,0,42,0,0.8326693227091634,0,0.16733067729083664
2832,341.0,267,1,72,1,0.782991202346041,0.002932551319648094,0.21114369501466276,0.002932551319648094
2962,307.0,0,0,307,0,0,0,1.0,0
3037,445.0,0,2,0,443,0,0.0044943820224719105,0,0.9955056179775281
3403,702.0,0,0,699,3,0,0,0.9957264957264957,0.004273504273504274
4181,570.0,0,0,85,485,0,0,0.14912280701754385,0.8508771929824561
4444,299.0,0,0,298,1,0,0,0.9966555183946488,0.0033444816053511705
4976,245.0,0,0,1,244,0,0,0.004081632653061225,0.9959183673469387
5055,303.0,0,303,0,0,0,1.0,0,0
5100,308.0,0,306,0,2,0,0.9935064935064936,0,0.006493506493506494
5269,287.0,284,2,0,1,0.9895470383275261,0.006968641114982578,0,0.003484320557491289
5386,440.0,0,0,54,386,0,0,0.12272727272727273,0.8772727272727273
5515,377.0,0,0,377,0,0,0,1.0,0
6402,720.0,2,115,2,601,0.002777777777777778,0.1597222222222222,0.002777777777777778,0.8347222222222223
6541,144.0,0,142,2,0,0,0.9861111111111112,0.013888888888888888,0
6542,114.0,92,17,0,5,0.8070175438596491,0.14912280701754385,0,0.043859649122807015
6694,67.0,0,0,67,0,0,0,1.0,0
7124,473.0,0,102,0,371,0,0.2156448202959831,0,0.7843551797040169
8393,285.0,42,0,243,0,0.14736842105263157,0,0.8526315789473684,0
8495,313.0,0,1,0,312,0,0.003194888178913738,0,0.9968051118210862
8645,307.0,0,307,0,0,0,1.0,0,0
8695,287.0,0,0,283,4,0,0,0.9860627177700348,0.013937282229965157
8744,251.0,0,0,1,250,0,0,0.00398406374501992,0.9960159362549801
8829,217.0,0,217,0,0,0,1.0,0,0
8986,303.0,0,52,1,250,0,0.1716171617161716,0.0033003300330033004,0.8250825082508251
9053,348.0,0,0,52,296,0,0,0.14942528735632185,0.8505747126436781
9163,309.0,1,308,0,0,0.003236245954692557,0.9967637540453075,0,0
9246,227.0,4,223,0,0,0.01762114537444934,0.9823788546255506,0,0
9778,274.0,3,271,0,0,0.010948905109489052,0.9890510948905109,0,0
9803,266.0,1,265,0,0,0.0037593984962406013,0.9962406015037594,0,0
10029,298.0,0,0,0,298,0,0,0,1.0
10378,410.0,406,3,0,1,0.9902439024390244,0.007317073170731708,0,0.0024390243902439024
10449,475.0,80,395,0,0,0.16842105263157894,0.8315789473684211,0,0
10977,396.0,3,393,0,0,0.007575757575757576,0.9924242424242424,0,0
11064,399.0,0,0,397,2,0,0,0.9949874686716792,0.005012531328320802
11083,406.0,0,0,402,4,0,0,0.9901477832512315,0.009852216748768473
