Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
3,4.0,0,0,0,4,0,0,0,1.0
10,37.0,29,0,0,8,0.7837837837837838,0,0,0.21621621621621623
13,66.0,29,0,0,37,0.4393939393939394,0,0,0.5606060606060606
21,90.0,0,58,0,32,0,0.6444444444444445,0,0.35555555555555557
210,1128.0,0,0,645,483,0,0,0.5718085106382979,0.42819148936170215
241,1098.0,0,1,0,1097,0,0.0009107468123861566,0,0.9990892531876139
261,1806.0,0,0,1649,157,0,0,0.9130675526024363,0.08693244739756367
410,1986.0,0,0,1986,0,0,0,1.0,0
709,1971.0,1,1,1969,0,0.0005073566717402334,0.0005073566717402334,0.9989852866565195,0
1577,2195.0,1,0,2193,1,0.00045558086560364467,0,0.9990888382687927,0.00045558086560364467
1631,2035.0,1890,145,0,0,0.9287469287469288,0.07125307125307126,0,0
2572,1395.0,0,2,0,1393,0,0.0014336917562724014,0,0.9985663082437276
2832,1426.0,833,0,593,0,0.5841514726507714,0,0.4158485273492286,0
3037,1282.0,0,3,0,1279,0,0.00234009360374415,0,0.9976599063962559
3078,1808.0,1743,65,0,0,0.9640486725663717,0.03595132743362832,0,0
3761,1276.0,13,0,1263,0,0.01018808777429467,0,0.9898119122257053,0
4181,1110.0,0,0,641,469,0,0,0.5774774774774775,0.42252252252252254
4338,1289.0,0,1221,0,68,0,0.9472459270752521,0,0.05275407292474787
5386,1669.0,0,0,642,1027,0,0,0.3846614739364889,0.6153385260635111
5426,1529.0,1488,41,0,0,0.973185088293002,0.026814911706998037,0,0
5570,2274.0,2230,0,44,0,0.980650835532102,0,0.019349164467897976,0
5924,1520.0,675,0,844,1,0.4440789473684211,0,0.5552631578947368,0.0006578947368421052
6040,1296.0,0,779,0,517,0,0.6010802469135802,0,0.39891975308641975
6402,1720.0,1,967,0,752,0.0005813953488372093,0.5622093023255814,0,0.4372093023255814
6538,1411.0,0,1411,0,0,0,1.0,0,0
6604,1231.0,1183,1,47,0,0.9610073111291633,0.0008123476848090983,0.038180341186027617,0
7124,991.0,0,559,0,432,0,0.5640766902119072,0,0.43592330978809285
7214,698.0,0,0,689,9,0,0,0.9871060171919771,0.012893982808022923
7507,1241.0,1097,144,0,0,0.8839645447219984,0.11603545527800162,0,0
