barcode,positions,base_prop
,670,"[0.0, 0.0, 0.5, 0.5]"
,2509,"[0.0, 0.4929577464788732, 0.0, 0.5070422535211268]"
,2790,"[0.0, 0.5454545454545454, 0.0151515151515151, 0.4393939393939394]"
,3055,"[0.0, 0.380281690140845, 0.0, 0.6197183098591549]"
,3701,"[0.4769230769230769, 0.0307692307692307, 0.4923076923076923, 0.0]"
,4184,"[0.5087719298245614, 0.0, 0.4561403508771929, 0.0350877192982456]"
,4321,"[0.015625, 0.59375, 0.0, 0.390625]"
,4832,"[0.0, 0.5675675675675675, 0.0, 0.4324324324324324]"
,5184,"[0.0, 0.7333333333333333, 0.0, 0.2666666666666666]"
,5584,"[0.5714285714285714, 0.0204081632653061, 0.4081632653061224, 0.0]"
,5736,"[0.0344827586206896, 0.7068965517241379, 0.0, 0.2586206896551724]"
,7472,"[0.208955223880597, 0.0, 0.7910447761194029, 0.0]"
,9344,"[0.0, 0.5066666666666667, 0.0133333333333333, 0.48]"
,9424,"[0.4931506849315068, 0.0, 0.5068493150684932, 0.0]"
,9534,"[0.0, 0.4861111111111111, 0.0, 0.5138888888888888]"
,9866,"[0.0151515151515151, 0.5303030303030303, 0.0, 0.4545454545454545]"
,9891,"[0.0, 0.5571428571428572, 0.0, 0.4428571428571428]"
,10029,"[0.0, 0.6415094339622641, 0.0, 0.3584905660377358]"
,10198,"[0.0, 0.4666666666666667, 0.0266666666666666, 0.5066666666666667]"
,10447,"[0.4177215189873418, 0.0126582278481012, 0.569620253164557, 0.0]"
,10449,"[0.4743589743589743, 0.5, 0.0128205128205128, 0.0128205128205128]"
,11418,"[0.0, 0.3375, 0.0, 0.6625]"
,11514,"[0.009009009009009, 0.6846846846846847, 0.018018018018018, 0.2882882882882883]"
,12880,"[0.0, 0.5119047619047619, 0.0, 0.4880952380952381]"
,13019,"[0.0, 0.5211267605633803, 0.0, 0.4788732394366197]"
,13476,"[0.0, 0.7017543859649122, 0.0, 0.2982456140350877]"
,15451,"[0.48, 0.02, 0.5, 0.0]"
,15714,"[0.0, 0.4418604651162791, 0.0, 0.5581395348837209]"
,16466,"[0.0, 0.5409836065573771, 0.0, 0.4590163934426229]"
,17336,"[0.0, 0.5384615384615384, 0.0, 0.4615384615384615]"
