ID,Column_ID,>B.1.1.519__EPI_ISL_1005568_2020-11-23_B.1.1.519_Mexico_CMX-INMEGEN-12-04-10_Freq,>B.1.1.519__EPI_ISL_1005568_2020-11-23_B.1.1.519_Mexico_CMX-INMEGEN-12-04-10_LNum
1,9,31,94
2,47,31,94
3,71,39,94
4,95,24,94
5,113,36,94
6,179,31,94
7,260,33,93
8,303,31,93
9,335,21,94
10,404,3,70
11,417,32,94
12,437,31,94
13,466,31,94
14,467,27,94
15,563,28,94
16,566,29,94
17,647,31,94
18,782,35,94
19,793,29,89
20,821,30,94
21,914,36,94
22,925,32,91
23,1001,33,94
24,1055,32,94
25,1102,35,93
26,1160,35,94
27,1207,31,94
28,1232,33,94
29,1323,31,94
30,1373,35,94
31,1418,48,94
32,1620,27,94
33,1665,31,94
34,1817,38,94
35,1923,33,94
36,1992,44,94
37,2129,35,94
38,2135,32,94
39,2141,35,94
40,2204,26,91
41,2426,40,94
42,2636,29,93
43,2771,33,91
44,2874,0,1
45,2975,37,94
46,3162,38,94
47,3191,32,94
48,3248,36,94
49,3471,35,94
50,3530,32,94
51,3586,32,94
52,3736,32,92
53,3915,25,86
54,4034,29,94
55,4191,5,94
56,4417,4,94
57,4627,41,94
58,4660,34,94
59,4918,27,87
60,5249,32,93
61,5315,24,94
62,5658,32,93
63,7205,32,94
64,7585,30,92
65,7874,38,93
66,8042,39,94
67,9763,43,59
68,9869,36,93
69,10401,43,94
70,10415,45,94
71,10585,38,94
72,11894,45,90
73,12470,39,94
74,14075,51,94
75,16775,42,94
76,18320,43,94
77,21307,40,94
78,21332,33,93
79,21378,3,71
80,21499,44,73
81,21937,37,94
82,21963,30,91
83,22336,3,54
84,22550,4,86
85,22570,49,93
86,22571,5,57
87,22640,0,56
88,22675,44,62
89,23693,43,94
90,24674,37,94
91,24816,42,94
92,24817,41,94
93,25395,23,93
