ID,Column_ID,>Omicron_XD_DeltaPos19-158:T19R.A27S.T95I.G142D.E156G.F157-.R158-_BA.1-begins-at-N211-__EPI_ISL_10352397_2022-01-03_XD_France_Freq,>Omicron_XD_DeltaPos19-158:T19R.A27S.T95I.G142D.E156G.F157-.R158-_BA.1-begins-at-N211-__EPI_ISL_10352397_2022-01-03_XD_France_LNum
1,9,7959,94
2,47,1671,94
3,71,1469,94
4,95,1620,94
5,113,1120,94
6,179,2017,94
7,260,0,93
8,303,1876,93
9,335,3246,94
10,404,1729,70
11,417,4122,94
12,437,4107,94
13,466,3715,94
14,467,3713,94
15,563,1550,94
16,566,1553,94
17,647,440,94
18,782,466,94
19,793,503,89
20,821,1072,94
21,914,1030,94
22,925,711,91
23,1001,454,94
24,1055,0,1
25,1102,301,93
26,1160,2079,94
27,1207,4083,94
28,1232,4123,94
29,1323,3067,94
30,1373,663,94
31,1418,115,94
32,1620,713,94
33,1665,646,94
34,1817,1408,94
35,1923,1062,94
36,1992,1527,94
37,2129,767,94
38,2135,765,94
39,2141,759,94
40,2204,362,91
41,2426,881,94
42,2636,1960,93
43,2771,1784,91
44,2874,1211,94
45,2975,704,94
46,3162,179,94
47,3191,509,94
48,3248,0,94
49,3471,330,94
50,3530,364,94
51,3586,125,94
52,3736,257,92
53,3915,1099,9
54,4034,652,94
55,4191,942,94
56,4417,578,94
57,4627,375,94
58,4660,1282,94
59,4918,1221,87
60,5249,1749,93
61,5315,1319,94
62,5658,0,93
63,7205,4389,94
64,7585,0,3
65,7874,339,93
66,8042,547,94
67,9763,3361,59
68,9869,1314,93
69,10401,509,94
70,10415,1332,94
71,10585,1876,94
72,11894,1353,90
73,12470,859,94
74,14075,748,94
75,16775,4635,94
76,18320,708,94
77,21307,49,94
78,21332,105,93
79,21378,88,24
80,21499,1194,73
81,21937,382,94
82,21963,382,91
83,22336,50,41
84,22550,1085,86
85,22570,0,93
86,22571,0,38
87,22640,481,39
88,22675,0,62
89,23693,0,94
90,24674,199,94
91,24816,482,94
92,24817,482,94
93,25395,3082,93
