ID,Column_ID,>Omicron_BA.2.56__BA.2_add[L452M]__BA.2_EPI_ISL_9512109_India_2022-01-07_Freq,>Omicron_BA.2.56__BA.2_add[L452M]__BA.2_EPI_ISL_9512109_India_2022-01-07_LNum
1,9,10101,94
2,47,2421,94
3,71,2351,94
4,95,2970,94
5,113,2096,94
6,179,3842,94
7,260,0,93
8,303,2879,93
9,335,4272,94
10,404,0,25
11,417,4340,94
12,437,4404,94
13,466,3705,94
14,467,3704,94
15,563,1582,94
16,566,1583,94
17,647,768,94
18,782,833,94
19,793,872,89
20,821,1511,94
21,914,1523,94
22,925,1151,91
23,1001,544,94
24,1055,770,94
25,1102,349,93
26,1160,1649,94
27,1207,2887,94
28,1232,2905,94
29,1323,2122,94
30,1373,741,94
31,1418,303,94
32,1620,577,94
33,1665,458,94
34,1817,1031,94
35,1923,1050,94
36,1992,1886,94
37,2129,1041,94
38,2135,982,94
39,2141,984,94
40,2204,428,91
41,2426,605,94
42,2636,933,93
43,2771,1342,91
44,2874,1087,94
45,2975,546,94
46,3162,361,94
47,3191,723,94
48,3248,0,1
49,3471,351,94
50,3530,415,94
51,3586,118,94
52,3736,348,92
53,3915,0,86
54,4034,851,94
55,4191,1152,94
56,4417,673,94
57,4627,458,94
58,4660,847,94
59,4918,975,87
60,5249,1445,93
61,5315,1102,94
62,5658,45,93
63,7205,3983,94
64,7585,1777,92
65,7874,405,93
66,8042,825,94
67,9763,4171,59
68,9869,1901,93
69,10401,774,94
70,10415,1755,94
71,10585,2013,94
72,11894,1512,90
73,12470,766,94
74,14075,786,94
75,16775,2370,94
76,18320,1089,94
77,21307,75,94
78,21332,183,93
79,21378,185,24
80,21499,1063,73
81,21937,596,94
82,21963,597,91
83,22336,123,41
84,22550,1146,86
85,22570,0,93
86,22571,0,38
87,22640,560,39
88,22675,0,62
89,23693,0,94
90,24674,328,94
91,24816,858,94
92,24817,860,94
93,25395,2555,93
