Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
2,0.0,0,0,0,0,0,0,0,0
3,2.0,0,0,0,2,0,0,0,1.0
190,118.0,0,116,2,0,0,0.9830508474576272,0.01694915254237288,0
195,118.0,4,0,0,114,0.03389830508474576,0,0,0.9661016949152542
203,120.0,0,120,0,0,0,1.0,0,0
210,124.0,0,0,0,124,0,0,0,1.0
241,151.0,0,18,0,133,0,0.11920529801324503,0,0.8807947019867549
467,104.0,1,2,0,101,0.009615384615384616,0.019230769230769232,0,0.9711538461538461
487,161.0,0,2,158,1,0,0.012422360248447204,0.9813664596273292,0.006211180124223602
521,151.0,0,0,1,150,0,0,0.006622516556291391,0.9933774834437086
526,154.0,0,0,0,154,0,0,0,1.0
641,70.0,0,0,0,70,0,0,0,1.0
670,167.0,0,0,0,167,0,0,0,1.0
1132,26.0,7,0,19,0,0.2692307692307692,0,0.7307692307692307,0
1390,83.0,2,0,0,81,0.024096385542168676,0,0,0.9759036144578314
1627,28.0,0,28,0,0,0,1.0,0,0
1688,19.0,17,2,0,0,0.8947368421052632,0.10526315789473684,0,0
1766,13.0,0,13,0,0,0,1.0,0,0
2114,44.0,0,0,0,44,0,0,0,1.0
2518,13.0,0,0,0,13,0,0,0,1.0
2522,14.0,14,0,0,0,1.0,0,0,0
2582,35.0,0,0,7,28,0,0,0.2,0.8
2606,28.0,28,0,0,0,1.0,0,0,0
2767,65.0,65,0,0,0,1.0,0,0,0
2790,48.0,0,48,0,0,0,1.0,0,0
3037,36.0,0,0,0,36,0,0,0,1.0
3325,21.0,0,0,0,21,0,0,0,1.0
3504,42.0,0,0,0,42,0,0,0,1.0
3631,48.0,0,0,0,48,0,0,0,1.0
3884,17.0,0,17,0,0,0,1.0,0,0
4068,15.0,0,1,0,14,0,0.06666666666666667,0,0.9333333333333333
4079,15.0,0,0,15,0,0,0,1.0,0
4126,23.0,0,0,23,0,0,0,1.0,0
4181,31.0,0,0,0,31,0,0,0,1.0
4184,31.0,0,0,31,0,0,0,1.0,0
4321,39.0,0,39,0,0,0,1.0,0,0
4362,34.0,0,34,0,0,0,1.0,0,0
4434,24.0,1,23,0,0,0.041666666666666664,0.9583333333333334,0,0
