barcode,positions,base_prop
,210,"[0.0, 0.0, 0.7656174334140435, 0.2343825665859564]"
,2832,"[0.2666314677930306, 0.0, 0.7333685322069694, 0.0]"
,3259,"[0.0, 0.0, 0.7972408026755853, 0.2027591973244147]"
,4181,"[0.0, 0.0004510599909788, 0.7437979251240415, 0.2557510148849797]"
,5386,"[0.0, 0.0002690341673392, 0.6860371267150929, 0.3136938391175679]"
,5672,"[0.0, 0.2323317816335167, 0.0, 0.7676682183664832]"
,5924,"[0.7282608695652174, 0.0, 0.2717391304347826, 0.0]"
,6402,"[0.0, 0.7148781752203214, 0.0, 0.2851218247796785]"
,7124,"[0.0, 0.7384324834749764, 0.0, 0.2615675165250236]"
,7984,"[0.0, 0.6700942587832048, 0.0012853470437017, 0.3286203941730934]"
,8393,"[0.6616071428571428, 0.0, 0.337797619047619, 0.000595238095238]"
,9053,"[0.0, 0.0, 0.7738392411382926, 0.2261607588617074]"
,10449,"[0.7211651397697909, 0.2788348602302091, 0.0, 0.0]"
,11201,"[0.7838541666666666, 0.0001627604166666, 0.2158203125, 0.0001627604166666]"
,11332,"[0.7337074583635047, 0.0, 0.2661115133960898, 0.0001810282404055]"
,11537,"[0.367580452920143, 0.000238379022646, 0.6321811680572109, 0.0]"
,12688,"[0.0002853881278538, 0.2785388127853881, 0.0002853881278538, 0.7208904109589042]"
,13195,"[0.0001871607711023, 0.6640464158712334, 0.0, 0.3357664233576642]"
,15240,"[0.0, 0.3159261396422388, 0.0005770340450086, 0.6834968263127524]"
,15399,"[0.0, 0.2434056761268781, 0.0003338898163606, 0.7562604340567612]"
,15451,"[0.2454986149584487, 0.0, 0.7545013850415513, 0.0]"
,16466,"[0.0, 0.7751677852348994, 0.0, 0.2248322147651006]"
,17679,"[0.0, 0.0, 0.2906145783706527, 0.7093854216293473]"
,18163,"[0.3741820345032718, 0.0002974419988102, 0.6255205234979179, 0.0]"
,18744,"[0.0, 0.7164846077457795, 0.0, 0.2835153922542204]"
,19593,"[0.0002735978112175, 0.7885088919288645, 0.0, 0.2112175102599179]"
,21618,"[0.0002488181139586, 0.7880069669071909, 0.2117442149788504, 0.0]"
,21762,"[0.0, 0.4299698795180723, 0.0, 0.5700301204819277]"
,21846,"[0.0, 0.3625365039632874, 0.0004171881518564, 0.6370463078848561]"
,22578,"[0.7537473233404711, 0.0002676659528907, 0.2459850107066381, 0.0]"
,22673,"[0.0, 0.6810506566604128, 0.0, 0.3189493433395872]"
,22674,"[0.0, 0.3203517587939699, 0.0003140703517587, 0.6793341708542714]"
,22679,"[0.0, 0.6888255777144666, 0.0, 0.3111744222855334]"
,22686,"[0.0, 0.3052234109502832, 0.0, 0.6947765890497168]"
,22992,"[0.518754988028731, 0.0, 0.4812450119712689, 0.0]"
,23013,"[0.4286589099816289, 0.5707287201469687, 0.0, 0.0006123698714023]"
,23040,"[0.3825404610102991, 0.0, 0.6174595389897009, 0.0]"
,23048,"[0.6506396118217909, 0.0004411116012351, 0.3489192765769739, 0.0]"
,23055,"[0.3291083916083916, 0.0, 0.6708916083916084, 0.0]"
,23063,"[0.313033359193173, 0.0, 0.0003878975950349, 0.6865787432117921]"
,23075,"[0.0003336670003336, 0.711378044711378, 0.0, 0.2882882882882883]"
,23525,"[0.0, 0.3608271927739482, 0.0, 0.6391728072260519]"
,23599,"[0.0, 0.0, 0.4590677634155895, 0.5409322365844105]"
,23604,"[0.4425190194420964, 0.0, 0.5566356720202874, 0.0008453085376162]"
,23948,"[0.0, 0.0, 0.3511053315994798, 0.6488946684005201]"
,24130,"[0.670660732625813, 0.3289969188634029, 0.0003423485107839, 0.0]"
,24424,"[0.2002830856334041, 0.0, 0.0002359046945034, 0.7994810096720925]"
,24469,"[0.7299058653149891, 0.0, 0.0002413709872073, 0.2698527636978035]"
,24503,"[0.0002450980392156, 0.2965686274509804, 0.0, 0.703186274509804]"
,25000,"[0.0, 0.2309694209499024, 0.0003253090435914, 0.7687052700065062]"
,25469,"[0.0003131850923896, 0.7958033197619794, 0.0009395552771688, 0.2029439398684622]"
,25584,"[0.000274197970935, 0.2177131889224019, 0.0, 0.782012613106663]"
,25603,"[0.0, 0.7870086423194871, 0.0, 0.2129913576805129]"
,25897,"[0.7590518364157333, 0.0, 0.2406876790830945, 0.0002604845011721]"
,25904,"[0.0, 0.7633882595262615, 0.0, 0.2366117404737384]"
,26270,"[0.0, 0.2495906432748538, 0.0, 0.7504093567251462]"
,26530,"[0.5765379113018598, 0.0, 0.4234620886981402, 0.0]"
,26577,"[0.0, 0.5372567631703844, 0.4627432368296155, 0.0]"
,26709,"[0.4584146817649355, 0.0, 0.5415853182350644, 0.0]"
,26767,"[0.0004065040650406, 0.4768292682926829, 0.0, 0.5227642276422764]"
,27259,"[0.202991452991453, 0.7970085470085471, 0.0, 0.0]"
,27384,"[0.0, 0.7765925022858885, 0.0, 0.2234074977141115]"
,27638,"[0.0, 0.3157894736842105, 0.0, 0.6842105263157895]"
,27752,"[0.0, 0.7569345152988276, 0.000285959393766, 0.2427795253074063]"
,27807,"[0.0, 0.2213193116634799, 0.0002390057361376, 0.7784416826003824]"
,28299,"[0.772094583263458, 0.000503102465202, 0.000167700821734, 0.2272346134496059]"
,28311,"[0.0, 0.2347454947834334, 0.0, 0.7652545052165666]"
,28881,"[0.6444602778767368, 0.0007125044531528, 0.0003562522265764, 0.354470965443534]"
,28882,"[0.6449301325689717, 0.0007165890361877, 0.3543532783948405, 0.0]"
,28883,"[0.0, 0.6475849731663685, 0.3524150268336314, 0.0]"
,28916,"[0.0009740259740259, 0.0003246753246753, 0.798051948051948, 0.2006493506493506]"
,29402,"[0.0, 0.000418410041841, 0.7154811715481172, 0.2841004184100418]"
