ID,Column_ID,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_Freq,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_LNum
1,9,1977,94
2,47,2038,94
3,71,2025,94
4,95,1847,94
5,113,1775,94
6,179,1982,94
7,260,1795,93
8,303,1665,93
9,335,1698,94
10,404,1712,70
11,417,1720,94
12,437,1775,94
13,466,1763,94
14,467,699,94
15,563,1751,94
16,566,1724,94
17,647,1806,94
18,782,1637,94
19,793,1521,89
20,821,1609,94
21,914,1308,94
22,925,1534,91
23,1001,1666,94
24,1055,1609,94
25,1102,1721,93
26,1160,1703,94
27,1207,1674,94
28,1232,1572,94
29,1323,1821,94
30,1373,1923,94
31,1418,1921,94
32,1620,1762,94
33,1665,1361,94
34,1817,926,94
35,1923,1243,94
36,1992,1217,94
37,2129,1275,94
38,2135,1189,94
39,2141,1159,94
40,2204,1308,91
41,2426,1304,94
42,2636,1345,93
43,2771,1378,91
44,2874,1347,94
45,2975,1361,94
46,3162,1295,94
47,3191,1316,94
48,3248,1291,94
49,3471,530,94
50,3530,1009,94
51,3586,991,94
52,3736,942,92
53,3915,964,86
54,4034,928,94
55,4191,916,94
56,4417,995,94
57,4627,920,94
58,4660,980,94
59,4918,965,87
60,5249,575,93
61,5315,876,94
62,5658,737,93
63,7205,2602,94
64,7585,2364,92
65,7874,2180,93
66,8042,2343,94
67,9763,2518,36
68,9869,2554,93
69,10401,688,1
70,10415,1515,94
71,10585,470,94
72,11894,414,90
73,12470,731,94
74,14075,2371,94
75,16775,1451,94
76,18320,3990,94
77,21307,942,94
78,21332,802,93
79,21378,851,71
80,21499,769,73
81,21937,661,94
82,21963,715,91
83,22336,887,54
84,22550,846,86
85,22570,278,93
86,22571,716,57
87,22640,974,56
88,22675,1064,62
89,23693,2057,94
90,24674,2504,94
91,24816,2278,94
92,24817,2270,94
93,25395,2541,93
