taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
SRR18006916_lineage_A,AY.39.1.2,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1.2(1/1)
SRR18006916_lineage_B,BA.1.17,0.0,,Omicron (Unassigned),0.75,0.03,scorpio call: Alt alleles 24; Ref alleles 1; Amb alleles 7; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/1); scorpio found insufficient support to assign a specific lineage
SRR18006923_lineage_A,AY.39.1.4,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1.4(1/1)
SRR18006923_lineage_B,BA.1.17,0.0,,Omicron (Unassigned),0.91,0.03,scorpio call: Alt alleles 29; Ref alleles 1; Amb alleles 2; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/1); scorpio found insufficient support to assign a specific lineage
SRR18006919_lineage_A,AY.39.1.4,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1.4(1/1)
SRR18006919_lineage_B,BA.1.17,0.0,,Omicron (Unassigned),0.69,0.06,scorpio call: Alt alleles 22; Ref alleles 2; Amb alleles 8; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/1); scorpio found insufficient support to assign a specific lineage
SRR18006917_lineage_A,AY.39.1,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1(2/2)
SRR18006917_lineage_B,BA.1.17,0.0,,Omicron (Unassigned),0.91,0.03,scorpio call: Alt alleles 29; Ref alleles 1; Amb alleles 2; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/1); scorpio found insufficient support to assign a specific lineage
SRR18006924_lineage_A,AY.39.1.4,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1.4(1/1)
SRR18006924_lineage_B,BA.1.17,0.0,,Omicron (Unassigned),0.84,0.03,scorpio call: Alt alleles 27; Ref alleles 1; Amb alleles 3; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/1); scorpio found insufficient support to assign a specific lineage
SRR18006914_lineage_A,AY.39.1,0.0,,Delta (B.1.617.2-like),0.85,0.15,scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.39.1(2/2)
SRR18006914_lineage_B,BA.1.17,0.5,,Omicron (Unassigned),0.78,0.06,scorpio call: Alt alleles 25; Ref alleles 2; Amb alleles 5; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17(1/2) BA.1.17.2(1/2); scorpio found insufficient support to assign a specific lineage
