ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,505,94
2,47,499,94
3,71,456,94
4,95,2644,94
5,113,5144,94
6,179,8094,94
7,260,7712,93
8,303,7337,93
9,335,7064,94
10,404,4520,25
11,417,7000,94
12,437,7402,94
13,466,6984,94
14,467,7043,94
15,563,7850,94
16,566,7757,94
17,647,7917,94
18,782,3155,94
19,793,2944,89
20,821,3314,94
21,914,2539,94
22,925,3038,91
23,1001,2584,94
24,1055,2628,94
25,1102,2159,93
26,1160,2631,94
27,1207,2616,94
28,1232,2349,94
29,1323,4856,94
30,1373,4876,94
31,1418,5143,94
32,1620,5553,94
33,1665,6984,94
34,1817,7607,94
35,1923,3503,94
36,1992,130,94
37,2129,183,94
38,2135,162,94
39,2141,154,94
40,2204,147,91
41,2426,4065,94
42,2636,2501,93
43,2771,2523,91
44,2874,4312,94
45,2975,4647,94
46,3162,4799,94
47,3191,4593,94
48,3248,4057,94
49,3471,2960,94
50,3530,955,94
51,3586,913,94
52,3736,747,92
53,3915,1392,86
54,4034,838,94
55,4191,0,94
56,4417,2455,94
57,4627,3289,94
58,4660,3144,94
59,4918,5704,87
60,5249,4028,93
61,5315,3050,94
62,5658,2381,93
63,7205,3362,94
64,7585,2460,92
65,7874,1712,93
66,8042,1954,94
67,9763,3021,59
68,9869,3701,93
69,10401,5287,94
70,10415,4715,94
71,10585,792,94
72,11894,1812,90
73,12470,2854,94
74,14075,3229,94
75,16775,6738,94
76,18320,3250,94
77,21307,3173,94
78,21332,2571,93
79,21378,3053,24
80,21499,1320,73
81,21937,1206,94
82,21963,1291,91
83,22336,606,41
84,22550,612,86
85,22570,824,93
86,22571,836,38
87,22640,1104,39
88,22675,964,62
89,23693,894,94
90,24674,3177,94
91,24816,2825,94
92,24817,2819,94
93,25395,3705,93
