taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
ERR12411105_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411105_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.66,0.22,scorpio call: Alt alleles 21; Ref alleles 7; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
ERR12411097_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411097_lineage_B,AY.98,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98(1/1)
ERR12411099_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411099_lineage_B,AY.98,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98(1/1)
ERR12411100_lineage_A,AY.98.1,0.0,,Delta (B.1.617.2-like),0.62,0.15,scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411100_lineage_B,B.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
ERR12411096_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411096_lineage_B,B.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
ERR12411104_lineage_A,AY.98.1,0.0,,Delta (B.1.617.2-like),0.69,0.23,scorpio call: Alt alleles 9; Ref alleles 3; Amb alleles 1; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411104_lineage_B,B.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(3/3)
ERR12411101_lineage_A,AY.98.1,0.0,,Delta (B.1.617.2-like),0.62,0.15,scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411101_lineage_B,AY.98,0.0,,Delta (B.1.617.2-like),0.62,0.15,scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98(1/1)
ERR12411095_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411095_lineage_B,AY.98,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98(1/1)
ERR12411098_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411098_lineage_B,AY.98,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98(1/1)
ERR12411106_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411106_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.66,0.22,scorpio call: Alt alleles 21; Ref alleles 7; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
ERR12411107_lineage_A,AY.98.1,0.0,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.98.1(1/1)
ERR12411107_lineage_B,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.56,0.31,scorpio call: Alt alleles 18; Ref alleles 10; Amb alleles 4; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(2/2); scorpio found insufficient support to assign a specific lineage
