ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum,>Omicron_BA.3__EPI_ISL_9266834_2022-01-03_BA.3_Poland_PZH-GUM-7165_Freq,>Omicron_BA.3__EPI_ISL_9266834_2022-01-03_BA.3_Poland_PZH-GUM-7165_LNum
1,9,44,94,44,94
2,47,41,94,41,94
3,71,34,94,34,94
4,95,32,94,32,94
5,113,28,94,28,94
6,179,33,94,33,94
7,260,41,93,41,93
8,303,41,93,41,93
9,335,33,94,33,94
10,404,20,25,20,25
11,417,28,94,28,94
12,437,32,94,32,94
13,466,25,94,25,94
14,467,26,94,26,94
15,563,41,94,41,94
16,566,37,94,3,1
17,647,37,94,37,94
18,782,26,94,26,94
19,793,30,89,30,89
20,821,32,94,32,94
21,914,37,94,37,94
22,925,39,91,39,91
23,1001,38,94,38,94
24,1055,21,94,21,94
25,1102,23,93,23,93
26,1160,33,94,33,94
27,1207,42,94,42,94
28,1232,41,94,41,94
29,1323,32,94,32,94
30,1373,29,94,29,94
31,1418,38,94,38,94
32,1620,41,94,41,94
33,1665,30,94,30,94
34,1817,49,94,49,94
35,1923,39,94,39,94
36,1992,37,94,37,94
37,2129,37,94,37,94
38,2135,33,94,33,94
39,2141,33,94,33,94
40,2204,31,91,31,91
41,2426,40,94,40,94
42,2636,46,93,46,93
43,2771,42,91,42,91
44,2874,36,94,36,94
45,2975,47,94,47,94
46,3162,53,94,53,94
47,3191,43,94,43,94
48,3248,39,94,39,94
49,3471,30,94,30,94
50,3530,30,94,30,94
51,3586,34,94,34,94
52,3736,29,92,29,92
53,3915,16,86,16,86
54,4034,47,94,47,94
55,4191,20,94,20,94
56,4417,15,94,15,94
57,4627,40,94,40,94
58,4660,33,94,33,94
59,4918,35,87,35,87
60,5249,41,93,41,93
61,5315,45,94,45,94
62,5658,38,93,38,93
63,7205,31,94,31,94
64,7585,44,92,44,92
65,7874,36,93,36,93
66,8042,43,94,43,94
67,9763,37,59,37,59
68,9869,37,93,37,93
69,10401,43,94,43,94
70,10415,40,94,40,94
71,10585,37,94,37,94
72,11894,34,90,34,90
73,12470,43,94,43,94
74,14075,51,94,51,94
75,16775,43,94,43,94
76,18320,29,94,29,94
77,21307,44,94,44,94
78,21332,36,93,36,93
79,21378,24,24,15,71
80,21499,30,73,0,22
81,21937,21,94,21,94
82,21963,19,91,19,91
83,22336,0,41,0,0
84,22550,24,9,23,86
85,22570,42,93,42,93
86,22571,25,38,25,38
87,22640,10,39,10,39
88,22675,18,62,18,62
89,23693,41,94,41,94
90,24674,39,94,39,94
91,24816,55,94,55,94
92,24817,54,94,54,94
93,25395,41,93,41,93
