ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,2510,94
2,47,2509,94
3,71,2465,94
4,95,1922,94
5,113,2127,94
6,179,3299,94
7,260,3594,93
8,303,3468,93
9,335,3814,94
10,404,2626,70
11,417,2641,94
12,437,2817,94
13,466,2846,94
14,467,2850,94
15,563,3576,94
16,566,3050,94
17,647,4386,94
18,782,980,94
19,793,990,89
20,821,1270,94
21,914,2860,94
22,925,2978,91
23,1001,3845,94
24,1055,3498,94
25,1102,3324,93
26,1160,1689,94
27,1207,2387,94
28,1232,2859,94
29,1323,3580,94
30,1373,2499,94
31,1418,1740,94
32,1620,3510,94
33,1665,3696,94
34,1817,6730,94
35,1923,5288,94
36,1992,9375,94
37,2129,4571,94
38,2135,3409,94
39,2141,3350,94
40,2204,443,91
41,2426,1780,94
42,2636,2808,93
43,2771,1982,91
44,2874,1960,94
45,2975,4668,94
46,3162,6080,94
47,3191,5278,94
48,3248,4665,94
49,3471,2027,94
50,3530,2602,94
51,3586,3433,94
52,3736,1593,92
53,3915,2087,9
54,4034,2101,94
55,4191,2712,94
56,4417,1359,94
57,4627,461,94
58,4660,546,94
59,4918,2220,87
60,5249,3232,93
61,5315,3861,94
62,5658,5767,93
63,7205,1984,94
64,7585,1854,92
65,7874,4155,93
66,8042,2823,94
67,9763,1700,59
68,9869,2634,93
69,10401,2586,94
70,10415,2925,94
71,10585,2361,94
72,11894,7987,90
73,12470,12376,94
74,14075,1351,94
75,16775,2415,94
76,18320,4131,94
77,21307,7619,94
78,21332,7200,93
79,21378,1330,71
80,21499,661,73
81,21937,1222,94
82,21963,1064,91
83,22336,1948,54
84,22550,2230,86
85,22570,2248,93
86,22571,1092,57
87,22640,926,56
88,22675,653,31
89,23693,6768,94
90,24674,4522,94
91,24816,1730,94
92,24817,1736,94
93,25395,1427,93
