Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
2,0.0,0,0,0,0,0,0,0,0
4,0.0,0,0,0,0,0,0,0,0
21,15.0,0,15,0,0,0,1.0,0,0
27,17.0,17,0,0,0,1.0,0,0,0
44,229.0,0,221,0,8,0,0.9650655021834061,0,0.034934497816593885
210,1951.0,0,0,1951,0,0,0,1.0,0
241,46.0,0,2,0,44,0,0.043478260869565216,0,0.9565217391304348
526,3384.0,0,0,3380,4,0,0,0.9988179669030733,0.001182033096926714
670,2547.0,2,1,2526,18,0.0007852375343541421,0.00039261876717707107,0.9917550058892816,0.007067137809187279
2485,1337.0,0,1337,0,0,0,1.0,0,0
2790,2058.0,0,16,0,2042,0,0.007774538386783284,0,0.9922254616132167
2832,1591.0,1586,0,2,3,0.9968573224387178,0,0.001257071024512885,0.0018856065367693275
3037,3058.0,0,1,0,3057,0,0.0003270111183780249,0,0.9996729888816219
3259,3308.0,1,1,3302,4,0.0003022974607013301,0.0003022974607013301,0.998186215235792,0.0012091898428053204
3811,2822.0,0,2822,0,0,0,1.0,0,0
3885,2819.0,0,2818,0,1,0,0.9996452642781128,0,0.000354735721887194
3987,2610.0,0,2607,0,3,0,0.9988505747126437,0,0.0011494252873563218
4181,2169.0,0,1,2168,0,0,0.0004610419548178884,0.9995389580451821,0
4184,2154.0,2149,0,4,1,0.9976787372330548,0,0.0018570102135561746,0.00046425255338904364
4321,1277.0,0,46,0,1231,0,0.036021926389976505,0,0.9639780736100235
4333,1225.0,1225,0,0,0,1.0,0,0,0
5386,3036.0,0,3,0,3033,0,0.0009881422924901185,0,0.9990118577075099
5672,3001.0,0,3001,0,0,0,1.0,0,0
5924,2455.0,0,0,2453,2,0,0,0.9991853360488798,0.000814663951120163
6337,2061.0,2061,0,0,0,1.0,0,0,0
6402,2033.0,0,2033,0,0,0,1.0,0,0
7124,2775.0,0,2774,0,1,0,0.9996396396396396,0,0.00036036036036036037
7743,2946.0,1,0,2943,2,0.00033944331296673454,0,0.9989816700610998,0.0006788866259334691
7984,2060.0,1,1,0,2058,0.0004854368932038835,0.0004854368932038835,0,0.9990291262135922
8017,2047.0,0,4,2042,1,0,0.0019540791402051783,0.9975574010747436,0.0004885197850512946
8393,2984.0,2981,1,2,0,0.9989946380697051,0.0003351206434316354,0.0006702412868632708,0
8986,2682.0,0,2679,1,2,0,0.9988814317673378,0.0003728560775540641,0.0007457121551081282
9053,3068.0,0,0,3063,5,0,0,0.9983702737940026,0.0016297262059973925
9344,3255.0,0,3251,0,4,0,0.9987711213517665,0,0.001228878648233487
9424,3395.0,3395,0,0,0,1.0,0,0,0
9534,3340.0,0,3340,0,0,0,1.0,0,0
9866,1995.0,0,1995,0,0,0,1.0,0,0
10029,2789.0,1,1,0,2787,0.00035855145213338117,0.00035855145213338117,0,0.9992828970957333
10447,3373.0,0,3,3366,4,0,0.0008894159501927068,0.997924696116217,0.0011858879335902757
10449,3308.0,3304,2,2,0,0.9987908101571947,0.0006045949214026602,0.0006045949214026602,0
11201,3267.0,3267,0,0,0,1.0,0,0,0
11332,3422.0,3417,2,0,3,0.9985388661601403,0.0005844535359438924,0,0.0008766803039158387
11537,2792.0,0,0,2787,5,0,0,0.9982091690544412,0.0017908309455587394
11941,1964.0,0,1956,0,8,0,0.9959266802443992,0,0.004073319755600814
12688,2950.0,0,0,0,2950,0,0,0,1.0
12880,2827.0,0,2824,0,3,0,0.9989388043862752,0,0.0010611956137247967
13061,4086.0,4086,0,0,0,1.0,0,0,0
13195,3646.0,0,3642,0,4,0,0.9989029072956664,0,0.0010970927043335162
14408,2597.0,1,4,0,2592,0.0003850596842510589,0.0015402387370042356,0,0.9980747015787447
15240,3043.0,0,1,0,3042,0,0.00032862306933946765,0,0.9996713769306605
15399,2501.0,1,0,0,2500,0.00039984006397441024,0,0,0.9996001599360256
15451,2306.0,0,0,2304,2,0,0,0.9991326973113617,0.0008673026886383347
15521,1794.0,25,0,0,1769,0.013935340022296544,0,0,0.9860646599777034
15714,3104.0,1,3103,0,0,0.00032216494845360824,0.9996778350515464,0,0
15952,3592.0,0,3592,0,0,0,1.0,0,0
16466,3847.0,1,3846,0,0,0.0002599428125812321,0.9997400571874188,0,0
17410,1918.0,0,1914,2,2,0,0.9979144942648592,0.0010427528675703858,0.0010427528675703858
17679,2702.0,1,2,2696,3,0.0003700962250185048,0.0007401924500370096,0.997779422649889,0.0011102886750555144
18163,3002.0,0,0,2996,6,0,0,0.9980013324450366,0.001998667554963358
18744,3291.0,0,3287,2,2,0,0.9987845639623215,0.0006077180188392585,0.0006077180188392585
19220,2556.0,0,2555,0,1,0,0.9996087636932708,0,0.0003912363067292645
19593,3027.0,0,3023,0,4,0,0.9986785596299967,0,0.0013214403700033035
19955,1909.0,0,1907,0,2,0,0.998952331063384,0,0.0010476689366160294
20055,1777.0,1775,0,0,2,0.9988745075970737,0,0,0.0011254924029262803
21618,3209.0,2,1,0,3206,0.0006232471174820816,0.0003116235587410408,0,0.9990651293237769
21762,2631.0,0,2631,0,0,0,1.0,0,0
21846,2025.0,0,2021,0,4,0,0.9980246913580247,0,0.0019753086419753087
21956,2022.0,7,0,2014,1,0.0034619188921859545,0,0.9960435212660732,0.0004945598417408506
21987,2235.0,2233,0,2,0,0.9991051454138703,0,0.0008948545861297539,0
22200,2760.0,0,0,2755,5,0,0,0.9981884057971014,0.0018115942028985507
22578,1442.0,1441,0,1,0,0.9993065187239945,0,0.0006934812760055479,0
22599,1408.0,0,0,1408,0,0,0,1.0,0
22673,1426.0,0,0,0,1426,0,0,0,1.0
22674,1422.0,0,25,0,1397,0,0.017580872011251757,0,0.9824191279887482
22679,1357.0,0,1355,0,2,0,0.9985261606484893,0,0.0014738393515106854
22686,1333.0,2,0,0,1331,0.0015003750937734434,0,0,0.9984996249062266
22688,1320.0,0,0,1320,0,0,0,1.0,0
