ID,Column_ID,>Omicron_BA.1_K417___EPI_ISL_7978089_2021-12-06_BA.1_USA_CT-SEMA4-1702_Freq,>Omicron_BA.1_K417___EPI_ISL_7978089_2021-12-06_BA.1_USA_CT-SEMA4-1702_LNum
1,9,1137,94
2,47,1159,94
3,71,1294,94
4,95,1462,94
5,113,1369,94
6,179,1590,94
7,260,1638,93
8,303,1680,93
9,335,1705,94
10,404,1384,70
11,417,1523,94
12,437,1497,94
13,466,1719,94
14,467,1767,94
15,563,1972,94
16,566,1933,94
17,647,2236,94
18,782,782,94
19,793,783,89
20,821,999,94
21,914,1327,94
22,925,1795,91
23,1001,1394,94
24,1055,948,94
25,1102,1597,93
26,1160,2374,94
27,1207,3027,94
28,1232,2831,94
29,1323,337,94
30,1373,2055,94
31,1418,1354,94
32,1620,2727,94
33,1665,2801,94
34,1817,2686,94
35,1923,1155,94
36,1992,85,94
37,2129,120,94
38,2135,101,94
39,2141,98,94
40,2204,117,91
41,2426,166,94
42,2636,210,93
43,2771,106,91
44,2874,90,94
45,2975,1223,94
46,3162,1958,94
47,3191,2013,94
48,3248,2853,94
49,3471,2516,94
50,3530,1952,94
51,3586,1136,94
52,3736,1211,92
53,3915,234,86
54,4034,0,94
55,4191,0,94
56,4417,0,94
57,4627,0,94
58,4660,0,94
59,4918,0,87
60,5249,878,93
61,5315,924,94
62,5658,519,93
63,7205,9989,94
64,7585,8376,92
65,7874,4010,93
66,8042,11007,94
67,9763,46,59
68,9869,62,93
69,10401,3993,94
70,10415,3948,94
71,10585,4957,94
72,11894,603,90
73,12470,1791,94
74,14075,9318,94
75,16775,329,94
76,18320,6291,94
77,21307,1567,94
78,21332,1707,93
79,21378,5837,71
80,21499,198,22
81,21937,2316,94
82,21963,4592,91
83,22336,69,41
84,22550,468,86
85,22570,363,93
86,22571,324,57
87,22640,48,39
88,22675,0,62
89,23693,857,94
90,24674,48,94
91,24816,0,94
92,24817,0,94
93,25395,991,93
