ID,Column_ID,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,2998,94
2,47,588,94
3,71,501,94
4,95,548,94
5,113,528,94
6,179,1029,94
7,260,617,2
8,303,295,93
9,335,983,94
10,404,737,70
11,417,1720,94
12,437,1718,94
13,466,1562,94
14,467,1562,94
15,563,534,94
16,566,533,94
17,647,377,94
18,782,166,94
19,793,185,89
20,821,388,94
21,914,623,94
22,925,393,91
23,1001,659,94
24,1055,869,94
25,1102,260,93
26,1160,501,94
27,1207,1038,94
28,1232,1036,94
29,1323,727,94
30,1373,242,94
31,1418,85,94
32,1620,259,94
33,1665,184,94
34,1817,956,94
35,1923,336,94
36,1992,1456,94
37,2129,1051,94
38,2135,1054,94
39,2141,1053,94
40,2204,164,91
41,2426,597,94
42,2636,276,93
43,2771,211,91
44,2874,116,94
45,2975,85,94
46,3162,96,94
47,3191,368,94
48,3248,296,94
49,3471,283,94
50,3530,273,94
51,3586,191,94
52,3736,425,92
53,3915,295,9
54,4034,431,94
55,4191,326,94
56,4417,524,94
57,4627,353,94
58,4660,737,94
59,4918,448,87
60,5249,246,93
61,5315,311,94
62,5658,418,93
63,7205,5265,94
64,7585,310,92
65,7874,151,93
66,8042,460,94
67,9763,1981,59
68,9869,868,93
69,10401,1171,94
70,10415,2070,94
71,10585,2124,94
72,11894,68,90
73,12470,592,94
74,14075,264,94
75,16775,2789,94
76,18320,569,94
77,21307,36,94
78,21332,128,93
79,21378,93,71
80,21499,508,73
81,21937,572,94
82,21963,573,91
83,22336,78,54
84,22550,905,86
85,22570,80,93
86,22571,80,57
87,22640,886,56
88,22675,919,31
89,23693,0,94
90,24674,378,94
91,24816,661,94
92,24817,661,94
93,25395,1947,93
