ID,Column_ID,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_Freq,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_LNum
1,9,633,94
2,47,654,94
3,71,704,94
4,95,787,94
5,113,794,94
6,179,1014,94
7,260,986,93
8,303,953,93
9,335,1036,94
10,404,691,70
11,417,801,94
12,437,0,94
13,466,960,94
14,467,993,94
15,563,1237,94
16,566,1204,94
17,647,1399,94
18,782,395,94
19,793,409,89
20,821,530,94
21,914,1307,94
22,925,1983,91
23,1001,1488,94
24,1055,902,94
25,1102,1671,93
26,1160,2596,94
27,1207,3286,94
28,1232,3215,94
29,1323,1430,94
30,1373,2284,94
31,1418,1430,94
32,1620,2987,94
33,1665,3197,94
34,1817,2968,94
35,1923,1275,94
36,1992,38,94
37,2129,60,94
38,2135,48,94
39,2141,42,94
40,2204,62,91
41,2426,103,94
42,2636,107,93
43,2771,55,91
44,2874,40,94
45,2975,233,94
46,3162,373,94
47,3191,376,94
48,3248,591,94
49,3471,580,94
50,3530,430,94
51,3586,211,94
52,3736,196,92
53,3915,436,86
54,4034,228,94
55,4191,257,94
56,4417,308,94
57,4627,244,94
58,4660,306,94
59,4918,188,87
60,5249,1710,93
61,5315,2197,94
62,5658,829,2
63,7205,782,94
64,7585,616,92
65,7874,337,93
66,8042,2129,94
67,9763,0,59
68,9869,31,93
69,10401,4442,94
70,10415,4093,94
71,10585,5789,94
72,11894,129,90
73,12470,314,94
74,14075,3816,94
75,16775,136,94
76,18320,9837,94
77,21307,1471,94
78,21332,1441,93
79,21378,4755,71
80,21499,3504,22
81,21937,2060,94
82,21963,5644,91
83,22336,618,41
84,22550,100,86
85,22570,86,93
86,22571,85,38
87,22640,126,39
88,22675,70,62
89,23693,0,94
90,24674,74,94
91,24816,64,94
92,24817,65,94
93,25395,68,93
