ID,Column_ID,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_Freq,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_LNum
1,9,313,94
2,47,348,94
3,71,327,94
4,95,264,94
5,113,325,94
6,179,252,94
7,260,328,93
8,303,276,93
9,335,305,94
10,404,288,70
11,417,329,94
12,437,152,94
13,466,324,94
14,467,303,94
15,563,300,94
16,566,298,94
17,647,271,94
18,782,301,94
19,793,301,89
20,821,257,94
21,914,1570,94
22,925,1590,91
23,1001,1396,94
24,1055,1485,94
25,1102,1479,93
26,1160,1388,94
27,1207,1127,94
28,1232,1152,94
29,1323,646,94
30,1373,637,94
31,1418,1608,94
32,1620,1587,94
33,1665,1291,94
34,1817,1153,94
35,1923,873,94
36,1992,414,94
37,2129,452,94
38,2135,419,94
39,2141,401,94
40,2204,402,91
41,2426,525,94
42,2636,326,93
43,2771,325,91
44,2874,259,94
45,2975,555,94
46,3162,606,94
47,3191,599,94
48,3248,609,94
49,3471,637,94
50,3530,581,94
51,3586,620,94
52,3736,578,92
53,3915,314,86
54,4034,31,94
55,4191,79,94
56,4417,120,94
57,4627,106,94
58,4660,119,94
59,4918,78,87
60,5249,1730,93
61,5315,2021,94
62,5658,905,2
63,7205,1734,94
64,7585,1741,92
65,7874,1894,93
66,8042,2399,94
67,9763,166,59
68,9869,177,93
69,10401,1018,94
70,10415,992,94
71,10585,857,94
72,11894,529,90
73,12470,516,94
74,14075,842,94
75,16775,176,94
76,18320,2100,94
77,21307,2441,94
78,21332,2525,93
79,21378,1356,71
80,21499,975,22
81,21937,2051,94
82,21963,1583,91
83,22336,1213,41
84,22550,1100,86
85,22570,1132,93
86,22571,574,38
87,22640,446,39
88,22675,598,62
89,23693,680,94
90,24674,173,94
91,24816,192,94
92,24817,195,94
93,25395,203,93
