Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
670,825.0,8,16,410,391,0.009696969696969697,0.019393939393939394,0.49696969696969695,0.47393939393939394
2790,5483.0,49,2725,46,2663,0.00893671347802298,0.49699069852270655,0.008389567754878716,0.48568302024439175
2832,5439.0,2737,53,2606,43,0.5032175032175032,0.009744438315866888,0.4791321934179077,0.007905865048722191
3037,4617.0,38,66,34,4479,0.00823045267489712,0.014294996751137101,0.007364089235434265,0.9701104613385315
4184,4779.0,2413,44,2286,36,0.5049173467252563,0.009206947060054404,0.4783427495291902,0.007532956685499058
4321,4887.0,45,2406,54,2382,0.009208103130755065,0.4923265807243708,0.011049723756906077,0.48741559238796806
5386,5017.0,41,48,2671,2257,0.008172214470799282,0.009567470599960135,0.5323898744269484,0.4498704405022922
7762,3633.0,19,1702,33,1879,0.005229837599779796,0.4684833470960639,0.009083402146985962,0.5172034131571703
8393,3393.0,1656,20,1691,26,0.4880636604774536,0.0058944886531093425,0.49837901562039494,0.007662835249042145
9344,2755.0,17,1376,18,1344,0.006170598911070781,0.49945553539019966,0.006533575317604356,0.48784029038112525
9424,2760.0,1382,30,1322,26,0.5007246376811594,0.010869565217391304,0.4789855072463768,0.009420289855072464
9534,2820.0,14,1434,23,1349,0.004964539007092199,0.5085106382978724,0.008156028368794326,0.47836879432624113
9866,2808.0,25,1403,19,1361,0.008903133903133903,0.49964387464387466,0.006766381766381766,0.4846866096866097
10029,3008.0,29,32,21,2926,0.00964095744680851,0.010638297872340425,0.006981382978723404,0.9727393617021277
10198,3000.0,30,1501,22,1447,0.01,0.5003333333333333,0.007333333333333333,0.48233333333333334
10447,3420.0,1622,12,1758,28,0.47426900584795323,0.0035087719298245615,0.5140350877192983,0.008187134502923977
10449,3404.0,3321,28,29,26,0.9756169212690952,0.008225616921269096,0.008519388954171562,0.00763807285546416
11537,4209.0,2071,38,2053,47,0.4920408648134949,0.009028272748871465,0.48776431456402947,0.011166547873604181
12880,4971.0,37,2456,37,2441,0.007443170388251861,0.4940655803661235,0.007443170388251861,0.4910480788573728
13195,5186.0,33,2431,46,2676,0.0063632857693790975,0.4687620516775935,0.00887003470883147,0.5160046278441959
14408,4313.0,34,54,35,4190,0.007883143983306284,0.012520287502898214,0.00811500115928588,0.9714815673545096
15240,4237.0,35,2120,33,2049,0.008260561718196837,0.500354024073637,0.007788529620014161,0.483596884588152
15714,3752.0,38,1878,29,1807,0.010127931769722815,0.5005330490405118,0.007729211087420042,0.48160980810234544
17042,3454.0,1789,27,1610,28,0.5179502026635785,0.00781702374059062,0.46612623045744067,0.008106543138390272
