Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
21,607.0,2,603,0,2,0.0032948929159802307,0.9934102141680395,0,0.0032948929159802307
210,823.0,1,0,4,818,0.001215066828675577,0,0.004860267314702308,0.9939246658566221
241,888.0,1,1,0,886,0.0011261261261261261,0.0011261261261261261,0,0.9977477477477478
300,1091.0,2,1088,0,1,0.0018331805682859762,0.997250229147571,0,0.0009165902841429881
346,1148.0,1,1147,0,0,0.0008710801393728223,0.9991289198606271,0,0
652,1186.0,1182,3,0,1,0.9966273187183811,0.002529510961214165,0,0.0008431703204047217
1314,863.0,4,859,0,0,0.004634994206257242,0.9953650057937428,0,0
1439,809.0,0,0,809,0,0,0,1.0,0
1639,865.0,862,2,1,0,0.9965317919075144,0.0023121387283236996,0.0011560693641618498,0
1674,910.0,899,3,5,3,0.987912087912088,0.0032967032967032967,0.005494505494505495,0.0032967032967032967
1676,915.0,7,0,900,8,0.007650273224043716,0,0.9836065573770492,0.008743169398907104
1797,903.0,0,0,0,903,0,0,0,1.0
1959,1053.0,2,1050,0,1,0.001899335232668566,0.9971509971509972,0,0.000949667616334283
2185,1703.0,0,0,1697,6,0,0,0.9964768056371109,0.0035231943628890195
2470,730.0,3,726,1,0,0.00410958904109589,0.9945205479452055,0.0013698630136986301,0
2832,880.0,875,4,0,1,0.9943181818181818,0.004545454545454545,0,0.0011363636363636363
2962,674.0,0,0,673,1,0,0,0.9985163204747775,0.001483679525222552
3037,824.0,1,1,1,821,0.0012135922330097086,0.0012135922330097086,0.0012135922330097086,0.9963592233009708
3403,1673.0,1,0,1666,6,0.0005977286312014345,0,0.99581589958159,0.0035863717872086074
4181,1842.0,4,0,0,1838,0.002171552660152009,0,0,0.997828447339848
4444,1150.0,0,0,1,1149,0,0,0.0008695652173913044,0.9991304347826087
4976,630.0,1,0,2,627,0.0015873015873015873,0,0.0031746031746031746,0.9952380952380953
5055,832.0,1,831,0,0,0.001201923076923077,0.9987980769230769,0,0
5100,833.0,2,0,0,831,0.0024009603841536613,0,0,0.9975990396158463
5269,620.0,613,2,2,3,0.9887096774193549,0.0032258064516129032,0.0032258064516129032,0.004838709677419355
5386,877.0,0,0,5,872,0,0,0.005701254275940707,0.9942987457240593
5515,1045.0,0,1,1040,4,0,0.0009569377990430622,0.9952153110047847,0.003827751196172249
6402,1711.0,4,2,0,1705,0.0023378141437755697,0.0011689070718877848,0,0.9964932787843367
6541,319.0,1,317,0,1,0.003134796238244514,0.9937304075235109,0,0.003134796238244514
6542,255.0,225,23,4,3,0.8823529411764706,0.09019607843137255,0.01568627450980392,0.011764705882352941
6694,283.0,0,0,282,1,0,0,0.9964664310954063,0.0035335689045936395
7124,1191.0,0,1,1,1189,0,0.0008396305625524769,0.0008396305625524769,0.998320738874895
8393,693.0,0,0,693,0,0,0,1.0,0
8495,812.0,1,0,0,811,0.0012315270935960591,0,0,0.9987684729064039
8645,749.0,1,747,0,1,0.0013351134846461949,0.9973297730307076,0,0.0013351134846461949
8695,678.0,0,0,673,5,0,0,0.9926253687315634,0.007374631268436578
8744,622.0,3,0,2,617,0.00482315112540193,0,0.003215434083601286,0.9919614147909968
8829,552.0,0,3,0,549,0,0.005434782608695652,0,0.9945652173913043
8986,723.0,1,0,5,717,0.0013831258644536654,0,0.006915629322268326,0.991701244813278
