taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
Coinfection_10%_lineage_A,AY.38,0.0,,Delta (B.1.617.2-like) +K417N,0.77,0.15,scorpio call: Alt alleles 10; Ref alleles 2; Amb alleles 1; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.38(1/1)
Coinfection_10%_lineage_B,BA.2.23,0.0,,Omicron (BA.2-like),0.97,0.03,scorpio call: Alt alleles 60; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.23(1/1)
Coinfection_50%_lineage_A,AY.2,0.0,,Delta (B.1.617.2-like) +K417N,0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.2(2/2)
Coinfection_50%_lineage_B,BA.2,0.5,,Omicron (BA.2-like),0.71,0.03,scorpio call: Alt alleles 44; Ref alleles 2; Amb alleles 15; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/2) BA.2.23(1/2)
Coinfection_2%_lineage_A,B.1.1.529,0.0,,Probable Omicron (Unassigned),0.59,0.41,scorpio call: Alt alleles 19; Ref alleles 13; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection_2%_lineage_B,BA.2.23,0.0,,Omicron (BA.2-like),0.97,0.03,scorpio call: Alt alleles 60; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.23(1/1)
Coinfection_5%_lineage_A,BA.2.23,0.0,,Omicron (BA.2-like),0.97,0.03,scorpio call: Alt alleles 60; Ref alleles 2; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.23(1/1)
Coinfection_5%_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.98,0.02,scorpio call: Alt alleles 61; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection_20%_lineage_A,AY.2,0.0,,Delta (B.1.617.2-like) +K417N,0.85,0.0,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.2(2/2)
Coinfection_20%_lineage_B,BA.2.23,0.0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 7; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2.23(1/1)
