Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
2,0.0,0,0,0,0,0,0,0,0
4,0.0,0,0,0,0,0,0,0,0
21,0.0,0,0,0,0,0,0,0,0
27,0.0,0,0,0,0,0,0,0,0
44,176.0,0,176,0,0,0,1.0,0,0
210,2407.0,1,0,2403,3,0.0004154549231408392,0,0.9983381803074366,0.0012463647694225177
241,2475.0,2,0,0,2473,0.0008080808080808081,0,0,0.9991919191919192
526,3482.0,0,0,3482,0,0,0,1.0,0
670,2941.0,1,0,996,1944,0.00034002040122407346,0,0.33866031961917714,0.6609996599795988
2485,2268.0,0,2268,0,0,0,1.0,0,0
2790,3688.0,2,2142,1,1543,0.0005422993492407809,0.5808026030368764,0.00027114967462039046,0.4183839479392625
2832,2897.0,1350,0,1547,0,0.4659993096306524,0,0.5340006903693476,0
3037,3345.0,0,0,0,3345,0,0,0,1.0
3259,3155.0,0,0,3150,5,0,0,0.9984152139461173,0.001584786053882726
3811,1818.0,0,1818,0,0,0,1.0,0,0
3885,2027.0,0,2027,0,0,0,1.0,0,0
3987,2768.0,0,1568,0,1200,0,0.5664739884393064,0,0.43352601156069365
4181,3972.0,0,0,3972,0,0,0,1.0,0
4184,3955.0,1667,0,2288,0,0.42149178255372943,0,0.5785082174462706,0
4321,3607.0,0,2377,0,1230,0,0.6589963958968672,0,0.3410036041031328
4333,3723.0,3723,0,0,0,1.0,0,0,0
5386,3366.0,1,0,1717,1648,0.00029708853238265005,0,0.51010101010101,0.48960190136660725
5672,2616.0,0,2616,0,0,0,1.0,0,0
5924,2692.0,0,0,2692,0,0,0,1.0,0
6337,4183.0,0,0,4183,0,0,0,1.0,0
6402,4416.0,0,4416,0,0,0,1.0,0,0
7124,2346.0,0,2346,0,0,0,1.0,0,0
7743,3026.0,0,2,3024,0,0,0.0006609385327164573,0.9993390614672836,0
7984,2434.0,0,0,0,2434,0,0,0,1.0
8017,2565.0,0,0,1163,1402,0,0,0.453411306042885,0.546588693957115
8393,3534.0,1864,0,1670,0,0.5274476513865308,0,0.4725523486134692,0
8986,2959.0,0,2959,0,0,0,1.0,0,0
9053,3813.0,0,0,3812,1,0,0,0.999737739312877,0.00026226068712300026
9344,4424.0,1,2723,0,1700,0.0002260397830018083,0.615506329113924,0,0.38426763110307416
9424,4738.0,2827,0,1911,0,0.5966652596032082,0,0.4033347403967919,0
9534,3602.0,0,2213,0,1389,0,0.6143808995002776,0,0.38561910049972237
9866,925.0,0,552,0,373,0,0.5967567567567568,0,0.40324324324324323
10029,1250.0,0,0,0,1250,0,0,0,1.0
10447,2600.0,1117,0,1483,0,0.4296153846153846,0,0.5703846153846154,0
10449,2478.0,2359,119,0,0,0.9519774011299436,0.0480225988700565,0,0
11201,4286.0,4285,0,1,0,0.9997666822211853,0,0.0002333177788147457,0
11332,3045.0,3045,0,0,0,1.0,0,0,0
11537,2287.0,1018,0,1267,2,0.445124617402711,0,0.5540008745080892,0.0008745080891998251
11941,2300.0,0,2298,0,2,0,0.9991304347826087,0,0.0008695652173913044
12688,3705.0,0,0,0,3705,0,0,0,1.0
12880,3915.0,1,2481,0,1433,0.0002554278416347382,0.6337164750957854,0,0.3660280970625798
13061,4117.0,1,0,4116,0,0.00024289531212047608,0,0.9997571046878795,0
13195,5272.0,0,2618,0,2654,0,0.4965857359635812,0,0.5034142640364189
14408,3100.0,0,0,0,3100,0,0,0,1.0
15240,2655.0,0,1497,2,1156,0,0.5638418079096045,0.0007532956685499058,0.4354048964218456
15399,3867.0,1,0,0,3866,0.0002585983966899405,0,0,0.99974140160331
15451,3153.0,0,0,3153,0,0,0,1.0,0
15521,2627.0,0,1,0,2626,0,0.00038066235249333843,0,0.9996193376475067
15714,3710.0,18,2126,0,1566,0.004851752021563342,0.5730458221024258,0,0.42210242587601077
15952,3787.0,0,3782,1,4,0,0.9986796936889358,0.0002640612622128334,0.0010562450488513335
16466,3052.0,0,3052,0,0,0,1.0,0,0
17410,2861.0,1,1863,0,997,0.0003495281370150297,0.6511709192590004,0,0.3484795526039846
17679,2454.0,3,1,2450,0,0.0012224938875305623,0.00040749796251018743,0.9983700081499592,0
18163,3757.0,0,0,3757,0,0,0,1.0,0
18744,4078.0,1,4077,0,0,0.0002452182442373713,0.9997547817557626,0,0
19220,2734.0,0,2734,0,0,0,1.0,0,0
19593,1693.0,0,1693,0,0,0,1.0,0,0
19955,2160.0,0,1293,0,867,0,0.5986111111111111,0,0.4013888888888889
20055,2144.0,1204,0,939,1,0.5615671641791045,0,0.43796641791044777,0.0004664179104477612
21618,1313.0,0,848,0,465,0,0.6458492003046459,0,0.3541507996953541
21762,2321.0,0,1516,0,805,0,0.6531667384747953,0,0.34683326152520466
21846,3490.0,0,1777,0,1713,0,0.5091690544412607,0,0.49083094555873924
21956,1937.0,0,0,1937,0,0,0,1.0,0
21987,769.0,755,0,13,1,0.9817945383615084,0,0.016905071521456438,0.0013003901170351106
22200,52.0,0,0,52,0,0,0,1.0,0
22578,761.0,761,0,0,0,1.0,0,0,0
22599,888.0,96,0,791,1,0.10810810810810811,0,0.8907657657657657,0.0011261261261261261
22673,1222.0,0,1,0,1221,0,0.0008183306055646482,0,0.9991816693944353
22674,1221.0,0,1,0,1220,0,0.000819000819000819,0,0.9991809991809992
22679,1180.0,0,1180,0,0,0,1.0,0,0
22686,1173.0,0,1,0,1172,0,0.0008525149190110827,0,0.9991474850809889
22688,1169.0,0,1,1168,0,0,0.000855431993156544,0.9991445680068435,0
22775,1224.0,1215,0,9,0,0.9926470588235294,0,0.007352941176470588,0
22786,1112.0,9,1103,0,0,0.008093525179856115,0.9919064748201439,0,0
22792,1095.0,0,11,0,1084,0,0.01004566210045662,0,0.9899543378995433
22813,972.0,0,0,100,872,0,0,0.102880658436214,0.897119341563786
22882,541.0,0,0,318,223,0,0,0.5878003696857671,0.4121996303142329
22898,403.0,132,0,271,0,0.32754342431761785,0,0.6724565756823822,0
