ID,Column_ID,>B.1.466.2__EPI_ISL_1533080_2020-12-02_B.1.466.2_Indonesia_SB-61-FKUA_Freq,>B.1.466.2__EPI_ISL_1533080_2020-12-02_B.1.466.2_Indonesia_SB-61-FKUA_LNum
1,9,31,94
2,47,36,94
3,71,32,94
4,95,35,94
5,113,35,94
6,179,25,94
7,260,41,93
8,303,37,93
9,335,33,94
10,404,0,70
11,417,3,1
12,437,37,94
13,466,21,94
14,467,23,94
15,563,50,94
16,566,47,94
17,647,40,94
18,782,32,94
19,793,25,89
20,821,35,94
21,914,30,94
22,925,36,91
23,1001,39,94
24,1055,21,94
25,1102,29,93
26,1160,36,94
27,1207,46,94
28,1232,38,94
29,1323,28,94
30,1373,30,94
31,1418,43,94
32,1620,35,94
33,1665,32,94
34,1817,48,94
35,1923,37,94
36,1992,31,94
37,2129,39,94
38,2135,39,94
39,2141,39,94
40,2204,34,91
41,2426,38,94
42,2636,39,93
43,2771,38,91
44,2874,34,94
45,2975,43,94
46,3162,50,94
47,3191,47,94
48,3248,44,94
49,3471,45,94
50,3530,39,94
51,3586,40,94
52,3736,43,92
53,3915,39,86
54,4034,36,94
55,4191,0,94
56,4417,0,94
57,4627,33,94
58,4660,35,94
59,4918,0,8
60,5249,42,93
61,5315,37,94
62,5658,42,93
63,7205,39,94
64,7585,46,92
65,7874,43,93
66,8042,45,94
67,9763,0,36
68,9869,39,93
69,10401,40,94
70,10415,40,94
71,10585,29,94
72,11894,33,90
73,12470,38,94
74,14075,44,94
75,16775,37,94
76,18320,39,94
77,21307,36,94
78,21332,44,93
79,21378,0,71
80,21499,33,73
81,21937,32,94
82,21963,25,91
83,22336,0,54
84,22550,0,86
85,22570,42,93
86,22571,0,57
87,22640,0,56
88,22675,38,62
89,23693,35,94
90,24674,41,94
91,24816,52,94
92,24817,54,94
93,25395,48,93
