barcode,positions,base_prop
,210,"[0.0035714285714285, 0.0, 0.5178571428571429, 0.4785714285714286]"
,2832,"[0.503030303030303, 0.0, 0.4848484848484848, 0.0121212121212121]"
,4181,"[0.0, 0.0, 0.554945054945055, 0.445054945054945]"
,5386,"[0.0150375939849624, 0.0030075187969924, 0.4526315789473684, 0.5293233082706766]"
,5736,"[0.0058394160583941, 0.67007299270073, 0.0, 0.3240875912408759]"
,5924,"[0.4947994056463596, 0.0, 0.5037147102526003, 0.0014858841010401]"
,6040,"[0.0, 0.5191424196018377, 0.001531393568147, 0.4793261868300153]"
,6402,"[0.0, 0.481651376146789, 0.0045871559633027, 0.5137614678899083]"
,7124,"[0.0, 0.5914893617021276, 0.0, 0.4085106382978723]"
,8393,"[0.4643962848297213, 0.0, 0.5325077399380805, 0.0030959752321981]"
,8964,"[0.008955223880597, 0.5432835820895522, 0.0, 0.4477611940298507]"
,8986,"[0.003012048192771, 0.5, 0.003012048192771, 0.4939759036144578]"
,9053,"[0.012012012012012, 0.0, 0.5195195195195195, 0.4684684684684684]"
,10046,"[0.2268041237113402, 0.0, 0.7731958762886598, 0.0]"
,10449,"[0.4959839357429719, 0.4899598393574297, 0.002008032128514, 0.0120481927710843]"
,11201,"[0.5323886639676113, 0.0, 0.4676113360323887, 0.0]"
,11332,"[0.493362831858407, 0.0044247787610619, 0.5, 0.0022123893805309]"
,11537,"[0.5486725663716814, 0.0, 0.4513274336283185, 0.0]"
,13195,"[0.0, 0.4018126888217522, 0.0030211480362537, 0.595166163141994]"
,13482,"[0.5016077170418006, 0.0, 0.4983922829581994, 0.0]"
,15240,"[0.0035778175313059, 0.592128801431127, 0.0017889087656529, 0.4025044722719141]"
,15451,"[0.6037383177570094, 0.0018691588785046, 0.3925233644859813, 0.0018691588785046]"
,16466,"[0.0019193857965451, 0.4318618042226487, 0.0, 0.5662188099808061]"
,18163,"[0.5391304347826087, 0.0, 0.4579710144927536, 0.0028985507246376]"
,19220,"[0.0, 0.4695481335952848, 0.0, 0.5304518664047151]"
,21372,"[0.0050761421319796, 0.0, 0.4568527918781725, 0.5380710659898477]"
,21597,"[0.001031991744066, 0.4860681114551083, 0.0, 0.5128998968008256]"
,21618,"[0.0041884816753926, 0.4764397905759162, 0.5162303664921466, 0.0031413612565445]"
,21762,"[0.001453488372093, 0.563953488372093, 0.001453488372093, 0.4331395348837209]"
,22578,"[0.4806282722513089, 0.0, 0.5162303664921466, 0.0031413612565445]"
,22679,"[0.0, 0.5132978723404256, 0.0, 0.4867021276595745]"
,22686,"[0.0027247956403269, 0.4822888283378747, 0.0, 0.5149863760217984]"
,22785,"[0.007537688442211, 0.0100502512562814, 0.507537688442211, 0.4748743718592965]"
,22813,"[0.0, 0.0024691358024691, 0.5185185185185185, 0.4790123456790123]"
,22882,"[0.0, 0.0049140049140049, 0.4594594594594595, 0.5356265356265356]"
,22898,"[0.4716494845360824, 0.0, 0.520618556701031, 0.0077319587628865]"
,22917,"[0.0073891625615763, 0.0024630541871921, 0.5, 0.4901477832512315]"
,22992,"[0.4756097560975609, 0.0121951219512195, 0.0024390243902439, 0.5097560975609756]"
,23013,"[0.5318627450980392, 0.4632352941176471, 0.0024509803921568, 0.0024509803921568]"
,23029,"[0.005050505050505, 0.4924242424242424, 0.0, 0.5025252525252525]"
,23040,"[0.5375, 0.0, 0.4625, 0.0]"
,23048,"[0.4552238805970149, 0.0, 0.5447761194029851, 0.0]"
,23055,"[0.5475, 0.0, 0.4525, 0.0]"
,23063,"[0.5336658354114713, 0.0, 0.0, 0.4663341645885286]"
,23075,"[0.0, 0.4647201946472019, 0.0, 0.5352798053527981]"
,23202,"[0.467018469656992, 0.525065963060686, 0.0026385224274406, 0.0052770448548812]"
,23525,"[0.0, 0.4793650793650794, 0.0031746031746031, 0.5174603174603175]"
,23599,"[0.0, 0.0017123287671232, 0.2157534246575342, 0.7825342465753424]"
,23604,"[0.2271944922547332, 0.0206540447504302, 0.7469879518072289, 0.0051635111876075]"
,23874,"[0.0027397260273972, 0.7123287671232876, 0.0, 0.284931506849315]"
,25000,"[0.0, 0.4952380952380952, 0.0095238095238095, 0.4952380952380952]"
,25469,"[0.0, 0.5, 0.0, 0.5]"
,25521,"[0.0, 0.5298507462686567, 0.0, 0.4701492537313433]"
,25584,"[0.0, 0.6158940397350994, 0.0, 0.3841059602649007]"
,26187,"[0.0061349693251533, 0.5306748466257669, 0.0, 0.4631901840490797]"
,26270,"[0.0185185185185185, 0.5709876543209876, 0.0, 0.4104938271604938]"
,26530,"[0.5880503144654088, 0.0, 0.4088050314465409, 0.0031446540880503]"
,26577,"[0.006269592476489, 0.5799373040752351, 0.4137931034482758, 0.0]"
,26709,"[0.5445859872611465, 0.0095541401273885, 0.445859872611465, 0.0]"
,27103,"[0.0076103500761035, 0.6940639269406392, 0.0091324200913242, 0.289193302891933]"
,28881,"[0.4845995893223819, 0.0041067761806981, 0.0205338809034907, 0.4907597535934291]"
,28916,"[0.0216110019646365, 0.0019646365422396, 0.4793713163064833, 0.4970530451866404]"
,28921,"[0.0019493177387914, 0.5029239766081871, 0.0, 0.4951267056530214]"
,29402,"[0.0022675736961451, 0.0113378684807256, 0.5215419501133787, 0.4648526077097505]"
,29742,"[0.0024570024570024, 0.0049140049140049, 0.4496314496314496, 0.542997542997543]"
