Position,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_Total_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_A_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_C_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_G_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_T_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_A_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_C_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_G_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_T_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_Total_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_A_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_C_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_G_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_T_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_A_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_C_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_G_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_T_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_Total_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_A_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_C_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_G_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_T_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_A_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_C_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_G_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_T_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_Total_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_A_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_C_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_G_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_T_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_A_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_C_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_G_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_T_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_Total_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_A_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_C_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_G_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_T_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_A_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_C_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_G_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_T_proportion
670,825.0,8,16,410,391,0.0096969696969696,0.0193939393939393,0.4969696969696969,0.4739393939393939,776.0,12,6,137,621,0.0154639175257731,0.0077319587628865,0.1765463917525773,0.8002577319587629,821.0,14,14,72,721,0.0170523751522533,0.0170523751522533,0.0876979293544458,0.8781973203410475,836.0,16,12,46,762,0.0191387559808612,0.0143540669856459,0.055023923444976,0.9114832535885168,812.0,12,7,15,778,0.0147783251231527,0.0086206896551724,0.0184729064039408,0.958128078817734
2790,5483.0,49,2725,46,2663,0.0089367134780229,0.4969906985227065,0.0083895677548787,0.4856830202443917,5351.0,45,4268,46,992,0.0084096430573724,0.7976079237525696,0.0085965240142029,0.1853859091758549,5463.0,35,4852,42,534,0.0064067362255171,0.8881566904631155,0.0076880834706205,0.0977484898407468,5383.0,42,5078,37,226,0.0078023407022106,0.943340144900613,0.0068734906186141,0.0419840237785621,5519.0,40,5350,43,86,0.0072476897988766,0.9693785105997464,0.0077912665337923,0.0155825330675847
2832,5439.0,2737,53,2606,43,0.5032175032175032,0.0097444383158668,0.4791321934179077,0.0079058650487221,5180.0,1021,49,4057,53,0.1971042471042471,0.0094594594594594,0.7832046332046332,0.0102316602316602,5216.0,536,50,4587,43,0.102760736196319,0.0095858895705521,0.879409509202454,0.0082438650306748,5163.0,248,40,4828,47,0.0480340887081154,0.0077474336625992,0.9351152430757312,0.0091032345535541,5158.0,109,35,4963,51,0.021132221791392,0.0067855758045754,0.9621946490887942,0.0098875533152384
3037,4617.0,38,66,34,4479,0.0082304526748971,0.0142949967511371,0.0073640892354342,0.9701104613385316,4542.0,41,47,43,4411,0.0090268604139145,0.0103478643769264,0.0094671950682518,0.9711580801409072,4417.0,46,43,54,4274,0.0104143083540864,0.0097351143309938,0.0122254924156667,0.9676250848992528,4432.0,33,45,32,4322,0.0074458483754512,0.010153429602888,0.0072202166064981,0.9751805054151624,4416.0,32,63,47,4274,0.0072463768115942,0.014266304347826,0.0106431159420289,0.9678442028985508
4184,4779.0,2413,44,2286,36,0.5049173467252563,0.0092069470600544,0.4783427495291902,0.007532956685499,4923.0,1036,34,3815,38,0.2104407881373146,0.0069063579118423,0.7749339833434897,0.0077188706073532,4804.0,506,32,4233,33,0.1053288925895087,0.0066611157368859,0.8811407160699417,0.0068692756036636,4831.0,243,43,4497,48,0.0503001448975367,0.0089008486855723,0.9308631753260196,0.0099358310908714,4681.0,96,35,4506,44,0.0205084383678701,0.0074770348216193,0.9626148258919034,0.0093997009186071
4321,4887.0,45,2406,54,2382,0.009208103130755,0.4923265807243708,0.011049723756906,0.487415592387968,5014.0,42,3909,45,1018,0.008376545672118,0.779617072197846,0.0089748703629836,0.2030315117670522,4961.0,46,4375,49,491,0.0092723241281999,0.8818786534972788,0.0098770409191695,0.0989719814553517,4869.0,42,4529,47,251,0.0086260012322858,0.9301704662148284,0.0096529061408913,0.0515506264119942,4938.0,42,4737,62,97,0.008505467800729,0.959295261239368,0.0125556905629809,0.0196435803969218
5386,5017.0,41,48,2671,2257,0.0081722144707992,0.0095674705999601,0.5323898744269484,0.4498704405022922,5232.0,36,53,4285,858,0.0068807339449541,0.0101299694189602,0.8189984709480123,0.1639908256880733,5299.0,36,34,4770,459,0.0067937346669182,0.0064163049632006,0.9001698433666729,0.0866201170032081,5310.0,45,48,4981,236,0.0084745762711864,0.0090395480225988,0.9380414312617702,0.0444444444444444,5396.0,43,41,5227,85,0.0079688658265381,0.0075982209043736,0.9686805040770942,0.015752409191994
7762,3633.0,19,1702,33,1879,0.0052298375997797,0.4684833470960639,0.0090834021469859,0.5172034131571703,3702.0,35,2853,31,783,0.0094543490005402,0.7706645056726094,0.008373851971907,0.2115072933549432,3620.0,35,3191,24,370,0.0096685082872928,0.8814917127071823,0.0066298342541436,0.1022099447513812,3691.0,28,3456,26,181,0.0075860200487672,0.936331617447846,0.0070441614738553,0.0490382010295312,3642.0,35,3497,24,86,0.0096101043382756,0.9601867105985722,0.0065897858319604,0.0236133992311916
8393,3393.0,1656,20,1691,26,0.4880636604774536,0.0058944886531093,0.4983790156203949,0.0076628352490421,3447.0,2687,21,719,20,0.7795184218160719,0.0060922541340295,0.2085871772555845,0.0058021467943138,3334.0,2940,30,330,34,0.8818236352729454,0.008998200359928,0.0989802039592081,0.0101979604079184,3386.0,3166,28,169,23,0.93502658003544,0.0082693443591258,0.0499113998818665,0.0067926757235676,3353.0,3210,33,72,38,0.9573516254100806,0.0098419325976737,0.0214733074858335,0.0113331345064121
9344,2755.0,17,1376,18,1344,0.0061705989110707,0.4994555353901996,0.0065335753176043,0.4878402903811252,2810.0,17,2221,23,549,0.0060498220640569,0.7903914590747331,0.0081850533807829,0.195373665480427,2752.0,18,2450,22,262,0.0065406976744186,0.8902616279069767,0.0079941860465116,0.095203488372093,2855.0,25,2669,30,131,0.0087565674255691,0.9348511383537652,0.010507880910683,0.0458844133099824,2857.0,28,2753,20,56,0.0098004900245012,0.9635981799089954,0.0070003500175008,0.0196009800490024
